,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Depth_lag_1,GR_lag_1,ILD_log10_lag_1,DeltaPHI_lag_1,PHIND_lag_1,PE_lag_1,NM_M_lag_1,RELPOS_lag_1,Depth_lead_1,GR_lead_1,ILD_log10_lead_1,DeltaPHI_lead_1,PHIND_lead_1,PE_lead_1,NM_M_lead_1,RELPOS_lead_1,a1,b1,b2,b3,b4,b5,lm,sh,Facies
10,2813.0,79.063,0.651,7.3,12.05,3.147,1,0.778,0.5,-4.097,0.009,0.0,-0.9,0.02,0.0,-0.022,-0.5,10.061,-0.026,1.1,1.25,0.051,0.0,0.022,1,0,0,0,0,0,0,1,3.0
11,2813.5,69.002,0.677,6.2,10.8,3.096,1,0.756,0.5,-10.061,0.026,-1.1,-1.25,-0.051,0.0,-0.022,-0.5,5.019,-0.013,1.8,1.1,-0.007,0.0,0.023,1,0,0,0,0,0,0,1,2.0
12,2814.0,63.983,0.69,4.4,9.7,3.103,1,0.733,0.5,-5.019,0.013,-1.8,-1.1,0.007,0.0,-0.023,-0.5,2.186,0.015,0.9,0.55,0.002,0.0,0.022,1,0,0,0,0,0,0,1,2.0
13,2814.5,61.797,0.675,3.5,9.15,3.101,1,0.711,0.5,-2.186,-0.015,-0.9,-0.55,-0.002,0.0,-0.022,-0.5,0.425,0.029,0.7,-0.15,0.036,0.0,0.022,1,0,0,0,0,0,0,1,2.0
14,2815.0,61.372,0.646,2.8,9.3,3.065,1,0.689,0.5,-0.425,-0.029,-0.7,0.15,-0.036,0.0,-0.022,-0.5,-2.163,0.025,0.0,-0.5,0.083,0.0,0.022,1,0,0,0,0,0,0,1,2.0
15,2815.5,63.535,0.621,2.8,9.8,2.982,1,0.667,0.5,2.163,-0.025,0.0,0.5,-0.083,0.0,-0.022,-0.5,-1.591,0.021,-0.5,-0.75,0.068,0.0,0.023,1,0,0,0,0,0,0,1,2.0
16,2816.0,65.126,0.6,3.3,10.55,2.914,1,0.644,0.5,1.591,-0.021,0.5,0.75,-0.068,0.0,-0.023,-0.5,-10.804,0.024,-0.1,-1.35,0.069,0.0,0.044,1,0,0,0,0,0,0,1,2.0
17,2816.5,75.93,0.576,3.4,11.9,2.845,1,0.6,0.5,10.804,-0.024,0.1,1.35,-0.069,0.0,-0.044,-0.5,-9.147,-0.008,-1.0,-1.0,-0.009,0.0,0.022,1,0,0,0,0,0,0,1,2.0
18,2817.0,85.077,0.584,4.4,12.9,2.854,1,0.578,0.5,9.147,0.008,1.0,1.0,0.009,0.0,-0.022,-0.5,-4.382,-0.014,-2.2,-0.6,-0.132,0.0,0.022,1,0,0,0,0,0,0,1,2.0
19,2817.5,89.459,0.598,6.6,13.5,2.986,1,0.556,0.5,4.382,0.014,2.2,0.6,0.132,0.0,-0.022,-0.5,0.84,-0.012,-0.6,-1.3,-0.002,0.0,0.023,1,0,0,0,0,0,0,1,2.0
20,2818.0,88.619,0.61,7.2,14.8,2.988,1,0.533,0.5,-0.84,0.012,0.6,1.3,0.002,0.0,-0.023,-0.5,7.026,-0.026,0.8,0.9,-0.01,0.0,0.022,1,0,0,0,0,0,0,1,2.0
21,2818.5,81.593,0.636,6.4,13.9,2.998,1,0.511,0.5,-7.026,0.026,-0.8,-0.9,0.01,0.0,-0.022,-0.5,14.998,-0.066,3.6,2.5,0.01,0.0,0.022,1,0,0,0,0,0,0,1,2.0
22,2819.0,66.595,0.702,2.8,11.4,2.988,1,0.489,0.5,-14.998,0.066,-3.6,-2.5,-0.01,0.0,-0.022,-0.5,11.514,-0.087,0.1,3.25,-0.04,0.0,0.022,1,0,0,0,0,0,0,1,2.0
23,2819.5,55.081,0.789,2.7,8.15,3.028,1,0.467,0.5,-11.514,0.087,-0.1,-3.25,0.04,0.0,-0.022,-0.5,6.969,-0.051,1.7,0.65,-0.045,0.0,0.023,1,0,0,0,0,0,0,1,2.0
24,2820.0,48.112,0.84,1.0,7.5,3.073,1,0.444,0.5,-6.969,0.051,-1.7,-0.65,0.045,0.0,-0.023,-0.5,4.382,-0.006,0.6,0.4,-0.073,0.0,0.022,1,0,0,0,0,0,0,1,2.0
25,2820.5,43.73,0.846,0.4,7.1,3.146,1,0.422,0.5,-4.382,0.006,-0.6,-0.4,0.073,0.0,-0.022,-0.5,-0.367,0.006,-0.3,0.45,-0.059,0.0,0.022,1,0,0,0,0,0,0,1,2.0
26,2821.0,44.097,0.84,0.7,6.65,3.205,1,0.4,0.5,0.367,-0.006,0.3,-0.45,0.059,0.0,-0.022,-0.5,-2.742,-0.002,-0.1,0.05,-0.049,0.0,0.022,1,0,0,0,0,0,0,1,2.0
27,2821.5,46.839,0.842,0.8,6.6,3.254,1,0.378,0.5,2.742,0.002,0.1,-0.05,0.049,0.0,-0.022,-0.5,-3.509,-0.001,-0.3,-0.15,0.024,0.0,0.022,1,0,0,0,0,0,0,1,2.0
28,2822.0,50.348,0.843,1.1,6.75,3.23,1,0.356,0.5,3.509,0.001,0.3,0.15,-0.024,0.0,-0.022,-0.5,-6.781,0.021,-1.1,-0.55,-0.007,0.0,0.023,1,0,0,0,0,0,0,1,2.0
29,2822.5,57.129,0.822,2.2,7.3,3.237,1,0.333,0.5,6.781,-0.021,1.1,0.55,0.007,0.0,-0.023,-0.5,-7.336,0.045,-2.2,-1.1,-0.022,0.0,0.022,1,0,0,0,0,0,0,1,2.0
30,2823.0,64.465,0.777,4.4,8.4,3.259,1,0.311,0.5,7.336,-0.045,2.2,1.1,0.022,0.0,-0.022,-0.5,-5.802,0.048,-2.7,-1.45,-0.03,0.0,0.022,1,0,0,0,0,0,0,1,2.0
31,2823.5,70.267,0.729,7.1,9.85,3.289,1,0.289,0.5,5.802,-0.048,2.7,1.45,0.03,0.0,-0.022,-0.5,-6.299,0.065,-3.6,-1.7,-0.092,0.0,0.045,1,0,0,0,0,0,0,1,2.0
32,2824.0,76.566,0.664,10.7,11.55,3.381,1,0.244,0.5,6.299,-0.065,3.6,1.7,0.092,0.0,-0.045,-0.5,-0.212,0.021,0.0,-0.7,-0.071,0.0,0.022,1,0,0,0,0,0,0,1,2.0
33,2824.5,76.778,0.643,10.7,12.25,3.452,1,0.222,0.5,0.212,-0.021,0.0,0.7,0.071,0.0,-0.022,-0.5,2.807,0.011,1.0,-0.3,0.056,0.0,0.022,1,0,0,0,0,0,0,1,2.0
34,2825.0,73.971,0.632,9.7,12.55,3.396,1,0.2,0.5,-2.807,-0.011,-1.0,0.3,-0.056,0.0,-0.022,-0.5,-0.343,0.01,0.9,-0.55,0.252,0.0,0.022,1,0,0,0,0,0,0,1,2.0
35,2825.5,74.314,0.622,8.8,13.1,3.144,1,0.178,0.5,0.343,-0.01,-0.9,0.55,-0.252,0.0,-0.022,-0.5,-2.717,0.039,4.0,-3.1,0.11,0.0,0.022,1,0,0,0,0,0,0,1,2.0
36,2826.0,77.031,0.583,4.8,16.2,3.034,1,0.156,0.5,2.717,-0.039,-4.0,3.1,-0.11,0.0,-0.022,-0.5,2.562,0.066,0.0,-3.0,0.103,0.0,0.023,1,0,0,0,0,0,0,1,2.0
37,2826.5,74.469,0.517,4.8,19.2,2.931,1,0.133,0.5,-2.562,-0.066,0.0,3.0,-0.103,0.0,-0.023,-0.5,1.142,0.028,-1.5,-1.15,0.051,0.0,0.022,1,0,0,0,0,0,0,1,2.0
38,2827.0,73.327,0.489,6.3,20.35,2.88,1,0.111,0.5,-1.142,-0.028,1.5,1.15,-0.051,0.0,-0.022,-0.5,-1.248,-0.037,1.4,1.1,0.085,0.0,0.022,1,0,0,0,0,0,0,1,2.0
39,2827.5,74.575,0.526,4.9,19.25,2.795,1,0.089,0.5,1.248,0.037,-1.4,-1.1,-0.085,0.0,-0.022,-0.5,4.039,-0.032,-1.6,2.2,-0.214,0.0,0.022,1,0,0,0,0,0,0,1,2.0
40,2828.0,70.536,0.558,6.5,17.05,3.009,1,0.067,0.5,-4.039,0.032,1.6,-2.2,0.214,0.0,-0.022,-0.5,7.597,0.03,-1.1,-1.75,-0.064,0.0,0.023,1,0,0,0,0,0,0,1,2.0
41,2828.5,62.939,0.528,7.6,18.8,3.073,1,0.044,0.5,-7.597,-0.03,1.1,1.75,0.064,0.0,-0.023,-0.5,5.802,0.017,-3.3,-0.35,-0.24,0.0,0.022,1,0,0,0,0,0,0,1,2.0
42,2829.0,57.137,0.511,10.9,19.15,3.313,1,0.022,0.5,-5.802,-0.017,3.3,0.35,0.24,0.0,-0.022,-0.5,9.792,-0.073,3.9,2.85,-0.214,-1.0,-0.978,1,0,0,0,0,0,0,1,2.0
43,2829.5,47.345,0.584,7.0,16.3,3.527,2,1.0,0.5,-9.792,0.073,-3.9,-2.85,0.214,1.0,0.978,-0.5,11.612,-0.146,0.6,6.1,-0.401,0.0,0.013,1,0,0,0,0,0,1,0,8.0
44,2830.0,35.733,0.73,6.4,10.2,3.928,2,0.987,0.5,-11.612,0.146,-0.6,-6.1,0.401,0.0,-0.013,-0.5,6.406,-0.143,3.7,2.35,-0.402,0.0,0.013,1,0,0,0,0,0,1,0,8.0
45,2830.5,29.327,0.873,2.7,7.85,4.33,2,0.974,0.5,-6.406,0.143,-3.7,-2.35,0.402,0.0,-0.013,-0.5,1.085,-0.09,1.3,1.55,-0.083,0.0,0.013,1,0,0,0,0,0,1,0,8.0
46,2831.0,28.242,0.963,1.4,6.3,4.413,2,0.961,0.5,-1.085,0.09,-1.3,-1.55,0.083,0.0,-0.013,-0.5,-6.316,-0.055,-0.4,0.7,-0.098,0.0,0.014,1,0,0,0,0,0,1,0,8.0
47,2831.5,34.558,1.018,1.8,5.6,4.511,2,0.947,0.5,6.316,0.055,0.4,-0.7,0.098,0.0,-0.014,-0.5,-9.196,-0.036,0.0,0.4,0.099,0.0,0.013,1,0,0,0,0,0,1,0,6.0
48,2832.0,43.754,1.054,1.8,5.2,4.412,2,0.934,0.5,9.196,0.036,0.0,-0.4,-0.099,0.0,-0.013,-0.5,-9.858,-0.013,0.3,0.15,0.186,0.0,0.013,1,0,0,0,0,0,1,0,6.0
49,2832.5,53.612,1.067,1.5,5.05,4.226,2,0.921,0.5,9.858,0.013,-0.3,-0.15,-0.186,0.0,-0.013,-0.5,-7.107,0.028,-0.4,0.2,0.295,0.0,0.013,1,0,0,0,0,0,1,0,6.0
50,2833.0,60.719,1.039,1.9,4.85,3.931,2,0.908,0.5,7.107,-0.028,0.4,-0.2,-0.295,0.0,-0.013,-0.5,-5.819,0.099,-0.8,-0.6,0.228,0.0,0.013,1,0,0,0,0,0,1,0,6.0
51,2833.5,66.538,0.94,2.7,5.45,3.703,2,0.895,0.5,5.819,-0.099,0.8,0.6,-0.228,0.0,-0.013,-0.5,-8.984,0.139,-1.3,-1.85,0.202,0.0,0.013,1,0,0,0,0,0,1,0,6.0
52,2834.0,75.522,0.801,4.0,7.3,3.501,2,0.882,0.5,8.984,-0.139,1.3,1.85,-0.202,0.0,-0.013,-0.5,-20.457,0.109,-2.5,-2.25,0.155,0.0,0.014,1,0,0,0,0,0,1,0,6.0
53,2834.5,95.979,0.692,6.5,9.55,3.346,2,0.868,0.5,20.457,-0.109,2.5,2.25,-0.155,0.0,-0.014,-0.5,-34.281,0.048,-1.8,-1.6,0.104,0.0,0.013,1,0,0,0,0,0,1,0,4.0
54,2835.0,130.26,0.644,8.3,11.15,3.242,2,0.855,0.5,34.281,-0.048,1.8,1.6,-0.104,0.0,-0.013,-0.5,-29.907,0.001,-1.0,-1.0,-0.052,0.0,0.013,1,0,0,0,0,0,1,0,4.0
55,2835.5,160.167,0.643,9.3,12.15,3.294,2,0.842,0.5,29.907,-0.001,1.0,1.0,0.052,0.0,-0.013,-0.5,-16.361,-0.03,0.2,0.1,-0.004,0.0,0.013,1,0,0,0,0,0,1,0,4.0
56,2836.0,176.528,0.673,9.1,12.05,3.298,2,0.829,0.5,16.361,0.03,-0.2,-0.1,0.004,0.0,-0.013,-0.5,0.906,-0.047,0.2,-0.1,-0.051,0.0,0.013,1,0,0,0,0,0,1,0,4.0
57,2836.5,175.622,0.72,8.9,12.15,3.349,2,0.816,0.5,-0.906,0.047,-0.2,0.1,0.051,0.0,-0.013,-0.5,21.657,-0.036,1.3,0.25,0.039,0.0,0.013,1,0,0,0,0,0,1,0,4.0
58,2837.0,153.965,0.756,7.6,11.9,3.31,2,0.803,0.5,-21.657,0.036,-1.3,-0.25,-0.039,0.0,-0.013,-0.5,33.889,-0.01,0.4,-0.3,-0.055,0.0,0.014,1,0,0,0,0,0,1,0,4.0
59,2837.5,120.076,0.766,7.2,12.2,3.365,2,0.789,0.5,-33.889,0.01,-0.4,0.3,0.055,0.0,-0.014,-0.5,28.642,-0.021,0.1,0.05,-0.027,0.0,0.013,1,0,0,0,0,0,1,0,4.0
60,2838.0,91.434,0.787,7.1,12.15,3.392,2,0.776,0.5,-28.642,0.021,-0.1,-0.05,0.027,0.0,-0.013,-0.5,22.122,-0.087,2.5,1.75,0.099,0.0,0.013,1,0,0,0,0,0,1,0,4.0
61,2838.5,69.312,0.874,4.6,10.4,3.293,2,0.763,0.5,-22.122,0.087,-2.5,-1.75,-0.099,0.0,-0.013,-0.5,14.484,-0.155,3.8,2.2,-0.102,0.0,0.013,1,0,0,0,0,0,1,0,4.0
62,2839.0,54.828,1.029,0.8,8.2,3.395,2,0.75,0.5,-14.484,0.155,-3.8,-2.2,0.102,0.0,-0.013,-0.5,3.974,-0.12,0.5,1.35,-0.105,0.0,0.013,1,0,0,0,0,0,1,0,6.0
63,2839.5,50.854,1.149,0.3,6.85,3.5,2,0.737,0.5,-3.974,0.12,-0.5,-1.35,0.105,0.0,-0.013,-0.5,-3.778,0.059,-0.7,-0.55,-0.076,0.0,0.013,1,0,0,0,0,0,1,0,6.0
64,2840.0,54.632,1.09,1.0,7.4,3.576,2,0.724,0.5,3.778,-0.059,0.7,0.55,0.076,0.0,-0.013,-0.5,-2.203,0.166,-3.1,-1.05,0.021,0.0,0.013,1,0,0,0,0,0,1,0,6.0
65,2840.5,56.835,0.924,4.1,8.45,3.555,2,0.711,0.5,2.203,-0.166,3.1,1.05,-0.021,0.0,-0.013,-0.5,-3.558,0.136,-3.0,-1.6,-0.036,0.0,0.014,1,0,0,0,0,0,1,0,6.0
66,2841.0,60.393,0.788,7.1,10.05,3.591,2,0.697,0.5,3.558,-0.136,3.0,1.6,0.036,0.0,-0.014,-0.5,1.453,0.055,-1.0,-1.1,0.015,0.0,0.013,1,0,0,0,0,0,1,0,6.0
67,2841.5,58.94,0.733,8.1,11.15,3.576,2,0.684,0.5,-1.453,-0.055,1.0,1.1,-0.015,0.0,-0.013,-0.5,9.221,-0.021,2.0,0.4,-0.093,0.0,0.013,1,0,0,0,0,0,1,0,4.0
68,2842.0,49.719,0.754,6.1,10.75,3.669,2,0.671,0.5,-9.221,0.021,-2.0,-0.4,0.093,0.0,-0.013,-0.5,8.315,-0.065,2.6,1.2,-0.203,0.0,0.013,1,0,0,0,0,0,1,0,6.0
69,2842.5,41.404,0.819,3.5,9.55,3.872,2,0.658,0.5,-8.315,0.065,-2.6,-1.2,0.203,0.0,-0.013,-0.5,5.32,-0.063,1.9,1.35,-0.253,0.0,0.013,1,0,0,0,0,0,1,0,6.0
70,2843.0,36.084,0.882,1.6,8.2,4.125,2,0.645,0.5,-5.32,0.063,-1.9,-1.35,0.253,0.0,-0.013,-0.5,6.74,-0.015,1.5,0.95,-0.105,0.0,0.013,1,0,0,0,0,0,1,0,6.0
71,2843.5,29.344,0.897,0.1,7.25,4.23,2,0.632,0.5,-6.74,0.015,-1.5,-0.95,0.105,0.0,-0.013,-0.5,5.272,0.056,0.7,0.45,-0.072,0.0,0.014,1,0,0,0,0,0,1,0,8.0
72,2844.0,24.072,0.841,-0.6,6.8,4.302,2,0.618,0.5,-5.272,-0.056,-0.7,-0.45,0.072,0.0,-0.014,-0.5,1.452,0.108,1.9,-0.85,-0.046,0.0,0.013,1,0,0,0,0,0,1,0,8.0
73,2844.5,22.62,0.733,-2.5,7.65,4.348,2,0.605,0.5,-1.452,-0.108,-1.9,0.85,0.046,0.0,-0.013,-0.5,0.212,0.136,1.3,-1.85,0.058,0.0,0.013,1,0,0,0,0,0,1,0,8.0
74,2845.0,22.408,0.597,-3.8,9.5,4.29,2,0.592,0.5,-0.212,-0.136,-1.3,1.85,-0.058,0.0,-0.013,-0.5,1.224,0.128,-1.1,-1.55,0.035,0.0,0.013,1,0,0,0,0,0,1,0,8.0
75,2845.5,21.184,0.469,-2.7,11.05,4.255,2,0.579,0.5,-1.224,-0.128,1.1,1.55,-0.035,0.0,-0.013,-0.5,-0.612,0.094,-0.4,-2.3,0.042,0.0,0.013,1,0,0,0,0,0,1,0,8.0
76,2846.0,21.796,0.375,-2.3,13.35,4.213,2,0.566,0.5,0.612,-0.094,0.4,2.3,-0.042,0.0,-0.013,-0.5,-2.129,0.061,-0.5,-1.75,-0.15,0.0,0.013,1,0,0,0,0,0,1,0,8.0
77,2846.5,23.925,0.314,-1.8,15.1,4.363,2,0.553,0.5,2.129,-0.061,0.5,1.75,0.15,0.0,-0.013,-0.5,-0.539,0.036,-0.5,-1.05,-0.132,0.0,0.014,1,0,0,0,0,0,1,0,8.0
78,2847.0,24.464,0.278,-1.3,16.15,4.495,2,0.539,0.5,0.539,-0.036,0.5,1.05,0.132,0.0,-0.014,-0.5,-1.575,0.021,0.6,-0.4,-0.107,0.0,0.013,1,0,0,0,0,0,1,0,8.0
79,2847.5,26.039,0.257,-1.9,16.55,4.602,2,0.526,0.5,1.575,-0.021,-0.6,0.4,0.107,0.0,-0.013,-0.5,-1.452,0.01,0.6,0.1,0.058,0.0,0.013,1,0,0,0,0,0,1,0,8.0
80,2848.0,27.491,0.247,-2.5,16.45,4.544,2,0.513,0.5,1.452,-0.01,-0.6,-0.1,-0.058,0.0,-0.013,-0.5,-0.702,-0.002,-0.1,0.15,-0.043,0.0,0.013,1,0,0,0,0,0,1,0,8.0
81,2848.5,28.193,0.249,-2.4,16.3,4.587,2,0.5,0.5,0.702,0.002,0.1,-0.15,0.043,0.0,-0.013,-0.5,-0.441,-0.016,-0.5,0.15,-0.091,0.0,0.013,1,0,0,0,0,0,1,0,8.0
82,2849.0,28.634,0.265,-1.9,16.15,4.678,2,0.487,0.5,0.441,0.016,0.5,-0.15,0.091,0.0,-0.013,-0.5,-1.175,-0.034,-0.9,0.95,-0.188,0.0,0.013,1,0,0,0,0,0,1,0,8.0
83,2849.5,29.809,0.299,-1.0,15.2,4.866,2,0.474,0.5,1.175,0.034,0.9,-0.95,0.188,0.0,-0.013,-0.5,-1.363,-0.05,0.5,1.05,0.083,0.0,0.013,1,0,0,0,0,0,1,0,8.0
84,2850.0,31.172,0.349,-1.5,14.15,4.783,2,0.461,0.5,1.363,0.05,-0.5,-1.05,-0.083,0.0,-0.013,-0.5,-2.276,-0.069,-0.4,1.5,0.095,0.0,0.014,1,0,0,0,0,0,1,0,8.0
85,2850.5,33.448,0.418,-1.1,12.65,4.688,2,0.447,0.5,2.276,0.069,0.4,-1.5,-0.095,0.0,-0.014,-0.5,-0.066,-0.085,0.1,1.35,0.06,0.0,0.013,1,0,0,0,0,0,1,0,8.0
86,2851.0,33.514,0.503,-1.2,11.3,4.628,2,0.434,0.5,0.066,0.085,-0.1,-1.35,-0.06,0.0,-0.013,-0.5,-1.632,-0.09,-0.7,1.25,0.241,0.0,0.013,1,0,0,0,0,0,1,0,8.0
87,2851.5,35.146,0.593,-0.5,10.05,4.387,2,0.421,0.5,1.632,0.09,0.7,-1.25,-0.241,0.0,-0.013,-0.5,-0.807,-0.078,0.2,0.6,0.096,0.0,0.013,1,0,0,0,0,0,1,0,8.0
88,2852.0,35.953,0.671,-0.7,9.45,4.291,2,0.408,0.5,0.807,0.078,-0.2,-0.6,-0.096,0.0,-0.013,-0.5,0.775,-0.058,-0.1,0.45,0.113,0.0,0.013,1,0,0,0,0,0,1,0,6.0
89,2852.5,35.178,0.729,-0.6,9.0,4.178,2,0.395,0.5,-0.775,0.058,0.1,-0.45,-0.113,0.0,-0.013,-0.5,-0.931,-0.044,-0.7,0.65,-0.025,0.0,0.013,1,0,0,0,0,0,1,0,6.0
90,2853.0,36.109,0.773,0.1,8.35,4.203,2,0.382,0.5,0.931,0.044,0.7,-0.65,0.025,0.0,-0.013,-0.5,-2.66,-0.047,-1.2,0.8,-0.059,0.0,0.014,1,0,0,0,0,0,1,0,6.0
91,2853.5,38.769,0.82,1.3,7.55,4.262,2,0.368,0.5,2.66,0.047,1.2,-0.8,0.059,0.0,-0.014,-0.5,-0.742,-0.053,0.0,0.5,-0.125,0.0,0.013,1,0,0,0,0,0,1,0,6.0
92,2854.0,39.511,0.873,1.3,7.05,4.387,2,0.355,0.5,0.742,0.053,0.0,-0.5,0.125,0.0,-0.013,-0.5,-1.012,-0.054,-1.3,0.55,0.381,0.0,0.013,1,0,0,0,0,0,1,0,6.0
93,2854.5,40.523,0.927,2.6,6.5,4.006,2,0.342,0.5,1.012,0.054,1.3,-0.55,-0.381,0.0,-0.013,-0.5,-2.171,-0.037,-0.2,-0.3,0.288,0.0,0.013,1,0,0,0,0,0,1,0,6.0
94,2855.0,42.694,0.964,2.8,6.8,3.718,2,0.329,0.5,2.171,0.037,0.2,0.3,-0.288,0.0,-0.013,-0.5,-2.603,0.005,-0.2,-0.5,0.124,0.0,0.013,1,0,0,0,0,0,1,0,6.0
95,2855.5,45.297,0.959,3.0,7.3,3.594,2,0.316,0.5,2.603,-0.005,0.2,0.5,-0.124,0.0,-0.013,-0.5,-2.848,0.044,-0.8,-0.9,0.134,0.0,0.013,1,0,0,0,0,0,1,0,6.0
96,2856.0,48.145,0.915,3.8,8.2,3.46,2,0.303,0.5,2.848,-0.044,0.8,0.9,-0.134,0.0,-0.013,-0.5,-2.896,0.053,-2.1,-0.55,0.127,0.0,0.014,1,0,0,0,0,0,1,0,6.0
97,2856.5,51.041,0.862,5.9,8.75,3.333,2,0.289,0.5,2.896,-0.053,2.1,0.55,-0.127,0.0,-0.014,-0.5,-5.084,0.037,-1.5,-0.55,-0.003,0.0,0.013,1,0,0,0,0,0,1,0,6.0
98,2857.0,56.125,0.825,7.4,9.3,3.336,2,0.276,0.5,5.084,-0.037,1.5,0.55,0.003,0.0,-0.013,-0.5,-6.08,0.018,1.0,-0.6,-0.026,0.0,0.013,1,0,0,0,0,0,1,0,6.0
99,2857.5,62.205,0.807,6.4,9.9,3.362,2,0.263,0.5,6.08,-0.018,-1.0,0.6,0.026,0.0,-0.013,-0.5,-2.66,0.013,1.7,-0.35,0.118,0.0,0.013,1,0,0,0,0,0,1,0,4.0
100,2858.0,64.865,0.794,4.7,10.25,3.244,2,0.25,0.5,2.66,-0.013,-1.7,0.35,-0.118,0.0,-0.013,-0.5,-3.321,0.023,0.6,0.0,0.07,0.0,0.013,1,0,0,0,0,0,1,0,4.0
101,2858.5,68.186,0.771,4.1,10.25,3.174,2,0.237,0.5,3.321,-0.023,-0.6,0.0,-0.07,0.0,-0.013,-0.5,-4.235,0.028,0.0,-0.3,0.0,0.0,0.013,1,0,0,0,0,0,1,0,4.0
102,2859.0,72.421,0.743,4.1,10.55,3.174,2,0.224,0.5,4.235,-0.028,0.0,0.3,0.0,0.0,-0.013,-0.5,-1.901,0.013,-0.4,-0.1,-0.013,0.0,0.013,1,0,0,0,0,0,1,0,4.0
103,2859.5,74.322,0.73,4.5,10.65,3.187,2,0.211,0.5,1.901,-0.013,0.4,0.1,0.013,0.0,-0.013,-0.5,1.779,-0.018,0.4,0.3,-0.172,0.0,0.014,1,0,0,0,0,0,1,0,4.0
104,2860.0,72.543,0.748,4.1,10.35,3.359,2,0.197,0.5,-1.779,0.018,-0.4,-0.3,0.172,0.0,-0.014,-0.5,6.871,-0.066,0.6,1.3,-0.259,0.0,0.013,1,0,0,0,0,0,1,0,4.0
105,2860.5,65.672,0.814,3.5,9.05,3.618,2,0.184,0.5,-6.871,0.066,-0.6,-1.3,0.259,0.0,-0.013,-0.5,8.519,-0.137,1.8,2.3,-0.284,0.0,0.013,1,0,0,0,0,0,1,0,4.0
106,2861.0,57.153,0.951,1.7,6.75,3.902,2,0.171,0.5,-8.519,0.137,-1.8,-2.3,0.284,0.0,-0.013,-0.5,11.097,-0.197,1.6,2.2,-0.319,0.0,0.013,1,0,0,0,0,0,1,0,6.0
107,2861.5,46.056,1.148,0.1,4.55,4.221,2,0.158,0.5,-11.097,0.197,-1.6,-2.2,0.319,0.0,-0.013,-0.5,8.095,-0.176,0.1,1.25,-0.34,0.0,0.013,1,0,0,0,0,0,1,0,6.0
