DeltaPHI,Depth,Facies,Formation,GR,ILD_log10,NM_M,PE,PHIND,RELPOS,Well Name,train,PE2,smooth_PE,smooth_GR,enc_formation,3prev_Depth,3prev_ILD_log10,3prev_DeltaPHI,3prev_PHIND,3prev_smooth_PE,3prev_smooth_GR,3prev_enc,2prev_enc
2.8,2819.0,2.0,A1 SH,66.595,0.7020000000000001,1,2.988,11.4,0.489,STUART,0,,2.972100000000001,73.9103,0,1.0007099751508697,1.2020547945205482,0.6363636363636362,0.8837209302325582,0.9830323476880334,1.043864443644119,0.0,0.0
2.7,2819.5,2.0,A1 SH,55.081,0.789,1,3.028,8.15,0.467,STUART,0,,2.964800000000001,73.23870000000001,0,1.000709849157054,1.319397993311037,0.4090909090909091,0.6037037037037037,0.985212507892201,1.025258138935863,0.0,0.0
1.0,2820.0,2.0,A1 SH,48.111999999999995,0.84,1,3.073,7.5,0.444,STUART,0,,2.965600000000001,71.9127,0,1.000709723207949,1.3770491803278688,0.1388888888888889,0.5067567567567567,0.990712901717111,0.9934065478657274,0.0,0.0
0.4,2820.5,2.0,A1 SH,43.73,0.846,1,3.1460000000000004,7.1,0.42200000000000004,STUART,0,,2.9820000000000007,69.93220000000001,0,1.0007095973035303,1.330188679245283,0.0625,0.5107913669064748,0.999463735085132,0.9495323092882331,0.0,0.0
0.7,2821.0,2.0,A1 SH,44.097,0.84,1,3.205,6.65,0.4,STUART,0,,3.0111000000000003,67.82930000000002,0,1.0007094714437743,1.1965811965811963,0.25,0.5833333333333334,1.0131220349248005,0.9177245931893121,0.0,0.0
0.8,2821.5,2.0,A1 SH,46.839,0.8420000000000001,1,3.2539999999999996,6.6,0.37799999999999995,STUART,0,,3.0520000000000005,64.9202,0,1.0007093456286575,1.067173637515843,0.2962962962962963,0.8098159509202453,1.029411764705882,0.8864193384098842,0.0,0.0
1.1,2822.0,2.0,A1 SH,50.348,0.843,1,3.23,6.75,0.35600000000000004,STUART,0,,3.0896,61.4473,0,1.000709219858156,1.0035714285714286,1.1,0.9,1.0418127866199078,0.8544707680284567,0.0,0.0
2.2,2822.5,2.0,A1 SH,57.129,0.8220000000000001,1,3.237,7.3,0.33299999999999996,STUART,0,,3.1147,58.2143,0,1.000709094132246,0.9716312056737589,5.5,1.028169014084507,1.0445003353454057,0.8324391339039812,0.0,0.0
4.4,2823.0,2.0,A1 SH,64.465,0.777,1,3.259,8.4,0.311,STUART,0,,3.1418,55.7989,0,1.0007089684509038,0.925,6.2857142857142865,1.263157894736842,1.043406064229019,0.8226371199466895,0.0,0.0
7.1,2823.5,2.0,A1 SH,70.267,0.7290000000000001,1,3.2889999999999997,9.85,0.289,STUART,0,,3.1709,54.666300000000014,0,1.000708842814106,0.8657957244655582,8.874999999999998,1.4924242424242424,1.0389580602883353,0.8420537829519936,0.0,0.0
10.7,2824.0,2.0,A1 SH,76.566,0.664,1,3.3810000000000002,11.55,0.244,STUART,0,,3.2102000000000004,55.66340000000001,0,1.0007087172218285,0.7876631079478055,9.727272727272727,1.7111111111111112,1.0390341791817712,0.9058721864101436,0.0,0.0
10.7,2824.5,2.0,A1 SH,76.778,0.643,1,3.452,12.25,0.222,STUART,0,,3.2526,57.833100000000016,0,1.000708591674048,0.7822384428223844,4.863636363636363,1.678082191780822,1.0442739268629402,0.9934517807480295,0.0,0.0
9.7,2825.0,2.0,A1 SH,73.971,0.632,1,3.3960000000000004,12.55,0.2,STUART,0,,3.2849000000000004,60.41900000000002,0,1.0007084661707404,0.8133848133848134,2.204545454545454,1.494047619047619,1.045547138582978,1.0827991232802083,0.0,0.0
8.8,2825.5,2.0,A1 SH,74.314,0.622,1,3.1439999999999997,13.1,0.17800000000000002,STUART,0,,3.2847,63.47740000000001,0,1.0007083407118824,0.8532235939643346,1.23943661971831,1.3299492385786802,1.0358888643602762,1.1611797396202046,0.0,0.0
4.8,2826.0,2.0,A1 SH,77.031,0.583,1,3.034,16.2,0.156,STUART,0,,3.2676000000000003,66.77080000000001,0,1.0007082152974505,0.878012048192771,0.4485981308411215,1.4025974025974024,1.0178805058874836,1.1995458416122622,0.0,0.0
4.8,2826.5,2.0,A1 SH,74.469,0.517,1,2.931,19.2,0.133,STUART,0,,3.2353,69.53380000000001,0,1.0007080899274208,0.8040435458786936,0.4485981308411215,1.5673469387755101,0.9946811781344155,1.202318395520904,0.0,0.0
6.3,2827.0,2.0,A1 SH,73.327,0.489,1,2.88,20.35,0.111,STUART,0,,3.200300000000001,71.83170000000003,0,1.0007079646017698,0.7737341772151899,0.6494845360824743,1.6215139442231077,0.9742457913482908,1.1888925669077608,0.0,0.0
4.9,2827.5,2.0,A1 SH,74.575,0.526,1,2.795,19.25,0.08900000000000001,STUART,0,,3.156100000000001,73.57630000000003,0,1.0007078393204742,0.8456591639871383,0.5568181818181818,1.4694656488549618,0.9608487837549855,1.159094417855804,0.0,0.0
6.5,2828.0,2.0,A1 SH,70.536,0.5579999999999999,1,3.009,17.05,0.067,STUART,0,,3.131100000000001,74.18340000000002,0,1.0007077140835103,0.9571183533447684,1.3541666666666667,1.0524691358024691,0.9582262210796917,1.1110155936427302,0.0,0.0
7.6,2828.5,2.0,A1 SH,62.93899999999999,0.528,1,3.073,18.8,0.044000000000000004,STUART,0,,3.1095000000000006,73.45060000000001,0,1.0007075888908543,1.0212765957446808,1.5833333333333333,0.9791666666666667,0.9611164343337559,1.0563294397832421,0.0,0.0
10.9,2829.0,2.0,A1 SH,57.137,0.511,1,3.313,19.15,0.022000000000000002,STUART,0,,3.102700000000001,71.5077,0,1.000707463742483,1.0449897750511248,1.7301587301587302,0.9410319410319409,0.9695028591069588,0.9954894566048134,0.0,0.0
7.0,2829.5,8.0,A1 LM,47.345,0.584,2,3.5269999999999997,16.3,1.0,STUART,0,,3.110200000000001,68.5644,1,1.0007073386383731,1.1102661596958174,1.4285714285714284,0.8467532467532468,0.985456734577485,0.931881597742751,0.0,0.0
6.4,2830.0,8.0,A1 LM,35.733000000000004,0.73,2,3.928,10.2,0.987,STUART,0,,3.1634000000000007,64.7406,1,1.0007072135785007,1.3082437275985663,0.9846153846153847,0.5982404692082111,1.0103158634345757,0.8727100672118019,0.0,0.0
2.7,2830.5,8.0,A1 LM,29.326999999999998,0.873,2,4.33,7.85,0.9740000000000001,STUART,0,,3.282000000000001,60.2419,1,1.0007070885628424,1.6534090909090908,0.3552631578947369,0.41755319148936165,1.055475156777617,0.8201689298657873,0.0,1.0
1.4,2831.0,8.0,A1 LM,28.241999999999997,0.963,2,4.413,6.3,0.961,STUART,0,,3.4199000000000006,55.362999999999985,1,1.000706963591375,1.8845401174168297,0.12844036697247704,0.32898172323759794,1.1022335385309567,0.7742243143046131,1.0,1.0
1.8,2831.5,8.0,A1 LM,34.558,1.018,2,4.511,5.6,0.9470000000000001,STUART,0,,3.577900000000001,51.37189999999998,1,1.000706838664075,1.743150684931507,0.2571428571428572,0.3435582822085889,1.1503761815960387,0.7492503398264986,1.0,1.0
1.8,2832.0,8.0,A1 LM,43.754,1.054,2,4.412,5.2,0.934,STUART,0,,3.7311000000000005,48.414599999999986,1,1.0007067137809187,1.4438356164383563,0.28125,0.5098039215686275,1.1794588101409875,0.7478243945839239,1.0,1.0
1.5,2832.5,6.0,A1 LM,53.611999999999995,1.067,2,4.226,5.05,0.9209999999999999,STUART,0,,3.8742000000000005,46.31829999999998,1,1.0007065889418831,1.222222222222222,0.5555555555555555,0.643312101910828,1.1804387568555756,0.7688718317317346,1.0,1.0
1.9,2833.0,6.0,A1 LM,60.718999999999994,1.0390000000000001,2,3.931,4.85,0.9079999999999999,STUART,0,,3.9664,45.33659999999998,1,1.0007064641469445,1.078920041536864,1.3571428571428572,0.7698412698412698,1.1597999941518755,0.8188970973393782,1.0,1.0
2.7,2833.5,6.0,A1 LM,66.538,0.94,2,3.7030000000000003,5.45,0.895,STUART,0,,4.029400000000001,45.69649999999998,1,1.0007063393960798,0.9233791748526522,1.5,0.9732142857142858,1.1261913412895832,0.8895232607709661,1.0,1.0
4.0,2834.0,6.0,A1 LM,75.52199999999999,0.8009999999999999,2,3.5010000000000003,7.3,0.882,STUART,0,,4.0482,47.53499999999998,1,1.0007062146892656,0.7599620493358633,2.2222222222222223,1.4038461538461537,1.0849883412398487,0.981831926732845,1.0,1.0
6.5,2834.5,6.0,A1 LM,95.979,0.6920000000000001,2,3.346,9.55,0.868,STUART,0,,4.0301,52.39839999999998,1,1.0007060900264784,0.6485473289597001,4.333333333333333,1.8910891089108912,1.0402405657942284,1.1312677710537737,1.0,1.0
8.3,2835.0,4.0,A1 LM,130.26,0.644,2,3.242,11.15,0.855,STUART,0,,3.9615,61.851099999999974,1,1.000705965407695,0.6198267564966313,4.36842105263158,2.2989690721649487,0.998764622831787,1.3642641927272887,1.0,1.0
9.3,2835.5,4.0,A1 LM,160.167,0.643,2,3.2939999999999996,12.15,0.8420000000000001,STUART,0,,3.8579,74.93509999999998,1,1.0007058408328922,0.6840425531914894,3.4444444444444446,2.229357798165138,0.9574378319352755,1.6398433140393687,1.0,1.0
9.1,2836.0,4.0,A1 LM,176.528,0.6729999999999999,2,3.298,12.05,0.8290000000000001,STUART,0,,3.7464,89.76369999999999,1,1.0007057163020465,0.8401997503121098,2.275,1.6506849315068495,0.9254483474136654,1.8883706742400341,1.0,1.0
8.9,2836.5,4.0,A1 LM,175.622,0.72,2,3.3489999999999998,12.15,0.816,STUART,0,,3.6301999999999994,103.87009999999998,1,1.0007055918151349,1.0404624277456647,1.3692307692307693,1.2722513089005234,0.9007716930100989,1.982314345476198,1.0,1.0
7.6,2837.0,4.0,A1 LM,153.965,0.7559999999999999,2,3.31,11.9,0.8029999999999999,STUART,0,,3.5199999999999996,114.89119999999998,1,1.000705467372134,1.1739130434782608,0.9156626506024095,1.0672645739910314,0.8885523160419032,1.8575449749478996,1.0,1.0
7.2,2837.5,4.0,A1 LM,120.07600000000001,0.7659999999999999,2,3.365,12.2,0.789,STUART,0,,3.4339,121.53759999999997,1,1.0007053429730206,1.1912908242612752,0.7741935483870968,1.0041152263374484,0.8900956478913399,1.6219048216389917,1.0,1.0
7.1,2838.0,4.0,A1 LM,91.434,0.787,2,3.392,12.15,0.7759999999999999,STUART,0,,3.3800000000000003,124.60909999999997,1,1.0007052186177716,1.1693907875185736,0.7802197802197802,1.008298755186722,0.9021994448003418,1.3881903263791486,1.0,1.0
4.6,2838.5,4.0,A1 LM,69.312,0.8740000000000001,2,3.293,10.4,0.763,STUART,0,,3.339,124.88649999999996,1,1.0007050943063636,1.213888888888889,0.5168539325842696,0.8559670781893004,0.9197840339375243,1.2023334915437647,1.0,1.0
0.8,2839.0,6.0,A1 LM,54.828,1.0290000000000001,2,3.395,8.2,0.75,STUART,0,,3.3284000000000007,122.81709999999995,1,1.0007049700387733,1.3611111111111114,0.10526315789473685,0.6890756302521007,0.9455681818181821,1.0689861364490925,1.0,1.0
0.3,2839.5,6.0,A1 LM,50.854,1.149,2,3.5,6.85,0.737,STUART,0,,3.3438000000000003,118.30459999999997,1,1.0007048458149779,1.5000000000000002,0.041666666666666664,0.5614754098360656,0.9737616121610997,0.9733991785258225,1.0,1.0
1.0,2840.0,6.0,A1 LM,54.632,1.09,2,3.576,7.4,0.7240000000000001,STUART,0,,3.3772000000000006,110.74179999999997,1,1.0007047216349543,1.3850063532401524,0.14084507042253522,0.6090534979423868,0.9991715976331362,0.8887135851233978,1.0,1.0
4.1,2840.5,6.0,A1 LM,56.835,0.924,2,3.555,8.45,0.711,STUART,0,,3.4033000000000007,100.40859999999996,1,1.0007045974986788,1.05720823798627,0.8913043478260869,0.8124999999999999,1.0192572626534893,0.8039988309384921,1.0,1.0
7.1,2841.0,6.0,A1 LM,60.393,0.7879999999999999,2,3.591,10.05,0.6970000000000001,STUART,0,,3.4326000000000008,88.79509999999996,1,1.000704473406129,0.7657920310981534,8.874999999999998,1.2256097560975612,1.0313063333733927,0.7229864570975866,1.0,1.0
8.1,2841.5,4.0,A1 LM,58.94,0.733,2,3.576,11.15,0.684,STUART,0,,3.455300000000001,77.12689999999995,1,1.0007043493572811,0.6379460400348128,27.0,1.6277372262773724,1.0333452957712785,0.6519349205356341,1.0,1.0
6.1,2842.0,6.0,A1 LM,49.718999999999994,0.754,2,3.6689999999999996,10.75,0.6709999999999999,STUART,0,,3.4912000000000005,66.70229999999995,1,1.0007042253521128,0.691743119266055,6.1,1.4527027027027026,1.033755774013976,0.6023227001908942,1.0,1.0
3.5,2842.5,6.0,A1 LM,41.403999999999996,0.8190000000000001,2,3.872,9.55,0.6579999999999999,STUART,0,,3.5419000000000005,58.835099999999954,1,1.0007041013906002,0.8863636363636364,0.853658536585366,1.1301775147928996,1.0407251785032174,0.5859567805944906,1.0,1.0
1.6,2843.0,8.0,A1 LM,36.084,0.882,2,4.125,8.2,0.645,STUART,0,,3.6152,53.30009999999995,1,1.0007039774727209,1.119289340101523,0.22535211267605637,0.8159203980099501,1.0531958282351568,0.600259473777269,1.0,1.0
0.1,2843.5,8.0,A1 LM,29.344,0.897,2,4.23,7.25,0.632,STUART,0,,3.7089000000000008,49.30329999999996,1,1.0007038535984516,1.223738062755798,0.01234567901234568,0.6502242152466368,1.0733944954128438,0.6392490817081976,1.0,1.0
-0.6,2844.0,8.0,A1 LM,24.072,0.841,2,4.302,6.8,0.618,STUART,0,,3.7996000000000003,46.227699999999956,1,1.0007037297677692,1.1153846153846154,-0.09836065573770492,0.6325581395348837,1.0883363886342805,0.6930450674114684,1.0,1.0
-2.5,2844.5,8.0,A1 LM,22.62,0.733,2,4.348,7.65,0.605,STUART,0,,3.8844000000000003,43.404299999999964,1,1.000703605980651,0.8949938949938949,-0.7142857142857143,0.8010471204188482,1.0966995115615912,0.7377279889045825,1.0,1.0
-3.8,2845.0,8.0,A1 LM,22.408,0.597,2,4.29,9.5,0.5920000000000001,STUART,0,,3.9558,40.18189999999996,1,1.0007034822370735,0.6768707482993197,-2.3749999999999996,1.1585365853658538,1.0942133215313121,0.7538803867159724,1.0,1.0
-2.7,2845.5,8.0,A1 LM,21.184,0.469,2,4.255,11.05,0.579,STUART,0,,4.0258,36.61679999999997,1,1.0007033585370142,0.5228539576365663,-27.0,1.524137931034483,1.0854431232980128,0.7426845667531382,1.0,1.0
-2.3,2846.0,7.0,A1 LM,21.796,0.375,2,4.213,13.35,0.5660000000000001,STUART,0,,4.088,32.757099999999966,1,1.00070323488045,0.44589774078478006,3.833333333333333,1.963235294117647,1.0759027266028003,0.7086032833128189,1.0,1.0
-1.8,2846.5,8.0,A1 LM,23.925,0.314,2,4.363,15.1,0.5529999999999999,STUART,0,,4.1667000000000005,29.25559999999997,1,1.0007031112673581,0.42837653478854026,0.72,1.9738562091503267,1.0726753166512204,0.6740253845817118,1.0,1.0
-1.3,2847.0,8.0,A1 LM,24.464000000000002,0.278,2,4.495,16.15,0.539,STUART,0,,4.2493,26.73009999999997,1,1.0007029876977154,0.46566164154103856,0.34210526315789475,1.7,1.074194853127054,0.665227378496288,1.0,1.0
-1.9,2847.5,8.0,A1 LM,26.039,0.257,2,4.602,16.55,0.526,STUART,0,,4.3223,25.193599999999968,1,1.0007028641714988,0.5479744136460555,0.7037037037037036,1.497737556561086,1.0736499577723682,0.6880339079329704,1.0,1.0
-2.5,2848.0,8.0,A1 LM,27.491,0.247,2,4.544,16.45,0.513,STUART,0,,4.364199999999999,24.334299999999967,1,1.000702740688686,0.6586666666666666,1.0869565217391306,1.2322097378277153,1.0675636007827787,0.7428710111700972,1.0,1.0
-2.4,2848.5,8.0,A1 LM,28.193,0.249,2,4.587,16.3,0.5,STUART,0,,4.3999,24.219199999999965,1,1.0007026172492535,0.7929936305732485,1.3333333333333333,1.0794701986754967,1.0559675522595817,0.8278483435649924,1.0,1.0
-1.9,2849.0,8.0,A1 LM,28.634,0.265,2,4.678,16.15,0.48700000000000004,STUART,0,,4.437499999999999,24.675399999999968,1,1.0007024938531788,0.9532374100719424,1.4615384615384615,1.0,1.044289647706681,0.9231316007048231,1.0,1.0
-1.0,2849.5,8.0,A1 LM,29.809,0.299,2,4.8660000000000005,15.2,0.474,STUART,0,,4.489299999999999,25.39429999999997,1,1.000702370500439,1.1634241245136185,0.5263157894736842,0.9184290030211479,1.0386368368692591,1.0079663089038486,1.0,1.0
-1.5,2850.0,8.0,A1 LM,31.171999999999997,0.349,2,4.783,14.15,0.461,STUART,0,,4.5386,26.270699999999966,1,1.0007022471910112,1.4129554655870444,0.6,0.8601823708206687,1.0399615049722746,1.0795749209962893,1.0,1.0
-1.1,2850.5,8.0,A1 LM,33.448,0.418,2,4.688,12.65,0.447,STUART,0,,4.581899999999999,27.49709999999996,1,1.0007021239248728,1.678714859437751,0.45833333333333337,0.7760736196319018,1.041364576467647,1.135343033626214,1.0,1.0
-1.2,2851.0,8.0,A1 LM,33.514,0.503,2,4.628,11.3,0.434,STUART,0,,4.623399999999999,28.66889999999996,1,1.0007020007020007,1.8981132075471698,0.631578947368421,0.6996904024767803,1.0418929577464788,1.1618413480632532,1.0,1.0
-0.5,2851.5,8.0,A1 LM,35.146,0.593,2,4.387,10.05,0.42100000000000004,STUART,0,,4.6258,29.79099999999996,1,1.0007018775223724,1.9832775919732442,0.5,0.6611842105263158,1.0304056311674428,1.1731372788381644,1.0,1.0
-0.7,2852.0,6.0,A1 LM,35.953,0.6709999999999999,2,4.291,9.45,0.408,STUART,0,,4.6053999999999995,30.93989999999996,1,1.0007017543859649,1.9226361031518624,0.4666666666666666,0.6678445229681979,1.0147181950381174,1.1777341296577555,1.0,1.0
-0.6,2852.5,6.0,A1 LM,35.178000000000004,0.7290000000000001,2,4.178,9.0,0.395,STUART,0,,4.563,31.85379999999996,1,1.0007016312927557,1.7440191387559811,0.5454545454545454,0.7114624505928854,0.9958750736593991,1.1584421629917339,1.0,1.0
0.1,2853.0,6.0,A1 LM,36.109,0.773,2,4.203,8.35,0.382,STUART,0,,4.5289,32.71559999999996,1,1.0007015082427217,1.536779324055666,-0.08333333333333334,0.7389380530973451,0.9795604966042308,1.1411529566882581,1.0,1.0
1.3,2853.5,6.0,A1 LM,38.769,0.82,2,4.262,7.55,0.368,STUART,0,,4.4963999999999995,33.77319999999996,1,1.0007013852358408,1.3827993254637436,-2.6,0.7512437810945273,0.9720264602879501,1.1336712429928504,1.0,1.0
1.3,2854.0,6.0,A1 LM,39.510999999999996,0.873,2,4.387,7.05,0.355,STUART,0,,4.4673,34.86089999999996,1,1.0007012622720897,1.3010432190760062,-1.8571428571428574,0.746031746031746,0.9700134624571156,1.1267295627975529,1.0,1.0
2.6,2854.5,6.0,A1 LM,40.523,0.927,2,4.006,6.5,0.342,STUART,0,,4.3813,35.932299999999955,1,1.000701139351446,1.2716049382716048,-4.333333333333334,0.7222222222222222,0.9601797063335527,1.1280380990651038,1.0,1.0
2.8,2855.0,6.0,A1 LM,42.693999999999996,0.9640000000000001,2,3.718,6.8,0.32899999999999996,STUART,0,,4.274800000000001,37.084499999999956,1,1.0007010164738872,1.2470892626131953,27.999999999999996,0.8143712574850299,0.9438936607123144,1.1335417965741115,1.0,1.0
3.0,2855.5,6.0,A1 LM,45.297,0.9590000000000001,2,3.594,7.3,0.316,STUART,0,,4.1654,38.26939999999996,1,1.0007008936393902,1.1695121951219514,2.3076923076923075,0.9668874172185431,0.926385552886754,1.1331292267241484,1.0,1.0
3.8,2856.0,6.0,A1 LM,48.145,0.915,2,3.46,8.2,0.303,STUART,0,,4.0486,39.73249999999996,1,1.0007007708479327,1.0481099656357389,2.923076923076923,1.1631205673758864,0.906274483468762,1.1397439538279277,1.0,1.0
5.9,2856.5,6.0,A1 LM,51.041000000000004,0.862,2,3.333,8.75,0.289,STUART,0,,3.9432,41.32199999999996,1,1.000700648099492,0.9298813376483279,2.269230769230769,1.3461538461538463,0.9000068472827699,1.1499959646334916,1.0,1.0
7.4,2857.0,6.0,A1 LM,56.125,0.825,2,3.3360000000000003,9.3,0.276,STUART,0,,3.8477000000000006,43.33919999999996,1,1.0007005253940455,0.8558091286307052,2.6428571428571432,1.3676470588235297,0.900088893047628,1.1686607612344784,1.0,1.0
6.4,2857.5,4.0,A1 LM,62.205,0.807,2,3.362,9.9,0.263,STUART,0,,3.7661000000000007,46.041899999999956,1,1.0007004027315707,0.8415015641293013,2.1333333333333333,1.356164383561644,0.9041388582128969,1.203099604383659,1.0,1.0
4.7,2858.0,4.0,A1 LM,64.865,0.794,2,3.2439999999999998,10.25,0.25,STUART,0,,3.6702000000000004,48.917499999999954,1,1.0007002801120448,0.8677595628415301,1.236842105263158,1.25,0.9065355925505113,1.23117095576669,1.0,1.0
4.1,2858.5,4.0,A1 LM,68.186,0.7709999999999999,2,3.174,10.25,0.237,STUART,0,,3.5614000000000003,51.85919999999995,1,1.0007001575354455,0.8944315545243618,0.6949152542372881,1.1714285714285715,0.9031750862243864,1.255002178016553,1.0,1.0
4.1,2859.0,4.0,A1 LM,72.421,0.743,2,3.174,10.55,0.22399999999999998,STUART,0,,3.4401,55.15019999999996,1,1.00070003500175,0.9006060606060606,0.554054054054054,1.1344086021505375,0.8940665852327363,1.272524642817588,1.0,1.0
4.5,2859.5,4.0,A1 LM,74.322,0.73,2,3.187,10.65,0.21100000000000002,STUART,0,,3.3582,58.53009999999996,1,1.0006999125109362,0.9045848822800495,0.703125,1.0757575757575757,0.8916916704282943,1.2712355484895284,1.0,1.0
4.1,2860.0,4.0,A1 LM,72.543,0.748,2,3.359,10.35,0.19699999999999998,STUART,0,,3.3223,61.514999999999965,1,1.000699790062981,0.9420654911838791,0.8723404255319148,1.0097560975609756,0.9052095253664649,1.2575254254612362,1.0,1.0
3.5,2860.5,4.0,A1 LM,65.672,0.8140000000000001,2,3.6180000000000003,9.05,0.184,STUART,0,,3.3247,63.55249999999997,1,1.0006996676578626,1.0557717250324257,0.853658536585366,0.8829268292682928,0.9335373729432245,1.225481688880662,1.0,1.0
