,Facies,Cluster,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
155,8,3,B1 LM,STUART,2885.5,23.795,0.948,2.3,4.45,4.565,2,0.839
156,8,3,B1 LM,STUART,2886.0,20.719,1.061,2.2,3.5,4.615,2,0.806
157,8,3,B1 LM,STUART,2886.5,18.499,1.139,2.4,3.2,4.696,2,0.774
158,8,3,B1 LM,STUART,2887.0,19.446,1.118,1.5,4.65,4.668,2,0.742
159,8,3,B1 LM,STUART,2887.5,21.388,1.019,1.0,7.1,4.579,2,0.71
160,8,9,B1 LM,STUART,2888.0,24.178,0.908,1.2,9.2,4.292,2,0.677
161,8,9,B1 LM,STUART,2888.5,27.638,0.812,0.0,11.1,4.046,2,0.645
162,8,9,B1 LM,STUART,2889.0,31.669,0.724,0.9,11.45,3.822,2,0.613
163,7,19,B1 LM,STUART,2889.5,39.389,0.627,3.4,11.2,3.629,2,0.581
164,7,19,B1 LM,STUART,2890.0,49.385,0.535,6.4,11.5,3.517,2,0.548
165,7,12,B1 LM,STUART,2890.5,58.516,0.488,9.0,11.4,3.474,2,0.516
166,7,12,B1 LM,STUART,2891.0,66.619,0.511,9.2,10.8,3.613,2,0.484
167,7,12,B1 LM,STUART,2891.5,67.296,0.602,6.4,9.5,3.862,2,0.452
168,6,11,B1 LM,STUART,2892.0,57.798,0.745,3.7,8.25,4.052,2,0.419
169,6,11,B1 LM,STUART,2892.5,48.169,0.912,1.1,7.45,4.241,2,0.387
170,6,3,B1 LM,STUART,2893.0,41.437,1.045,0.4,6.3,4.476,2,0.355
171,6,3,B1 LM,STUART,2893.5,39.348,1.117,0.1,5.35,4.712,2,0.323
172,6,3,B1 LM,STUART,2894.0,49.312,1.144,1.0,4.5,4.56,2,0.29
173,6,15,B1 LM,STUART,2894.5,61.984,1.143,0.7,4.85,4.605,2,0.258
174,6,15,B1 LM,STUART,2895.0,73.506,1.122,0.9,5.75,4.574,2,0.226
175,6,15,B1 LM,STUART,2895.5,74.208,1.095,0.3,6.85,4.478,2,0.194
176,6,15,B1 LM,STUART,2896.0,67.819,1.072,-0.7,7.55,4.444,2,0.161
177,6,15,B1 LM,STUART,2896.5,61.625,1.057,-1.2,7.4,4.439,2,0.129
178,6,15,B1 LM,STUART,2897.0,61.625,1.057,-1.2,7.4,4.439,2,0.129
179,6,15,B1 LM,STUART,2897.5,55.481,1.041,-0.9,6.55,4.335,2,0.097
180,6,15,B1 LM,STUART,2898.0,57.251,0.98,-0.1,5.75,3.907,2,0.065
181,6,15,B1 LM,STUART,2898.5,67.28,0.84,-0.6,7.1,3.58,2,0.032
182,3,10,B2 SH,STUART,2899.0,76.02,0.686,0.7,9.45,3.23,1,1.0
183,3,10,B2 SH,STUART,2899.5,84.457,0.603,2.5,12.45,2.967,1,0.947
184,3,14,B2 SH,STUART,2900.0,89.019,0.595,4.6,14.9,2.794,1,0.895
185,3,14,B2 SH,STUART,2900.5,89.933,0.591,3.9,18.55,2.789,1,0.842
186,3,14,B2 SH,STUART,2901.0,89.386,0.539,4.5,22.55,2.861,1,0.789
187,3,14,B2 SH,STUART,2901.5,89.427,0.479,6.2,25.4,2.935,1,0.737
188,3,14,B2 SH,STUART,2902.0,87.517,0.461,7.6,24.4,3.128,1,0.684
189,3,14,B2 SH,STUART,2902.5,83.747,0.485,8.7,23.15,3.284,1,0.632
190,3,14,B2 SH,STUART,2903.0,78.304,0.541,6.1,21.25,3.332,1,0.579
191,2,2,B2 SH,STUART,2903.5,71.858,0.635,8.5,15.95,3.485,1,0.526
192,2,10,B2 SH,STUART,2904.0,64.701,0.737,5.0,15.7,3.471,1,0.474
193,2,1,B2 SH,STUART,2904.5,64.293,0.752,1.7,17.15,3.45,1,0.421
194,3,1,B2 SH,STUART,2905.0,67.158,0.686,-0.3,19.95,3.276,1,0.368
195,3,1,B2 SH,STUART,2905.5,72.478,0.631,0.2,20.4,3.171,1,0.316
196,3,5,B2 SH,STUART,2906.0,78.068,0.614,5.0,18.1,3.252,1,0.211
197,3,1,B2 SH,STUART,2906.5,73.008,0.592,2.4,20.1,3.175,1,0.158
198,3,1,B2 SH,STUART,2907.0,64.644,0.543,1.7,22.35,3.302,1,0.105
199,3,1,B2 SH,STUART,2907.5,49.801,0.538,0.0,20.8,3.551,1,0.053
200,8,9,B2 LM,STUART,2908.0,35.937,0.628,-2.8,16.8,3.96,2,1.0
201,8,9,B2 LM,STUART,2908.5,24.203,0.743,-0.3,12.35,4.454,2,0.963
202,8,9,B2 LM,STUART,2909.0,15.986,0.777,-0.2,11.5,4.657,2,0.926
203,8,9,B2 LM,STUART,2909.5,12.036,0.773,-0.5,10.55,4.594,2,0.889
204,8,9,B2 LM,STUART,2910.0,12.746,0.787,-1.2,9.2,4.437,2,0.852
205,8,9,B2 LM,STUART,2910.5,14.843,0.809,-1.6,7.7,4.351,2,0.815
206,8,9,B2 LM,STUART,2911.0,17.087,0.806,-1.0,6.8,4.242,2,0.778
207,8,9,B2 LM,STUART,2911.5,17.977,0.765,0.3,6.45,4.105,2,0.741
208,8,9,B2 LM,STUART,2912.0,18.834,0.701,-0.1,7.15,4.279,2,0.704
209,8,9,B2 LM,STUART,2912.5,19.258,0.644,0.4,7.4,4.669,2,0.667
210,8,9,B2 LM,STUART,2913.0,19.062,0.61,0.6,7.8,5.19,2,0.63
211,9,9,B2 LM,STUART,2913.5,18.638,0.6,1.8,7.6,5.527,2,0.593
212,9,11,B2 LM,STUART,2914.0,19.462,0.598,3.4,6.8,6.321,2,0.556
213,9,11,B2 LM,STUART,2914.5,19.552,0.581,3.1,6.95,6.16,2,0.519
214,9,11,B2 LM,STUART,2915.0,20.653,0.529,0.9,8.65,5.865,2,0.481
215,9,16,B2 LM,STUART,2915.5,23.371,0.45,-1.0,11.3,5.315,2,0.444
216,8,16,B2 LM,STUART,2916.0,25.468,0.391,-1.3,13.75,4.918,2,0.407
217,8,16,B2 LM,STUART,2916.5,26.292,0.377,-2.3,14.85,4.521,2,0.37
218,8,16,B2 LM,STUART,2917.0,27.736,0.411,-3.6,14.1,4.443,2,0.333
219,8,16,B2 LM,STUART,2917.5,29.784,0.482,-3.1,11.85,4.347,2,0.296
220,8,11,B2 LM,STUART,2918.0,31.041,0.578,-2.2,9.4,4.416,2,0.259
221,6,11,B2 LM,STUART,2918.5,30.837,0.683,-0.4,7.4,4.394,2,0.222
222,6,11,B2 LM,STUART,2919.0,32.64,0.807,1.0,5.6,4.343,2,0.185
223,6,11,B2 LM,STUART,2919.5,33.571,0.942,1.6,4.5,4.086,2,0.148
224,6,15,B2 LM,STUART,2920.0,39.56,1.003,1.9,4.55,3.811,2,0.111
225,6,15,B2 LM,STUART,2920.5,47.475,0.931,1.5,6.15,3.625,2,0.074
226,6,15,B2 LM,STUART,2921.0,56.443,0.821,2.3,8.05,3.393,2,0.037
227,3,10,B3 SH,STUART,2921.5,64.799,0.751,3.4,9.6,3.12,1,1.0
228,3,10,B3 SH,STUART,2922.0,69.72,0.711,3.0,12.4,3.03,1,0.95
229,3,14,B3 SH,STUART,2922.5,72.511,0.637,3.5,16.35,2.984,1,0.9
230,3,14,B3 SH,STUART,2923.0,74.698,0.525,5.4,20.8,2.915,1,0.85
231,3,14,B3 SH,STUART,2923.5,74.698,0.525,5.4,20.8,2.915,1,0.85
232,3,14,B3 SH,STUART,2924.0,73.425,0.458,5.2,21.6,2.92,1,0.8
233,3,14,B3 SH,STUART,2924.5,71.328,0.486,3.1,17.35,2.995,1,0.75
234,2,10,B3 SH,STUART,2925.0,68.937,0.587,4.1,13.25,3.122,1,0.7
235,2,10,B3 SH,STUART,2925.5,66.562,0.671,1.3,13.25,3.243,1,0.65
236,2,10,B3 SH,STUART,2926.0,64.636,0.663,3.2,13.3,3.324,1,0.6
237,2,10,B3 SH,STUART,2926.5,66.619,0.625,4.0,13.6,3.33,1,0.55
238,2,10,B3 SH,STUART,2927.0,66.619,0.625,4.0,13.6,3.33,1,0.55
239,2,10,B3 SH,STUART,2927.5,65.624,0.635,3.2,12.4,3.309,1,0.5
240,2,10,B3 SH,STUART,2928.0,65.322,0.68,3.3,9.65,3.315,1,0.45
241,2,10,B3 SH,STUART,2928.5,67.035,0.707,2.4,8.6,3.232,1,0.4
242,2,10,B3 SH,STUART,2929.0,68.194,0.693,3.0,8.8,3.157,1,0.35
243,2,10,B3 SH,STUART,2929.5,69.149,0.646,3.0,10.4,3.034,1,0.3
244,2,5,B3 SH,STUART,2930.0,72.201,0.588,3.2,13.2,3.052,1,0.25
245,2,5,B3 SH,STUART,2930.5,73.776,0.542,4.4,16.0,3.132,1,0.2
246,2,5,B3 SH,STUART,2931.0,72.609,0.525,5.5,17.55,3.31,1,0.15
247,3,5,B3 SH,STUART,2931.5,66.864,0.55,5.3,16.55,3.625,1,0.1
248,3,5,B3 SH,STUART,2932.0,53.702,0.62,5.7,13.75,4.003,1,0.05
249,8,19,B3 LM,STUART,2932.5,40.474,0.713,4.7,11.15,4.278,2,1.0
250,8,9,B3 LM,STUART,2933.0,28.12,0.774,2.2,10.5,4.537,2,0.9
251,8,9,B3 LM,STUART,2933.5,20.213,0.769,-1.1,10.95,4.682,2,0.8
252,8,9,B3 LM,STUART,2934.0,19.193,0.732,-1.0,11.1,4.546,2,0.7
253,8,9,B3 LM,STUART,2934.5,20.449,0.699,-0.7,10.65,4.386,2,0.6
254,8,11,B3 LM,STUART,2935.0,21.355,0.679,-0.1,9.95,4.28,2,0.5
255,8,11,B3 LM,STUART,2935.5,21.641,0.668,1.3,8.95,4.221,2,0.4
256,8,11,B3 LM,STUART,2936.0,24.203,0.653,2.6,8.3,4.099,2,0.3
257,8,11,B3 LM,STUART,2936.5,34.574,0.613,2.4,9.0,3.66,2,0.2
258,6,11,B3 LM,STUART,2937.0,45.231,0.548,2.3,10.45,3.496,2,0.1
259,3,10,B4 SH,STUART,2937.5,56.427,0.498,2.9,11.35,3.338,1,1.0
260,2,10,B4 SH,STUART,2938.0,67.06,0.504,1.7,11.65,3.135,1,0.944
261,2,10,B4 SH,STUART,2938.5,70.838,0.558,2.0,10.8,3.012,1,0.889
262,2,10,B4 SH,STUART,2939.0,69.932,0.612,3.3,10.05,3.066,1,0.833
263,2,10,B4 SH,STUART,2939.5,74.526,0.633,4.1,10.25,3.109,1,0.778
264,2,10,B4 SH,STUART,2940.0,77.611,0.626,5.0,11.0,3.063,1,0.722
265,2,10,B4 SH,STUART,2940.5,78.59,0.605,5.9,11.55,3.092,1,0.667
266,2,10,B4 SH,STUART,2941.0,76.729,0.591,5.7,11.95,3.051,1,0.611
267,2,10,B4 SH,STUART,2941.5,74.11,0.608,3.7,10.95,3.07,1,0.556
268,2,10,B4 SH,STUART,2942.0,66.407,0.653,2.2,9.6,2.997,1,0.5
269,2,10,B4 SH,STUART,2942.5,64.081,0.693,1.4,8.6,3.093,1,0.444
270,2,10,B4 SH,STUART,2943.0,65.885,0.705,0.9,8.55,3.106,1,0.389
271,2,10,B4 SH,STUART,2943.5,70.299,0.696,1.4,9.0,3.085,1,0.333
272,2,10,B4 SH,STUART,2944.0,70.299,0.696,1.4,9.0,3.085,1,0.333
273,2,10,B4 SH,STUART,2944.5,74.551,0.677,3.1,9.65,3.066,1,0.278
274,2,5,B4 SH,STUART,2945.0,79.659,0.643,3.4,12.5,2.902,1,0.222
275,3,1,B4 SH,STUART,2945.5,80.402,0.573,-2.8,19.3,2.982,1,0.167
276,3,1,B4 SH,STUART,2946.0,74.649,0.483,-0.5,23.95,3.14,1,0.111
277,3,1,B4 SH,STUART,2946.5,63.429,0.461,0.2,24.2,3.394,1,0.056
278,8,16,B4 LM,STUART,2947.0,47.916,0.598,-7.6,18.9,3.762,2,1.0
279,8,9,B4 LM,STUART,2947.5,32.469,0.912,-1.4,9.8,4.314,2,0.929
280,8,3,B4 LM,STUART,2948.0,20.718,1.222,-2.9,7.85,4.863,2,0.857
281,8,3,B4 LM,STUART,2948.5,15.015,1.233,-1.6,6.4,4.813,2,0.786
282,8,3,B4 LM,STUART,2949.0,14.084,1.084,-1.1,6.55,4.644,2,0.714
283,8,9,B4 LM,STUART,2949.5,15.937,0.962,-0.4,7.4,4.634,2,0.643
284,8,9,B4 LM,STUART,2950.0,19.348,0.901,-1.0,7.9,4.545,2,0.571
285,8,9,B4 LM,STUART,2950.5,21.469,0.906,-1.1,6.75,4.576,2,0.5
286,8,3,B4 LM,STUART,2951.0,22.587,0.969,-1.4,5.5,4.527,2,0.429
287,8,3,B4 LM,STUART,2951.5,25.721,1.079,-0.9,4.45,4.512,2,0.357
288,8,3,B4 LM,STUART,2952.0,29.45,1.2,0.0,4.0,4.437,2,0.286
289,8,3,B4 LM,STUART,2952.5,36.313,1.169,-3.3,6.95,3.97,2,0.214
290,6,11,B4 LM,STUART,2953.0,49.491,0.909,-8.9,13.85,3.695,2,0.143
291,3,18,B5 SH,STUART,2953.5,69.222,0.469,-6.0,27.9,3.351,1,1.0
292,3,1,B5 SH,STUART,2954.0,70.968,0.444,-2.5,28.85,3.49,1,0.75
