Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
3,A1 SH,SHRIMPLIN,2805.5,69.48,0.354,5.8,14.675,3.0,1,0.40399999999999997
3,A1 SH,SHRIMPLIN,2806.0,76.37,0.354,5.2,13.635,3.0,1,0.38299999999999995
2,A1 SH,SHRIMPLIN,2806.5,82.2,0.348,7.4,15.055,3.0,1,0.36200000000000004
2,A1 SH,SHRIMPLIN,2807.0,90.25,0.34600000000000003,11.5,20.23,3.1,1,0.34
2,A1 SH,SHRIMPLIN,2807.5,94.38,0.358,14.2,24.015,3.0,1,0.319
2,A1 SH,SHRIMPLIN,2808.0,87.44,0.377,13.9,23.58,3.1,1,0.298
2,A1 SH,SHRIMPLIN,2808.5,70.98,0.401,11.5,18.395,3.1,1,0.27699999999999997
2,A1 SH,SHRIMPLIN,2809.0,64.72,0.439,10.3,13.815,3.1,1,0.255
3,A1 SH,SHRIMPLIN,2809.5,54.29,0.47,9.9,9.44,3.2,1,0.23399999999999999
3,A1 SH,SHRIMPLIN,2810.0,41.46,0.493,11.1,5.255,3.4,1,0.213
3,A1 SH,SHRIMPLIN,2810.5,50.93,0.524,12.1,5.265,4.6,1,0.17
3,A1 SH,SHRIMPLIN,2811.0,72.79,0.5429999999999999,11.3,11.76,4.1,1,0.149
3,A1 SH,SHRIMPLIN,2811.5,95.34,0.555,14.1,17.665,3.5,1,0.128
3,A1 SH,SHRIMPLIN,2812.0,102.35,0.5579999999999999,15.8,20.145,3.2,1,0.106
3,A1 SH,SHRIMPLIN,2812.5,79.7,0.5489999999999999,15.5,18.07,3.2,1,0.085
3,A1 SH,SHRIMPLIN,2813.0,66.69,0.53,14.0,15.72,3.3,1,0.064
2,A1 SH,SHRIMPLIN,2813.5,73.68,0.521,14.7,15.98,3.3,1,0.043
2,A1 SH,SHRIMPLIN,2814.0,71.05,0.535,17.2,18.02,3.3,1,0.021
8,A1 LM,SHRIMPLIN,2814.5,57.02,0.628,11.6,12.09,3.5,2,1.0
8,A1 LM,SHRIMPLIN,2815.0,43.29,0.7020000000000001,7.3,6.705,4.0,2,0.981
8,A1 LM,SHRIMPLIN,2815.5,36.06,0.762,5.7,4.595,5.0,2,0.963
8,A1 LM,SHRIMPLIN,2816.0,46.0,0.823,5.1,4.62,5.5,2,0.9440000000000001
6,A1 LM,SHRIMPLIN,2816.5,60.3,0.915,4.6,5.01,5.6,2,0.9259999999999999
6,A1 LM,SHRIMPLIN,2817.0,75.22,0.9990000000000001,4.4,5.295,5.5,2,0.907
6,A1 LM,SHRIMPLIN,2817.5,87.19,1.045,4.7,5.32,5.4,2,0.889
6,A1 LM,SHRIMPLIN,2818.0,86.86,1.064,5.2,5.785,5.4,2,0.87
6,A1 LM,SHRIMPLIN,2818.5,88.0,1.051,6.5,6.38,5.4,2,0.852
6,A1 LM,SHRIMPLIN,2819.0,75.47,1.018,7.8,7.215,5.5,2,0.833
6,A1 LM,SHRIMPLIN,2819.5,59.36,0.972,10.0,8.925,4.9,2,0.7959999999999999
6,A1 LM,SHRIMPLIN,2820.0,55.57,0.9520000000000001,8.6,9.355,4.5,2,0.778
6,A1 LM,SHRIMPLIN,2820.5,46.96,0.924,5.4,9.12,4.3,2,0.759
6,A1 LM,SHRIMPLIN,2821.0,43.67,0.8759999999999999,3.6,8.225,4.1,2,0.741
6,A1 LM,SHRIMPLIN,2821.5,55.23,0.826,5.1,7.875,4.3,2,0.722
6,A1 LM,SHRIMPLIN,2822.0,61.24,0.777,9.7,8.575,4.3,2,0.7040000000000001
6,A1 LM,SHRIMPLIN,2822.5,54.46,0.728,12.8,10.66,4.4,2,0.685
7,A1 LM,SHRIMPLIN,2823.0,43.23,0.6990000000000001,14.9,12.375,4.0,2,0.667
7,A1 LM,SHRIMPLIN,2823.5,44.59,0.682,16.0,13.54,3.9,2,0.648
4,A1 LM,SHRIMPLIN,2824.0,47.48,0.6759999999999999,16.5,12.89,3.7,2,0.63
4,A1 LM,SHRIMPLIN,2824.5,61.1,0.6709999999999999,15.2,11.785,3.7,2,0.611
4,A1 LM,SHRIMPLIN,2825.0,64.82,0.68,9.1,8.97,4.5,2,0.574
4,A1 LM,SHRIMPLIN,2825.5,55.77,0.71,6.1,8.93,5.1,2,0.556
4,A1 LM,SHRIMPLIN,2826.0,62.22,0.7440000000000001,4.3,9.215,5.5,2,0.537
6,A1 LM,SHRIMPLIN,2826.5,55.06,0.7859999999999999,2.9,9.5,5.6,2,0.519
6,A1 LM,SHRIMPLIN,2827.0,71.02,0.8390000000000001,3.1,8.89,5.4,2,0.5
6,A1 LM,SHRIMPLIN,2827.5,91.37,0.8809999999999999,3.9,8.06,5.3,2,0.48100000000000004
6,A1 LM,SHRIMPLIN,2828.0,115.42,0.9109999999999999,5.2,6.875,5.3,2,0.46299999999999997
6,A1 LM,SHRIMPLIN,2828.5,115.7,0.94,5.9,6.085,5.2,2,0.444
6,A1 LM,SHRIMPLIN,2829.0,107.11,0.972,6.0,6.135,5.6,2,0.426
6,A1 LM,SHRIMPLIN,2829.5,93.82,1.008,5.8,6.64,5.6,2,0.40700000000000003
6,A1 LM,SHRIMPLIN,2830.0,61.63,1.061,3.6,6.865,6.1,2,0.37
6,A1 LM,SHRIMPLIN,2830.5,45.98,1.0759999999999998,3.6,6.25,6.2,2,0.35200000000000004
6,A1 LM,SHRIMPLIN,2831.0,32.76,1.071,3.0,6.225,5.8,2,0.33299999999999996
6,A1 LM,SHRIMPLIN,2831.5,37.82,1.058,3.6,6.19,5.7,2,0.315
6,A1 LM,SHRIMPLIN,2832.0,40.73,1.038,2.3,6.375,5.5,2,0.29600000000000004
6,A1 LM,SHRIMPLIN,2832.5,33.42,1.005,2.2,6.61,5.4,2,0.278
6,A1 LM,SHRIMPLIN,2833.0,32.08,0.968,2.2,7.355,5.3,2,0.259
6,A1 LM,SHRIMPLIN,2833.5,33.82,0.943,2.1,8.33,4.9,2,0.24100000000000002
6,A1 LM,SHRIMPLIN,2834.0,45.57,0.924,1.1,8.84,4.7,2,0.222
6,A1 LM,SHRIMPLIN,2834.5,53.95,0.9,1.9,8.125,4.6,2,0.204
6,A1 LM,SHRIMPLIN,2835.0,59.42,0.875,4.3,7.845,4.6,2,0.185
6,A1 LM,SHRIMPLIN,2835.5,68.43,0.8540000000000001,8.3,8.665,4.8,2,0.16699999999999998
6,A1 LM,SHRIMPLIN,2836.0,75.88,0.8490000000000001,11.0,10.04,4.6,2,0.14800000000000002
6,A1 LM,SHRIMPLIN,2836.5,77.75,0.8640000000000001,11.3,10.85,4.7,2,0.13
6,A1 LM,SHRIMPLIN,2837.0,80.93,0.907,9.6,9.815,4.6,2,0.111
6,A1 LM,SHRIMPLIN,2837.5,72.92,0.932,7.3,7.475,4.7,2,0.09300000000000001
6,A1 LM,SHRIMPLIN,2838.0,65.59,0.92,5.7,5.265,5.0,2,0.07400000000000001
6,A1 LM,SHRIMPLIN,2838.5,64.71,0.8859999999999999,3.6,4.045,5.4,2,0.055999999999999994
6,A1 LM,SHRIMPLIN,2839.0,60.79,0.8290000000000001,2.9,4.36,5.5,2,0.037000000000000005
6,A1 LM,SHRIMPLIN,2839.5,78.55,0.754,2.0,9.795,5.7,2,0.019
3,B1 SH,SHRIMPLIN,2840.0,107.77,0.713,1.8,19.545,4.0,1,1.0
3,B1 SH,SHRIMPLIN,2840.5,110.87,0.6859999999999999,6.0,26.65,3.3,1,0.9740000000000001
3,B1 SH,SHRIMPLIN,2841.0,106.33,0.665,8.6,26.94,2.8,1,0.9490000000000001
3,B1 SH,SHRIMPLIN,2841.5,87.85,0.64,9.6,21.77,2.7,1,0.9229999999999999
3,B1 SH,SHRIMPLIN,2842.0,80.96,0.601,9.0,15.99,2.9,1,0.897
2,B1 SH,SHRIMPLIN,2842.5,66.94,0.568,11.2,12.565,3.5,1,0.872
2,B1 SH,SHRIMPLIN,2843.0,61.48,0.561,12.0,11.69,4.2,1,0.846
2,B1 SH,SHRIMPLIN,2843.5,58.26,0.568,12.4,12.285,4.2,1,0.821
2,B1 SH,SHRIMPLIN,2844.0,51.31,0.585,12.7,11.735,3.9,1,0.795
2,B1 SH,SHRIMPLIN,2844.5,67.92,0.583,13.2,11.73,3.9,1,0.769
2,B1 SH,SHRIMPLIN,2845.0,67.77,0.5660000000000001,14.1,12.475,3.9,1,0.7440000000000001
2,B1 SH,SHRIMPLIN,2845.5,67.73,0.5429999999999999,14.4,13.095,3.8,1,0.718
2,B1 SH,SHRIMPLIN,2846.0,68.85,0.516,12.1,13.35,3.7,1,0.6920000000000001
2,B1 SH,SHRIMPLIN,2846.5,73.2,0.496,9.7,15.12,3.6,1,0.667
3,B1 SH,SHRIMPLIN,2847.0,84.46,0.486,6.1,20.48,3.6,1,0.6409999999999999
3,B1 SH,SHRIMPLIN,2847.5,96.96,0.483,7.0,23.225,3.4,1,0.615
3,B1 SH,SHRIMPLIN,2848.0,95.54,0.486,9.4,21.305,3.5,1,0.59
3,B1 SH,SHRIMPLIN,2848.5,88.67,0.493,13.2,17.235,3.4,1,0.564
3,B1 SH,SHRIMPLIN,2849.0,88.54,0.501,13.1,16.71,3.5,1,0.5379999999999999
3,B1 SH,SHRIMPLIN,2849.5,92.22,0.501,11.2,18.675,3.5,1,0.513
2,B1 SH,SHRIMPLIN,2850.0,89.67,0.491,4.9,20.405,3.3,1,0.48700000000000004
2,B1 SH,SHRIMPLIN,2850.5,91.17,0.47,2.2,20.3,3.1,1,0.462
2,B1 SH,SHRIMPLIN,2851.0,83.62,0.435,5.1,17.16,2.8,1,0.436
2,B1 SH,SHRIMPLIN,2851.5,85.0,0.401,8.3,15.87,2.8,1,0.41
2,B1 SH,SHRIMPLIN,2852.0,77.7,0.371,7.5,16.85,2.9,1,0.385
2,B1 SH,SHRIMPLIN,2852.5,74.29,0.33399999999999996,6.1,17.3,2.9,1,0.359
2,B1 SH,SHRIMPLIN,2853.0,70.21,0.307,5.4,17.57,2.9,1,0.33299999999999996
2,B1 SH,SHRIMPLIN,2853.5,76.38,0.297,4.7,17.195,3.0,1,0.308
2,B1 SH,SHRIMPLIN,2854.0,76.28,0.301,4.4,16.415,3.0,1,0.282
2,B1 SH,SHRIMPLIN,2854.5,69.04,0.314,4.1,14.19,3.2,1,0.256
2,B1 SH,SHRIMPLIN,2855.0,78.11,0.33799999999999997,5.8,13.25,3.4,1,0.231
3,B1 SH,SHRIMPLIN,2855.5,84.18,0.377,6.8,15.72,3.8,1,0.205
3,B1 SH,SHRIMPLIN,2856.0,85.85,0.428,6.6,20.045,3.5,1,0.179
3,B1 SH,SHRIMPLIN,2856.5,89.6,0.47,4.4,20.455,3.3,1,0.154
3,B1 SH,SHRIMPLIN,2857.0,80.61,0.509,3.6,16.78,3.1,1,0.128
3,B1 SH,SHRIMPLIN,2857.5,79.36,0.539,7.5,11.78,3.3,1,0.10300000000000001
3,B1 SH,SHRIMPLIN,2858.0,83.05,0.5479999999999999,8.1,14.545,3.7,1,0.077
3,B1 SH,SHRIMPLIN,2858.5,95.0,0.556,9.2,23.83,3.6,1,0.051
5,B1 LM,SHRIMPLIN,2859.0,85.04,0.629,6.4,26.67,3.1,2,1.0
5,B1 LM,SHRIMPLIN,2859.5,46.18,0.6679999999999999,4.3,16.61,3.1,2,0.9440000000000001
5,B1 LM,SHRIMPLIN,2860.0,34.53,0.703,4.9,8.22,3.5,2,0.889
5,B1 LM,SHRIMPLIN,2860.5,35.19,0.7440000000000001,7.9,4.71,4.6,2,0.833
8,B1 LM,SHRIMPLIN,2861.0,27.85,0.8029999999999999,7.8,4.24,4.8,2,0.778
8,B1 LM,SHRIMPLIN,2861.5,23.48,0.9129999999999999,6.0,4.22,4.7,2,0.722
8,B1 LM,SHRIMPLIN,2862.0,20.42,1.031,5.0,3.785,4.6,2,0.667
8,B1 LM,SHRIMPLIN,2862.5,20.55,1.147,4.1,3.145,5.1,2,0.611
8,B1 LM,SHRIMPLIN,2863.0,19.99,1.2919999999999998,4.7,2.195,5.4,2,0.556
8,B1 LM,SHRIMPLIN,2863.5,21.18,1.405,5.2,1.59,5.9,2,0.5
8,B1 LM,SHRIMPLIN,2864.0,18.63,1.452,4.7,1.755,6.1,2,0.444
6,B1 LM,SHRIMPLIN,2864.5,29.41,1.465,4.2,2.36,6.0,2,0.389
6,B1 LM,SHRIMPLIN,2865.0,43.09,1.48,3.1,3.11,5.8,2,0.33299999999999996
6,B1 LM,SHRIMPLIN,2865.5,48.95,1.479,4.2,2.95,5.6,2,0.278
6,B1 LM,SHRIMPLIN,2866.0,45.84,1.4369999999999998,4.1,3.03,5.6,2,0.222
6,B1 LM,SHRIMPLIN,2866.5,45.04,1.36,4.2,3.02,5.7,2,0.16699999999999998
6,B1 LM,SHRIMPLIN,2867.0,42.92,1.249,3.6,3.445,5.7,2,0.111
6,B1 LM,SHRIMPLIN,2867.5,53.11,1.104,3.3,4.095,5.9,2,0.055999999999999994
3,B2 SH,SHRIMPLIN,2868.0,67.55,0.966,4.2,5.13,5.1,1,1.0
3,B2 SH,SHRIMPLIN,2868.5,73.99,0.862,6.1,7.84,4.6,1,0.9640000000000001
3,B2 SH,SHRIMPLIN,2869.0,83.09,0.8059999999999999,9.4,11.2,3.9,1,0.929
3,B2 SH,SHRIMPLIN,2869.5,97.28,0.763,10.5,13.97,3.6,1,0.893
2,B2 SH,SHRIMPLIN,2870.0,95.16,0.7140000000000001,9.6,12.96,3.4,1,0.857
2,B2 SH,SHRIMPLIN,2870.5,79.88,0.6609999999999999,8.6,10.425,3.3,1,0.821
2,B2 SH,SHRIMPLIN,2871.0,76.38,0.602,8.9,8.785,3.5,1,0.7859999999999999
2,B2 SH,SHRIMPLIN,2871.5,75.68,0.561,11.4,10.305,3.6,1,0.75
2,B2 SH,SHRIMPLIN,2872.0,84.59,0.537,13.4,13.745,3.9,1,0.7140000000000001
3,B2 SH,SHRIMPLIN,2872.5,103.43,0.525,14.6,16.66,3.9,1,0.679
3,B2 SH,SHRIMPLIN,2873.0,103.41,0.522,14.7,17.625,3.9,1,0.643
3,B2 SH,SHRIMPLIN,2873.5,99.27,0.52,13.0,16.245,3.8,1,0.607
3,B2 SH,SHRIMPLIN,2874.0,92.94,0.516,12.1,14.85,3.7,1,0.5710000000000001
3,B2 SH,SHRIMPLIN,2874.5,92.9,0.507,11.4,13.27,3.8,1,0.536
3,B2 SH,SHRIMPLIN,2875.0,80.32,0.504,11.0,12.48,3.7,1,0.5
2,B2 SH,SHRIMPLIN,2875.5,83.63,0.512,10.1,11.525,4.0,1,0.46399999999999997
2,B2 SH,SHRIMPLIN,2876.0,67.81,0.529,9.4,11.31,4.1,1,0.429
2,B2 SH,SHRIMPLIN,2876.5,67.88,0.5589999999999999,9.7,10.865,4.3,1,0.39299999999999996
2,B2 SH,SHRIMPLIN,2877.0,64.39,0.589,8.4,10.365,4.4,1,0.35700000000000004
2,B2 SH,SHRIMPLIN,2877.5,61.99,0.604,6.9,9.385,4.4,1,0.321
2,B2 SH,SHRIMPLIN,2878.0,62.5,0.604,5.5,8.53,4.3,1,0.28600000000000003
2,B2 SH,SHRIMPLIN,2878.5,58.64,0.58,5.3,8.6,4.2,1,0.25
2,B2 SH,SHRIMPLIN,2879.0,64.04,0.5429999999999999,5.7,9.98,4.0,1,0.214
2,B2 SH,SHRIMPLIN,2879.5,78.8,0.519,5.4,13.745,3.7,1,0.179
3,B2 SH,SHRIMPLIN,2880.0,78.88,0.502,2.0,21.885,3.7,1,0.14300000000000002
3,B2 SH,SHRIMPLIN,2880.5,86.88,0.5,-3.8,33.79,3.2,1,0.107
3,B2 SH,SHRIMPLIN,2881.0,83.97,0.519,-2.0,37.47,3.0,1,0.071
3,B2 SH,SHRIMPLIN,2881.5,70.01,0.5429999999999999,-4.3,31.57,2.8,1,0.036000000000000004
7,B2 LM,SHRIMPLIN,2882.0,50.7,0.5670000000000001,1.6,16.04,2.9,2,1.0
7,B2 LM,SHRIMPLIN,2882.5,30.81,0.601,1.9,5.725,3.6,2,0.938
7,B2 LM,SHRIMPLIN,2883.0,17.35,0.6559999999999999,4.2,2.73,5.0,2,0.875
8,B2 LM,SHRIMPLIN,2883.5,17.55,0.747,4.7,2.925,5.8,2,0.813
8,B2 LM,SHRIMPLIN,2884.0,18.19,0.855,5.6,3.285,6.2,2,0.75
8,B2 LM,SHRIMPLIN,2884.5,17.08,0.982,5.4,3.99,6.3,2,0.688
8,B2 LM,SHRIMPLIN,2885.0,15.88,1.107,5.5,4.34,6.2,2,0.625
8,B2 LM,SHRIMPLIN,2885.5,20.38,1.17,5.0,4.645,5.9,2,0.563
8,B2 LM,SHRIMPLIN,2886.0,24.93,1.173,5.1,4.77,5.8,2,0.5
8,B2 LM,SHRIMPLIN,2886.5,28.57,1.15,4.5,4.725,5.8,2,0.43799999999999994
8,B2 LM,SHRIMPLIN,2887.0,34.54,1.115,5.0,4.365,5.7,2,0.375
8,B2 LM,SHRIMPLIN,2887.5,42.34,1.064,5.3,4.4,5.7,2,0.313
8,B2 LM,SHRIMPLIN,2888.0,44.21,1.008,5.5,4.86,5.5,2,0.25
6,B2 LM,SHRIMPLIN,2888.5,44.15,0.943,4.1,5.47,5.6,2,0.188
6,B2 LM,SHRIMPLIN,2889.0,39.25,0.88,3.9,5.905,5.6,2,0.125
6,B2 LM,SHRIMPLIN,2889.5,38.37,0.812,5.7,7.13,5.4,2,0.063
2,B3 SH,SHRIMPLIN,2890.0,60.63,0.74,9.1,9.33,4.7,1,1.0
2,B3 SH,SHRIMPLIN,2890.5,83.69,0.684,12.4,11.31,4.0,1,0.9670000000000001
2,B3 SH,SHRIMPLIN,2891.0,87.3,0.648,13.7,11.975,3.6,1,0.9329999999999999
2,B3 SH,SHRIMPLIN,2891.5,89.07,0.619,13.7,12.065,3.6,1,0.9
2,B3 SH,SHRIMPLIN,2892.0,91.06,0.584,12.9,12.21,3.7,1,0.867
2,B3 SH,SHRIMPLIN,2892.5,98.37,0.5589999999999999,12.0,12.485,3.7,1,0.833
2,B3 SH,SHRIMPLIN,2893.0,87.1,0.5479999999999999,11.3,12.23,3.7,1,0.8
2,B3 SH,SHRIMPLIN,2893.5,83.81,0.542,10.9,11.67,3.5,1,0.767
2,B3 SH,SHRIMPLIN,2894.0,83.11,0.535,10.4,11.96,3.4,1,0.733
2,B3 SH,SHRIMPLIN,2894.5,85.4,0.529,11.1,13.05,3.3,1,0.7
2,B3 SH,SHRIMPLIN,2895.0,86.83,0.524,11.5,13.735,3.3,1,0.667
2,B3 SH,SHRIMPLIN,2895.5,80.54,0.515,11.2,13.6,3.3,1,0.633
2,B3 SH,SHRIMPLIN,2896.0,77.67,0.501,10.3,12.905,3.2,1,0.6
2,B3 SH,SHRIMPLIN,2896.5,74.74,0.489,8.9,12.575,3.3,1,0.5670000000000001
2,B3 SH,SHRIMPLIN,2897.0,75.06,0.48100000000000004,8.8,12.305,3.2,1,0.5329999999999999
2,B3 SH,SHRIMPLIN,2897.5,76.98,0.47700000000000004,8.3,12.35,3.2,1,0.5
2,B3 SH,SHRIMPLIN,2898.0,79.6,0.47100000000000003,8.5,12.855,3.2,1,0.467
2,B3 SH,SHRIMPLIN,2898.5,92.95,0.467,8.6,14.3,3.3,1,0.433
2,B3 SH,SHRIMPLIN,2899.0,94.25,0.467,9.0,14.21,3.3,1,0.4
2,B3 SH,SHRIMPLIN,2899.5,83.12,0.467,9.1,13.64,3.3,1,0.36700000000000005
2,B3 SH,SHRIMPLIN,2900.0,75.02,0.47100000000000003,9.2,12.5,3.4,1,0.33299999999999996
2,B3 SH,SHRIMPLIN,2900.5,62.61,0.48,8.7,11.92,3.3,1,0.3
2,B3 SH,SHRIMPLIN,2901.0,68.47,0.48700000000000004,8.2,11.635,3.3,1,0.267
2,B3 SH,SHRIMPLIN,2901.5,69.58,0.484,7.3,11.265,3.3,1,0.233
2,B3 SH,SHRIMPLIN,2902.0,76.05,0.479,7.5,11.375,3.5,1,0.2
2,B3 SH,SHRIMPLIN,2902.5,89.53,0.47100000000000003,8.4,12.285,3.5,1,0.16699999999999998
3,B3 SH,SHRIMPLIN,2903.0,97.25,0.46399999999999997,9.1,15.135,3.5,1,0.133
3,B3 SH,SHRIMPLIN,2903.5,95.12,0.474,8.1,21.93,3.5,1,0.1
3,B3 SH,SHRIMPLIN,2904.0,91.67,0.501,6.4,26.715,3.3,1,0.067
3,B3 SH,SHRIMPLIN,2904.5,85.15,0.521,3.7,25.875,3.2,1,0.033
8,B3 LM,SHRIMPLIN,2905.0,65.17,0.534,2.5,18.92,3.2,2,1.0
8,B3 LM,SHRIMPLIN,2905.5,32.9,0.547,2.3,12.215,3.7,2,0.917
8,B3 LM,SHRIMPLIN,2906.0,19.92,0.5489999999999999,1.9,10.63,4.8,2,0.833
8,B3 LM,SHRIMPLIN,2906.5,14.52,0.5489999999999999,2.4,11.06,5.2,2,0.75
8,B3 LM,SHRIMPLIN,2907.0,14.75,0.5579999999999999,3.5,12.15,5.4,2,0.667
8,B3 LM,SHRIMPLIN,2907.5,15.01,0.565,3.9,13.16,5.2,2,0.583
8,B3 LM,SHRIMPLIN,2908.0,15.68,0.56,3.7,14.02,5.2,2,0.5
8,B3 LM,SHRIMPLIN,2908.5,16.96,0.55,3.0,14.255,5.3,2,0.41700000000000004
8,B3 LM,SHRIMPLIN,2909.0,15.78,0.534,3.1,12.705,5.5,2,0.33299999999999996
8,B3 LM,SHRIMPLIN,2909.5,15.71,0.507,3.9,11.095,5.7,2,0.25
8,B3 LM,SHRIMPLIN,2910.0,17.29,0.484,3.6,10.225,5.7,2,0.16699999999999998
8,B3 LM,SHRIMPLIN,2910.5,25.4,0.47600000000000003,3.5,10.81,5.6,2,0.083
2,B4 SH,SHRIMPLIN,2911.0,54.3,0.48,5.7,11.865,5.1,1,1.0
2,B4 SH,SHRIMPLIN,2911.5,77.86,0.493,8.0,11.795,4.0,1,0.966
2,B4 SH,SHRIMPLIN,2912.0,81.08,0.496,8.6,11.345,3.6,1,0.9309999999999999
2,B4 SH,SHRIMPLIN,2912.5,64.84,0.489,6.8,10.6,3.3,1,0.897
2,B4 SH,SHRIMPLIN,2913.0,68.3,0.47600000000000003,6.3,10.89,3.5,1,0.862
2,B4 SH,SHRIMPLIN,2913.5,62.2,0.456,6.0,11.805,3.4,1,0.828
2,B4 SH,SHRIMPLIN,2914.0,62.13,0.447,6.8,12.205,3.4,1,0.7929999999999999
2,B4 SH,SHRIMPLIN,2914.5,59.9,0.447,7.5,12.495,3.4,1,0.759
2,B4 SH,SHRIMPLIN,2915.0,66.76,0.446,7.6,12.57,3.3,1,0.7240000000000001
2,B4 SH,SHRIMPLIN,2915.5,68.75,0.441,8.4,12.535,3.4,1,0.69
2,B4 SH,SHRIMPLIN,2916.0,89.47,0.431,10.0,13.055,3.3,1,0.655
2,B4 SH,SHRIMPLIN,2916.5,92.28,0.42,12.3,14.46,3.3,1,0.621
2,B4 SH,SHRIMPLIN,2917.0,89.52,0.41,13.6,15.78,3.2,1,0.586
2,B4 SH,SHRIMPLIN,2917.5,72.44,0.401,11.6,15.58,3.3,1,0.552
2,B4 SH,SHRIMPLIN,2918.0,65.12,0.389,10.4,15.095,3.2,1,0.517
2,B4 SH,SHRIMPLIN,2918.5,61.43,0.375,7.4,14.62,3.2,1,0.483
2,B4 SH,SHRIMPLIN,2919.0,64.01,0.36200000000000004,6.4,15.335,3.0,1,0.44799999999999995
2,B4 SH,SHRIMPLIN,2919.5,60.03,0.354,4.5,15.0,3.0,1,0.414
2,B4 SH,SHRIMPLIN,2920.0,66.07,0.348,4.4,14.44,3.1,1,0.379
2,B4 SH,SHRIMPLIN,2920.5,74.64,0.344,5.0,13.845,3.2,1,0.345
2,B4 SH,SHRIMPLIN,2921.0,76.08,0.344,5.9,14.19,3.3,1,0.31
2,B4 SH,SHRIMPLIN,2921.5,77.9,0.35,6.8,14.375,3.3,1,0.276
2,B4 SH,SHRIMPLIN,2922.0,90.26,0.354,7.1,14.075,3.2,1,0.24100000000000002
2,B4 SH,SHRIMPLIN,2922.5,100.24,0.36200000000000004,6.9,13.22,3.2,1,0.207
2,B4 SH,SHRIMPLIN,2923.0,104.57,0.36700000000000005,8.0,14.63,3.2,1,0.172
2,B4 SH,SHRIMPLIN,2923.5,117.83,0.382,8.6,18.955,3.4,1,0.138
2,B4 SH,SHRIMPLIN,2924.0,119.71,0.40299999999999997,12.2,24.86,3.5,1,0.10300000000000001
2,B4 SH,SHRIMPLIN,2924.5,114.49,0.436,13.7,26.24,3.2,1,0.069
2,B4 SH,SHRIMPLIN,2925.0,76.16,0.473,12.7,21.64,3.1,1,0.034
8,B4 LM,SHRIMPLIN,2925.5,34.5,0.509,8.2,15.465,3.4,2,1.0
8,B4 LM,SHRIMPLIN,2926.0,17.99,0.5479999999999999,3.1,11.83,4.7,2,0.889
8,B4 LM,SHRIMPLIN,2926.5,16.23,0.597,1.7,9.835,5.9,2,0.778
8,B4 LM,SHRIMPLIN,2927.0,16.97,0.669,1.3,7.54,5.7,2,0.667
