,Formation,FormationSH,FormationNum,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,rollavg_PE,grad_PE,rollavg_GR,grad_GR,rollavg_PHIND,grad_PHIND,rollavg_ILD_log10,grad_ILD_log10,rollavg_DeltaPHI,grad_DeltaPHI,Facies
24,A1 SH,1,0,STUART,2820.0,48.111999999999995,0.84,1.0,7.5,3.073,1,0.444,3.0927333333333333,0.04499999999999993,69.4317,-6.969000000000008,10.831666666666669,-0.6500000000000004,0.6800999999999999,0.050999999999999934,4.703333333333333,-1.7000000000000002,2
25,A1 SH,1,0,STUART,2820.5,43.73,0.846,0.4,7.1,3.1460000000000004,1,0.42200000000000004,3.0927333333333333,0.0730000000000004,69.4317,-4.381999999999998,10.831666666666669,-0.40000000000000036,0.6800999999999999,0.006000000000000005,4.703333333333333,-0.6,1
26,A1 SH,1,0,STUART,2821.0,44.097,0.84,0.7,6.65,3.205,1,0.4,3.0927333333333333,0.05899999999999972,69.4317,0.36700000000000443,10.831666666666669,-0.4499999999999993,0.6800999999999999,-0.006000000000000005,4.703333333333333,0.29999999999999993,1
27,A1 SH,1,0,STUART,2821.5,46.839,0.8420000000000001,0.8,6.6,3.2539999999999996,1,0.37799999999999995,3.0927333333333333,0.04899999999999949,69.4317,2.7419999999999973,10.831666666666669,-0.05000000000000071,0.6800999999999999,0.002000000000000113,4.703333333333333,0.10000000000000009,1
28,A1 SH,1,0,STUART,2822.0,50.348,0.843,1.1,6.75,3.23,1,0.35600000000000004,3.0927333333333333,-0.023999999999999577,69.4317,3.5090000000000003,10.831666666666669,0.15000000000000036,0.6800999999999999,0.0009999999999998899,4.703333333333333,0.30000000000000004,1
29,A1 SH,1,0,STUART,2822.5,57.129,0.8220000000000001,2.2,7.3,3.237,1,0.33299999999999996,3.0927333333333333,0.007000000000000117,69.4317,6.780999999999999,10.831666666666669,0.5499999999999998,0.6800999999999999,-0.020999999999999908,4.703333333333333,1.1,1
30,A1 SH,1,0,STUART,2823.0,64.465,0.777,4.4,8.4,3.259,1,0.311,3.0816666666666666,0.021999999999999797,69.37133333333334,7.336000000000006,10.756666666666668,1.1000000000000005,0.685,-0.04500000000000004,4.739999999999999,2.2,2
31,A1 SH,1,0,STUART,2823.5,70.267,0.7290000000000001,7.1,9.85,3.2889999999999997,1,0.289,3.079933333333334,0.029999999999999805,69.13850000000001,5.8019999999999925,10.68666666666667,1.4499999999999993,0.6898,-0.04799999999999993,4.76,2.6999999999999993,2
32,A1 SH,1,0,STUART,2824.0,76.566,0.664,10.7,11.55,3.3810000000000002,1,0.244,3.0905000000000005,0.09200000000000053,68.9274,6.299000000000007,10.618333333333336,1.700000000000001,0.6930666666666667,-0.06500000000000006,4.803333333333332,3.5999999999999996,2
33,A1 SH,1,0,STUART,2824.5,76.778,0.643,10.7,12.25,3.452,1,0.222,3.1063333333333336,0.07099999999999973,68.79763333333334,0.2120000000000033,10.585000000000003,0.6999999999999993,0.6947333333333334,-0.02100000000000002,4.843333333333332,0.0,2
34,A1 SH,1,0,STUART,2825.0,73.971,0.632,9.7,12.55,3.3960000000000004,1,0.2,3.1188666666666673,-0.055999999999999606,68.73096666666667,-2.807000000000002,10.591666666666669,0.3000000000000007,0.6945333333333334,-0.01100000000000001,4.876666666666665,-1.0,2
35,A1 SH,1,0,STUART,2825.5,74.314,0.622,8.8,13.1,3.1439999999999997,1,0.17800000000000002,3.120800000000001,-0.25200000000000067,68.74293333333334,0.3429999999999893,10.620000000000003,0.5499999999999989,0.6930333333333334,-0.010000000000000009,4.939999999999999,-0.8999999999999986,2
36,A1 SH,1,0,STUART,2826.0,77.031,0.583,4.8,16.2,3.034,1,0.156,3.118866666666668,-0.10999999999999988,68.7119,2.717000000000013,10.745000000000003,3.0999999999999996,0.69,-0.039000000000000035,4.883333333333332,-4.000000000000001,2
37,A1 SH,1,0,STUART,2826.5,74.469,0.517,4.8,19.2,2.931,1,0.133,3.1124666666666676,-0.10299999999999976,68.39773333333333,-2.562000000000012,10.963333333333336,3.0,0.6849999999999999,-0.06599999999999995,4.833333333333332,0.0,2
38,A1 SH,1,0,STUART,2827.0,73.327,0.489,6.3,20.35,2.88,1,0.111,3.104433333333334,-0.051000000000000156,68.02783333333333,-1.141999999999996,11.20666666666667,1.1500000000000021,0.6795333333333333,-0.028000000000000025,4.819999999999999,1.5,2
39,A1 SH,1,0,STUART,2827.5,74.575,0.526,4.9,19.25,2.795,1,0.08900000000000001,3.0933666666666677,-0.08499999999999996,67.74166666666666,1.2480000000000047,11.41666666666667,-1.1000000000000014,0.6756666666666666,0.03700000000000003,4.739999999999999,-1.3999999999999995,2
40,A1 SH,1,0,STUART,2828.0,70.536,0.5579999999999999,6.5,17.05,3.009,1,0.067,3.0887666666666673,0.21399999999999997,67.45743333333331,-4.0390000000000015,11.583333333333337,-2.1999999999999993,0.6725666666666666,0.03199999999999992,4.713333333333333,1.5999999999999996,2
41,A1 SH,1,0,STUART,2828.5,62.93899999999999,0.528,7.6,18.8,3.073,1,0.044000000000000004,3.0880000000000005,0.06400000000000006,67.25533333333331,-7.597000000000008,11.850000000000003,1.75,0.6676,-0.029999999999999916,4.76,1.0999999999999996,2
42,A1 SH,1,0,STUART,2829.0,57.137,0.511,10.9,19.15,3.313,1,0.022000000000000002,3.0950000000000006,0.2400000000000002,67.02713333333332,-5.8019999999999925,12.165000000000003,0.34999999999999787,0.6616333333333332,-0.017000000000000015,4.976666666666666,3.3000000000000007,2
43,A1 LM,0,1,STUART,2829.5,47.345,0.584,7.0,16.3,3.5269999999999997,2,1.0,3.109200000000001,0.21399999999999952,66.54539999999999,-9.792000000000002,12.403333333333338,-2.849999999999998,0.6585999999999999,0.07299999999999995,5.093333333333333,-3.9000000000000004,8
44,A1 LM,0,1,STUART,2830.0,35.733000000000004,0.73,6.4,10.2,3.928,2,0.987,3.1379666666666677,0.40100000000000025,65.69076666666665,-11.611999999999995,12.433333333333337,-6.100000000000001,0.6613999999999999,0.14600000000000002,5.213333333333333,-0.5999999999999996,8
45,A1 LM,0,1,STUART,2830.5,29.326999999999998,0.873,2.7,7.85,4.33,2,0.9740000000000001,3.182900000000001,0.40200000000000014,64.55049999999999,-6.406000000000006,12.368333333333338,-2.3499999999999996,0.6698,0.14300000000000002,5.209999999999998,-3.7,8
46,A1 LM,0,1,STUART,2831.0,28.241999999999997,0.963,1.4,6.3,4.413,2,0.961,3.232866666666667,0.08300000000000018,63.32103333333331,-1.0850000000000009,12.22666666666667,-1.5499999999999998,0.6819,0.08999999999999997,5.146666666666665,-1.3000000000000003,8
47,A1 LM,0,1,STUART,2831.5,34.558,1.018,1.8,5.6,4.511,2,0.9470000000000001,3.2884000000000007,0.09799999999999986,61.941966666666644,6.3160000000000025,12.016666666666673,-0.7000000000000002,0.6966333333333332,0.05500000000000005,5.093333333333332,0.40000000000000013,6
48,A1 LM,0,1,STUART,2832.0,43.754,1.054,1.8,5.2,4.412,2,0.934,3.340333333333334,-0.0990000000000002,60.56453333333331,9.195999999999998,11.760000000000007,-0.39999999999999947,0.7122999999999998,0.03600000000000003,5.006666666666665,0.0,6
49,A1 LM,0,1,STUART,2832.5,53.611999999999995,1.067,1.5,5.05,4.226,2,0.9209999999999999,3.3816666666666673,-0.18599999999999994,59.36963333333331,9.857999999999997,11.47833333333334,-0.15000000000000036,0.7279333333333332,0.0129999999999999,4.836666666666665,-0.30000000000000004,6
50,A1 LM,0,1,STUART,2833.0,60.718999999999994,1.0390000000000001,1.9,4.85,3.931,2,0.9079999999999999,3.4131000000000005,-0.29499999999999993,58.43963333333331,7.106999999999999,11.146666666666674,-0.20000000000000018,0.7422333333333333,-0.027999999999999803,4.659999999999999,0.3999999999999999,6
51,A1 LM,0,1,STUART,2833.5,66.538,0.94,2.7,5.45,3.7030000000000003,2,0.895,3.4366000000000003,-0.22799999999999976,57.937799999999974,5.819000000000003,10.865000000000007,0.6000000000000005,0.7523666666666667,-0.0990000000000002,4.536666666666665,0.8000000000000003,6
52,A1 LM,0,1,STUART,2834.0,75.52199999999999,0.8009999999999999,4.0,7.3,3.5010000000000003,2,0.882,3.4537000000000004,-0.20199999999999996,58.23536666666664,8.983999999999995,10.728333333333342,1.8499999999999996,0.7556666666666666,-0.139,4.576666666666665,1.2999999999999998,6
53,A1 LM,0,1,STUART,2834.5,95.979,0.6920000000000001,6.5,9.55,3.346,2,0.868,3.4643000000000006,-0.15500000000000025,59.59863333333331,20.457000000000008,10.77500000000001,2.250000000000001,0.7524333333333332,-0.10899999999999987,4.703333333333332,2.5,6
54,A1 LM,0,1,STUART,2835.0,130.26,0.644,8.3,11.15,3.242,2,0.855,3.4699333333333344,-0.10400000000000009,62.33689999999998,34.28099999999999,10.896666666666675,1.5999999999999996,0.7458999999999999,-0.04800000000000004,4.946666666666666,1.8000000000000007,4
55,A1 LM,0,1,STUART,2835.5,160.167,0.643,9.3,12.15,3.2939999999999996,2,0.8420000000000001,3.4748666666666677,0.0519999999999996,66.21813333333331,29.90700000000001,11.065000000000007,1.0,0.7391333333333332,-0.0010000000000000009,5.243333333333333,1.0,4
56,A1 LM,0,1,STUART,2836.0,176.528,0.6729999999999999,9.1,12.05,3.298,2,0.8290000000000001,3.4779666666666675,0.004000000000000448,70.63249999999996,16.36099999999999,11.245000000000008,-0.09999999999999964,0.7335666666666665,0.029999999999999916,5.5233333333333325,-0.20000000000000107,4
57,A1 LM,0,1,STUART,2836.5,175.622,0.72,8.9,12.15,3.3489999999999998,2,0.816,3.481133333333334,0.05099999999999971,74.92526666666663,-0.9059999999999775,11.430000000000007,0.09999999999999964,0.7294999999999998,0.04700000000000004,5.793333333333333,-0.1999999999999993,4
58,A1 LM,0,1,STUART,2837.0,153.965,0.7559999999999999,7.6,11.9,3.31,2,0.8029999999999999,3.483800000000001,-0.0389999999999997,78.37916666666663,-21.65700000000001,11.601666666666672,-0.25,0.7265999999999998,0.03599999999999992,6.01,-1.3000000000000007,4
59,A1 LM,0,1,STUART,2837.5,120.07600000000001,0.7659999999999999,7.2,12.2,3.365,2,0.789,3.4880666666666675,0.05500000000000016,80.47739999999997,-33.888999999999996,11.765000000000006,0.29999999999999893,0.7247333333333331,0.010000000000000009,6.176666666666666,-0.39999999999999947,4
60,A1 LM,0,1,STUART,2838.0,91.434,0.787,7.1,12.15,3.392,2,0.7759999999999999,3.4925000000000006,0.02699999999999969,81.37636666666664,-28.64200000000001,11.890000000000006,-0.049999999999998934,0.7250666666666664,0.02100000000000013,6.266666666666666,-0.10000000000000053,4
61,A1 LM,0,1,STUART,2838.5,69.312,0.8740000000000001,4.6,10.4,3.293,2,0.763,3.4926333333333344,-0.09899999999999975,81.34453333333332,-22.122,11.908333333333337,-1.75,0.7298999999999997,0.08700000000000008,6.183333333333333,-2.5,8
62,A1 LM,0,1,STUART,2839.0,54.828,1.0290000000000001,0.8,8.2,3.395,2,0.75,3.4931000000000005,0.10199999999999987,80.61993333333332,-14.483999999999995,11.79666666666667,-2.200000000000001,0.7420666666666663,0.15500000000000003,5.8533333333333335,-3.8,8
63,A1 LM,0,1,STUART,2839.5,50.854,1.149,0.3,6.85,3.5,2,0.737,3.494700000000001,0.10499999999999998,79.75579999999998,-3.9740000000000038,11.61666666666667,-1.3499999999999996,0.758933333333333,0.11999999999999988,5.506666666666667,-0.5,8
64,A1 LM,0,1,STUART,2840.0,54.632,1.09,1.0,7.4,3.576,2,0.7240000000000001,3.5007000000000006,0.07600000000000007,79.11116666666665,3.7779999999999987,11.445000000000002,0.5500000000000007,0.7741999999999997,-0.05899999999999994,5.216666666666668,0.7,6
65,A1 LM,0,1,STUART,2840.5,56.835,0.924,4.1,8.45,3.555,2,0.711,3.5144000000000006,-0.020999999999999908,78.52853333333333,2.203000000000003,11.290000000000001,1.049999999999999,0.7842666666666662,-0.16600000000000004,5.0600000000000005,3.0999999999999996,6
66,A1 LM,0,1,STUART,2841.0,60.393,0.7879999999999999,7.1,10.05,3.591,2,0.6970000000000001,3.532966666666667,0.03600000000000003,77.97393333333333,3.558,11.085000000000003,1.6000000000000014,0.7910999999999997,-0.13600000000000012,5.136666666666667,3.0,6
67,A1 LM,0,1,STUART,2841.5,58.94,0.733,8.1,11.15,3.576,2,0.684,3.554466666666667,-0.015000000000000124,77.4563,-1.453000000000003,10.816666666666668,1.0999999999999996,0.7982999999999997,-0.05499999999999994,5.246666666666666,1.0,6
68,A1 LM,0,1,STUART,2842.0,49.718999999999994,0.754,6.1,10.75,3.6689999999999996,2,0.6709999999999999,3.580766666666667,0.09299999999999953,76.66936666666668,-9.221000000000004,10.496666666666668,-0.40000000000000036,0.807133333333333,0.02100000000000002,5.239999999999998,-2.0,6
69,A1 LM,0,1,STUART,2842.5,41.403999999999996,0.8190000000000001,3.5,9.55,3.872,2,0.6579999999999999,3.6166666666666667,0.2030000000000003,75.56366666666668,-8.314999999999998,10.173333333333336,-1.1999999999999993,0.8168999999999997,0.06500000000000006,5.193333333333332,-2.5999999999999996,8
70,A1 LM,0,1,STUART,2843.0,36.084,0.882,1.6,8.2,4.125,2,0.645,3.6538666666666666,0.2530000000000001,74.41526666666667,-5.319999999999993,9.878333333333334,-1.3500000000000014,0.8276999999999998,0.06299999999999994,5.0299999999999985,-1.9,8
71,A1 LM,0,1,STUART,2843.5,29.344,0.897,0.1,7.25,4.23,2,0.632,3.6924333333333337,0.10500000000000043,73.29543333333335,-6.740000000000002,9.493333333333334,-0.9499999999999993,0.8399999999999997,0.015000000000000013,4.7799999999999985,-1.5,8
72,A1 LM,0,1,STUART,2844.0,24.072,0.841,-0.6,6.8,4.302,2,0.618,3.7254000000000005,0.07199999999999918,72.19326666666667,-5.272000000000002,9.081666666666669,-0.4500000000000002,0.8509999999999998,-0.05600000000000005,4.396666666666665,-0.7,8
73,A1 LM,0,1,STUART,2844.5,22.62,0.733,-2.5,7.65,4.348,2,0.605,3.752766666666667,0.04600000000000026,71.36910000000002,-1.4519999999999982,8.793333333333333,0.8500000000000005,0.8559666666666665,-0.10799999999999998,4.079999999999998,-1.9,8
74,A1 LM,0,1,STUART,2845.0,22.408,0.597,-3.8,9.5,4.29,2,0.5920000000000001,3.764833333333334,-0.05799999999999983,70.92493333333333,-0.21199999999999974,8.770000000000001,1.8499999999999996,0.8515333333333331,-0.136,3.739999999999998,-1.2999999999999998,8
75,A1 LM,0,1,STUART,2845.5,21.184,0.469,-2.7,11.05,4.255,2,0.579,3.7623333333333338,-0.03500000000000014,70.65350000000002,-1.2240000000000002,8.876666666666667,1.5500000000000007,0.8380666666666665,-0.128,3.559999999999998,1.0999999999999996,8
76,A1 LM,0,1,STUART,2846.0,21.796,0.375,-2.3,13.35,4.213,2,0.5660000000000001,3.7556666666666674,-0.041999999999999815,70.43863333333334,0.6119999999999983,9.111666666666668,2.299999999999999,0.8184666666666665,-0.09399999999999997,3.4366666666666648,0.40000000000000036,8
77,A1 LM,0,1,STUART,2846.5,23.925,0.314,-1.8,15.1,4.363,2,0.5529999999999999,3.750733333333334,0.15000000000000036,70.08420000000001,2.1290000000000013,9.428333333333335,1.75,0.7949999999999998,-0.061,3.3166666666666647,0.4999999999999998,8
78,A1 LM,0,1,STUART,2847.0,24.464000000000002,0.278,-1.3,16.15,4.495,2,0.539,3.7535000000000007,0.13199999999999967,69.44120000000001,0.5390000000000015,9.793333333333333,1.049999999999999,0.7691333333333331,-0.035999999999999976,3.2133333333333316,0.5,8
79,A1 LM,0,1,STUART,2847.5,26.039,0.257,-1.9,16.55,4.602,2,0.526,3.766033333333334,0.1070000000000002,68.52210000000001,1.5749999999999993,10.176666666666668,0.40000000000000213,0.7421333333333332,-0.02100000000000002,3.0999999999999983,-0.5999999999999999,8
80,A1 LM,0,1,STUART,2848.0,27.491,0.247,-2.5,16.45,4.544,2,0.513,3.7864666666666675,-0.05800000000000072,67.41450000000002,1.4519999999999982,10.563333333333333,-0.10000000000000142,0.7157333333333331,-0.010000000000000009,2.9533333333333314,-0.6000000000000001,8
81,A1 LM,0,1,STUART,2848.5,28.193,0.249,-2.4,16.3,4.587,2,0.5,3.815933333333334,0.04300000000000015,66.13633333333335,0.7020000000000017,10.925,-0.14999999999999858,0.6926999999999998,0.0020000000000000018,2.783333333333331,0.10000000000000009,8
82,A1 LM,0,1,STUART,2849.0,28.634,0.265,-1.9,16.15,4.678,2,0.48700000000000004,3.8551666666666673,0.09100000000000019,64.57340000000002,0.44099999999999895,11.219999999999999,-0.15000000000000213,0.6748333333333332,0.016000000000000014,2.5866666666666642,0.5,8
83,A1 LM,0,1,STUART,2849.5,29.809,0.299,-1.0,15.2,4.8660000000000005,2,0.474,3.9058333333333337,0.1880000000000006,62.367733333333355,1.1750000000000007,11.408333333333331,-0.9499999999999993,0.6617333333333331,0.033999999999999975,2.3366666666666642,0.8999999999999999,8
84,A1 LM,0,1,STUART,2850.0,31.171999999999997,0.349,-1.5,14.15,4.783,2,0.461,3.9572000000000003,-0.08300000000000018,59.06480000000002,1.362999999999996,11.508333333333331,-1.049999999999999,0.6518999999999998,0.04999999999999999,2.0099999999999976,-0.5,8
85,A1 LM,0,1,STUART,2850.5,33.448,0.418,-1.1,12.65,4.688,2,0.447,4.003666666666667,-0.09500000000000064,54.84083333333336,2.2760000000000034,11.524999999999999,-1.5,0.6443999999999998,0.069,1.6633333333333307,0.3999999999999999,8
86,A1 LM,0,1,STUART,2851.0,33.514,0.503,-1.2,11.3,4.628,2,0.434,4.048,-0.05999999999999961,50.073700000000024,0.0660000000000025,11.499999999999998,-1.3499999999999996,0.6387333333333332,0.08500000000000002,1.3199999999999972,-0.09999999999999987,8
87,A1 LM,0,1,STUART,2851.5,35.146,0.593,-0.5,10.05,4.387,2,0.42100000000000004,4.0826,-0.24100000000000055,45.391166666666685,1.631999999999998,11.43,-1.25,0.6344999999999998,0.08999999999999997,1.006666666666664,0.7,8
88,A1 LM,0,1,STUART,2852.0,35.953,0.6709999999999999,-0.7,9.45,4.291,2,0.408,4.1153,-0.0959999999999992,41.457433333333356,0.8070000000000022,11.348333333333333,-0.6000000000000014,0.6316666666666665,0.07799999999999996,0.7299999999999973,-0.19999999999999996,8
89,A1 LM,0,1,STUART,2852.5,35.178000000000004,0.7290000000000001,-0.6,9.0,4.178,2,0.395,4.1424,-0.11300000000000043,38.627500000000026,-0.7749999999999986,11.241666666666667,-0.4499999999999993,0.6304333333333332,0.05800000000000016,0.4699999999999973,0.09999999999999998,8
90,A1 LM,0,1,STUART,2853.0,36.109,0.773,0.1,8.35,4.203,2,0.382,4.169433333333333,0.025000000000000355,36.78333333333335,0.9309999999999974,11.115000000000002,-0.6500000000000004,0.6299666666666666,0.04399999999999993,0.236666666666664,0.7,6
91,A1 LM,0,1,STUART,2853.5,38.769,0.82,1.3,7.55,4.262,2,0.368,4.201733333333333,0.058999999999999275,35.76523333333336,2.6599999999999966,11.020000000000003,-0.7999999999999998,0.6281666666666667,0.04699999999999993,0.126666666666664,1.2,6
92,A1 LM,0,1,STUART,2854.0,39.510999999999996,0.873,1.3,7.05,4.387,2,0.355,4.2348,0.125,35.254666666666694,0.7419999999999973,10.981666666666671,-0.5,0.6229666666666667,0.05300000000000005,0.1433333333333307,0.0,6
93,A1 LM,0,1,STUART,2854.5,40.523,0.927,2.6,6.5,4.006,2,0.342,4.251666666666667,-0.38099999999999934,34.91030000000002,1.0120000000000076,10.970000000000002,-0.5499999999999998,0.6155666666666666,0.05400000000000005,0.21999999999999736,1.3,6
94,A1 LM,0,1,STUART,2855.0,42.693999999999996,0.9640000000000001,2.8,6.8,3.718,2,0.32899999999999996,4.2564,-0.28800000000000026,34.512366666666686,2.1709999999999923,10.950000000000005,0.2999999999999998,0.6113666666666666,0.03700000000000003,0.27999999999999736,0.19999999999999973,6
95,A1 LM,0,1,STUART,2855.5,45.297,0.9590000000000001,3.0,7.3,3.594,2,0.316,4.2577,-0.12400000000000011,34.12776666666669,2.6030000000000015,10.91166666666667,0.5,0.6125333333333333,-0.0050000000000000044,0.24333333333333068,0.20000000000000018,6
96,A1 LM,0,1,STUART,2856.0,48.145,0.915,3.8,8.2,3.46,2,0.303,4.253333333333334,-0.1339999999999999,33.71950000000002,2.848000000000006,10.850000000000003,0.8999999999999995,0.6167666666666666,-0.04400000000000004,0.13333333333333067,0.7999999999999998,6
97,A1 LM,0,1,STUART,2856.5,51.041000000000004,0.862,5.9,8.75,3.333,2,0.289,4.245233333333334,-0.12699999999999978,33.45620000000001,2.896000000000001,10.770000000000005,0.5500000000000007,0.6210666666666664,-0.05300000000000005,0.05999999999999736,2.1000000000000005,6
98,A1 LM,0,1,STUART,2857.0,56.125,0.825,7.4,9.3,3.3360000000000003,2,0.276,4.234133333333335,0.0030000000000001137,33.66973333333335,5.083999999999996,10.721666666666671,0.5500000000000007,0.6234333333333331,-0.03700000000000003,0.10333333333333071,1.5,6
