,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies,GR025,GR2,PHIND025,PHIND2,DeltaPHIlog,DeltaPHI05,NM_M_GR,NM_M_PHIND,NM_M_DeltaPHI,GR_PHIND,NM_M_ILD_log10,NM_M_ILD_log10_GR,NM_M_ILD_log10_GR_PHIND,ILD_log10_GR_PHIND,ILD_log10_GR_PHIND_DeltaPHI
33,A1 SH,STUART,2824.5,76.778,0.643,10.7,12.25,3.452,1,0.222,2,2.9601191923048837,5894.8612840000005,1.8708286933869707,150.0625,114.48999999999998,1225.0429999999997,76.778,12.25,10.7,940.5305000000001,0.643,49.36825400000001,604.7611115000001,604.7611115000001,6470.94389305
34,A1 SH,STUART,2825.0,73.971,0.632,9.7,12.55,3.3960000000000004,1,0.2,2,2.9326846934346924,5471.708841000001,1.8821790342004319,157.50250000000003,94.08999999999999,912.6729999999998,73.971,12.55,9.7,928.3360500000001,0.632,46.749672000000004,586.7083836,586.7083836,5691.07132092
35,A1 SH,STUART,2825.5,74.314,0.622,8.8,13.1,3.1439999999999997,1,0.17800000000000002,2,2.9360784775892634,5522.570595999999,1.9024700297693973,171.60999999999999,77.44000000000001,681.4720000000002,74.314,13.1,8.8,973.5133999999999,0.622,46.223307999999996,605.5253347999999,605.5253347999999,5328.62294624
36,A1 SH,STUART,2826.0,77.031,0.583,4.8,16.2,3.034,1,0.156,2,2.962554741870119,5933.774961000001,2.006220914929266,262.44,23.04,110.59199999999998,77.031,16.2,4.8,1247.9022,0.583,44.909073,727.5269826,727.5269826,3492.12951648
37,A1 SH,STUART,2826.5,74.469,0.517,4.8,19.2,2.931,1,0.133,2,2.937608258802374,5545.631960999999,2.0932702787842112,368.64,23.04,110.59199999999998,74.469,19.2,4.8,1429.8048,0.517,38.500473,739.2090816,739.2090816,3548.20359168
38,A1 SH,STUART,2827.0,73.327,0.489,6.3,20.35,2.88,1,0.111,2,2.926280675327282,5376.848929,2.1239344216467666,414.12250000000006,39.69,250.04699999999997,73.327,20.35,6.3,1492.2044500000002,0.489,35.856902999999996,729.68797605,729.68797605,4597.0342491149995
39,A1 SH,STUART,2827.5,74.575,0.526,4.9,19.25,2.795,1,0.08900000000000001,2,2.9386530573148333,5561.430625000001,2.0946317561079946,370.5625,24.010000000000005,117.64900000000003,74.575,19.25,4.9,1435.5687500000001,0.526,39.22645,755.1091625,755.1091625,3700.03489625
40,A1 SH,STUART,2828.0,70.536,0.5579999999999999,6.5,17.05,3.009,1,0.067,3,2.8980288658109674,4975.327296,2.0320345874055676,290.70250000000004,42.25,274.625,70.536,17.05,6.5,1202.6388000000002,0.5579999999999999,39.359088,671.0724504,671.0724504,4361.970927599999
41,A1 SH,STUART,2828.5,62.93899999999999,0.528,7.6,18.8,3.073,1,0.044000000000000004,3,2.816631030818855,3961.317720999999,2.082281603850872,353.44000000000005,57.76,438.97599999999994,62.93899999999999,18.8,7.6,1183.2531999999999,0.528,33.231792,624.7576896,624.7576896,4748.15844096
42,A1 SH,STUART,2829.0,57.137,0.511,10.9,19.15,3.313,1,0.022000000000000002,3,2.7493457470226854,3264.636769,2.0919061397223855,366.72249999999997,118.81,1295.0290000000002,57.137,19.15,10.9,1094.17355,0.511,29.197007,559.12268405,559.12268405,6094.437256145
43,A1 LM,STUART,2829.5,47.345,0.584,7.0,16.3,3.5269999999999997,2,1.0,8,2.623122243761111,2241.549025,2.009309793843963,265.69,49.0,343.0,94.69,32.6,14.0,771.7235000000001,1.168,55.298959999999994,901.3730479999999,450.68652399999996,3154.805668
44,A1 LM,STUART,2830.0,35.733000000000004,0.73,6.4,10.2,3.928,2,0.987,8,2.444935293845368,1276.8472890000003,1.7871048890689831,104.03999999999999,40.96000000000001,262.14400000000006,71.46600000000001,20.4,12.8,364.4766,1.46,52.17018,532.1358359999999,266.06791799999996,1702.8346751999998
45,A1 LM,STUART,2830.5,29.326999999999998,0.873,2.7,7.85,4.33,2,0.9740000000000001,8,2.3271099860009627,860.0729289999999,1.673853382236443,61.622499999999995,7.290000000000001,19.683000000000003,58.653999999999996,15.7,5.4,230.21694999999997,1.746,51.204941999999996,401.95879469999994,200.97939734999997,542.6443728449999
46,A1 LM,STUART,2831.0,28.241999999999997,0.963,1.4,6.3,4.413,2,0.961,8,2.305280953893756,797.6105639999998,1.584291664941221,39.69,1.9599999999999997,2.7439999999999993,56.483999999999995,12.6,2.8,177.92459999999997,1.926,54.39409199999999,342.68277959999995,171.34138979999997,239.87794571999996
47,A1 LM,STUART,2831.5,34.558,1.018,1.8,5.6,4.511,2,0.9470000000000001,8,2.424583526456494,1194.255364,1.5383211346269174,31.359999999999996,3.24,5.832000000000001,69.116,11.2,3.6,193.5248,2.036,70.360088,394.0164928,197.0082464,354.61484351999997
48,A1 LM,STUART,2832.0,43.754,1.054,1.8,5.2,4.412,2,0.934,8,2.5719021447809496,1914.4125159999999,1.5100830606950983,27.040000000000003,3.24,5.832000000000001,87.508,10.4,3.6,227.5208,2.108,92.233432,479.6138464,239.8069232,431.65246176
49,A1 LM,STUART,2832.5,53.611999999999995,1.067,1.5,5.05,4.226,2,0.9209999999999999,6,2.705923424410197,2874.2465439999996,1.4990732154983035,25.502499999999998,2.25,3.375,107.22399999999999,10.1,3.0,270.7406,2.134,114.40800799999998,577.7604403999999,288.88022019999994,433.3203302999999
50,A1 LM,STUART,2833.0,60.718999999999994,1.0390000000000001,1.9,4.85,3.931,2,0.9079999999999999,6,2.791458351717213,3686.796960999999,1.4840052407436182,23.522499999999997,3.61,6.858999999999999,121.43799999999999,9.7,3.8,294.48714999999993,2.0780000000000003,126.174082,611.9442977,305.97214885,581.347082815
51,A1 LM,STUART,2833.5,66.538,0.94,2.7,5.45,3.7030000000000003,2,0.895,6,2.8560607157215836,4427.305444,1.5279147574343768,29.7025,7.290000000000001,19.683000000000003,133.076,10.9,5.4,362.6321,1.88,125.09143999999999,681.748348,340.874174,920.3602698
52,A1 LM,STUART,2834.0,75.52199999999999,0.8009999999999999,4.0,7.3,3.5010000000000003,2,0.882,6,2.94793817167619,5703.572483999998,1.6437308834542408,53.29,16.0,64.0,151.04399999999998,14.6,8.0,551.3105999999999,1.6019999999999999,120.98624399999997,883.1995811999998,441.5997905999999,1766.3991623999996
53,A1 LM,STUART,2834.5,95.979,0.6920000000000001,6.5,9.55,3.346,2,0.868,6,3.1299979649766354,9211.968440999999,1.7579270258097999,91.20250000000001,42.25,274.625,191.958,19.1,13.0,916.59945,1.3840000000000001,132.834936,1268.5736388,634.2868194,4122.8643261
54,A1 LM,STUART,2835.0,130.26,0.644,8.3,11.15,3.242,2,0.855,4,3.378335434804988,16967.667599999997,1.8273372899967866,124.3225,68.89000000000001,571.7870000000001,260.52,22.3,16.6,1452.399,1.288,167.77488,1870.689912,935.344956,7763.363134800001
55,A1 LM,STUART,2835.5,160.167,0.643,9.3,12.15,3.2939999999999996,2,0.8420000000000001,4,3.557486496625475,25653.467889,1.866998931865435,147.6225,86.49000000000001,804.3570000000002,320.334,24.3,18.6,1946.02905,1.286,205.974762,2502.5933583,1251.29667915,11637.059116095
56,A1 LM,STUART,2836.0,176.528,0.6729999999999999,9.1,12.05,3.298,2,0.8290000000000001,4,3.645049246265063,31162.134783999998,1.863145456356523,145.20250000000001,82.80999999999999,753.5709999999999,353.056,24.1,18.2,2127.1624,1.3459999999999999,237.60668799999996,2863.1605904,1431.5802952,13027.380686319999
57,A1 LM,STUART,2836.5,175.622,0.72,8.9,12.15,3.3489999999999998,2,0.816,4,3.640363318792991,30843.086884000004,1.866998931865435,147.6225,79.21000000000001,704.969,351.244,24.3,17.8,2133.8073000000004,1.44,252.89568,3072.682512,1536.341256,13673.4371784
58,A1 LM,STUART,2837.0,153.965,0.7559999999999999,7.6,11.9,3.31,2,0.8029999999999999,4,3.52253649742203,23705.221225,1.8573200214642784,141.61,57.76,438.97599999999994,307.93,23.8,15.2,1832.1835,1.5119999999999998,232.79507999999998,2770.2614519999997,1385.1307259999999,10526.993517599998
59,A1 LM,STUART,2837.5,120.07600000000001,0.7659999999999999,7.2,12.2,3.365,2,0.789,4,3.31027483912802,14418.245776000002,1.8689167555872028,148.83999999999997,51.84,373.24800000000005,240.15200000000002,24.4,14.4,1464.9272,1.5319999999999998,183.95643199999998,2244.2684703999994,1122.1342351999997,8079.366493439998
60,A1 LM,STUART,2838.0,91.434,0.787,7.1,12.15,3.392,2,0.7759999999999999,4,3.0922666019048783,8360.176356,1.866998931865435,147.6225,50.41,357.91099999999994,182.868,24.3,14.2,1110.9231,1.574,143.917116,1748.5929594,874.2964797,6207.50500587
61,A1 LM,STUART,2838.5,69.312,0.8740000000000001,4.6,10.4,3.293,2,0.763,4,2.8853739574063058,4804.153343999999,1.7958015200236968,108.16000000000001,21.159999999999997,97.33599999999998,138.624,20.8,9.2,720.8448,1.7480000000000002,121.15737600000001,1260.0367104000002,630.0183552000001,2898.0844339200003
62,A1 LM,STUART,2839.0,54.828,1.0290000000000001,0.8,8.2,3.395,2,0.75,6,2.7211382120553784,3006.1095840000003,1.6922069059826197,67.24,0.6400000000000001,0.5120000000000001,109.656,16.4,1.6,449.58959999999996,2.0580000000000003,112.83602400000002,925.2553968000001,462.62769840000004,370.10215872000003
63,A1 LM,STUART,2839.5,50.854,1.149,0.3,6.85,3.5,2,0.737,6,2.670430500436595,2586.129316,1.617791848681554,46.92249999999999,0.09,0.026999999999999996,101.708,13.7,0.6,348.3499,2.298,116.862492,800.5080702,400.2540351,120.07621053
64,A1 LM,STUART,2840.0,54.632,1.09,1.0,7.4,3.576,2,0.7240000000000001,6,2.7187030531930283,2984.6554239999996,1.6493314105258192,54.760000000000005,1.0,1.0,109.264,14.8,2.0,404.2768,2.18,119.09776000000001,881.323424,440.661712,440.661712
65,A1 LM,STUART,2840.5,56.835,0.924,4.1,8.45,3.555,2,0.711,6,2.7457055785130056,3230.217225,1.704959932300383,71.40249999999999,16.81,68.92099999999998,113.67,16.9,8.2,480.25575,1.848,105.03108,887.512626,443.756313,1819.4008832999998
66,A1 LM,STUART,2841.0,60.393,0.7879999999999999,7.1,10.05,3.591,2,0.6970000000000001,6,2.787703952835585,3647.314449,1.7804981035736802,101.00250000000001,50.41,357.91099999999994,120.786,20.1,14.2,606.94965,1.5759999999999998,95.179368,956.5526484000001,478.27632420000003,3395.7619018200003
67,A1 LM,STUART,2841.5,58.94,0.733,8.1,11.15,3.576,2,0.684,6,2.770783118013334,3473.9235999999996,1.8273372899967866,124.3225,65.61,531.4409999999999,117.88,22.3,16.2,657.181,1.466,86.40603999999999,963.427346,481.713673,3901.8807512999997
68,A1 LM,STUART,2842.0,49.718999999999994,0.754,6.1,10.75,3.6689999999999996,2,0.6709999999999999,6,2.6554039458548777,2471.9789609999993,1.8107234085168835,115.5625,37.209999999999994,226.98099999999997,99.43799999999999,21.5,12.2,534.47925,1.508,74.97625199999999,805.9947089999998,402.9973544999999,2458.2838624499996
69,A1 LM,STUART,2842.5,41.403999999999996,0.8190000000000001,3.5,9.55,3.872,2,0.6579999999999999,6,2.536650154098219,1714.2912159999996,1.7579270258097999,91.20250000000001,12.25,42.875,82.80799999999999,19.1,7.0,395.4082,1.6380000000000001,67.819752,647.6786316,323.8393158,1133.4376053
70,A1 LM,STUART,2843.0,36.084,0.882,1.6,8.2,4.125,2,0.645,6,2.4509173632384305,1302.0550560000001,1.6922069059826197,67.24,2.5600000000000005,4.096000000000001,72.168,16.4,3.2,295.8888,1.764,63.652176000000004,521.9478432,260.9739216,417.55827456
71,A1 LM,STUART,2843.5,29.344,0.897,0.1,7.25,4.23,2,0.632,8,2.327447152034534,861.0703360000001,1.6409090174556455,52.5625,0.010000000000000002,0.0010000000000000002,58.688,14.5,0.2,212.744,1.794,52.643136000000005,381.66273600000005,190.83136800000003,19.083136800000002
72,A1 LM,STUART,2844.0,24.072,0.841,-0.6,6.8,4.302,2,0.618,8,2.215021998015899,579.461184,1.6148315584236825,46.239999999999995,0.36,-0.21599999999999997,48.144,13.6,-1.2,163.68959999999998,1.682,40.489104,275.32590719999996,137.66295359999998,-82.59777215999999
73,A1 LM,STUART,2844.5,22.62,0.733,-2.5,7.65,4.348,2,0.605,8,2.180836715629496,511.66440000000006,1.6630884934927144,58.52250000000001,6.25,-15.625,45.24,15.3,-5.0,173.043,1.466,33.16092,253.681038,126.840519,-317.1012975
74,A1 LM,STUART,2845.0,22.408,0.597,-3.8,9.5,4.29,2,0.5920000000000001,8,2.175708828241429,502.1184640000001,1.7556215427832071,90.25,14.44,-54.87199999999999,44.816,19.0,-7.6,212.876,1.194,26.755152,254.17394399999998,127.08697199999999,-482.9304935999999
75,A1 LM,STUART,2845.5,21.184,0.469,-2.7,11.05,4.255,2,0.579,8,2.145368955766259,448.761856,1.8232262689306922,122.10250000000002,7.290000000000001,-19.683000000000003,42.368,22.1,-5.4,234.08320000000003,0.938,19.870592,219.5700416,109.7850208,-296.41955616
76,A1 LM,STUART,2846.0,21.796,0.375,-2.3,13.35,4.213,2,0.5660000000000001,8,2.1606986461289788,475.065616,1.9114824564429103,178.2225,5.289999999999999,-12.166999999999998,43.592,26.7,-4.6,290.97659999999996,0.75,16.347,218.23245,109.116225,-250.96731749999998
77,A1 LM,STUART,2846.5,23.925,0.314,-1.8,15.1,4.363,2,0.5529999999999999,8,2.2116326188040905,572.405625,1.971261485837201,228.01,3.24,-5.832000000000001,47.85,30.2,-3.6,361.2675,0.628,15.0249,226.87599,113.437995,-204.188391
78,A1 LM,STUART,2847.0,24.464000000000002,0.278,-1.3,16.15,4.495,2,0.539,8,2.2239850679102773,598.4872960000001,2.0046711100532235,260.82249999999993,1.6900000000000002,-2.197,48.928000000000004,32.3,-2.6,395.0936,0.556,13.601984000000002,219.6720416,109.8360208,-142.78682704
79,A1 LM,STUART,2847.5,26.039,0.257,-1.9,16.55,4.602,2,0.526,8,2.258947176275556,678.029521,2.01697028271653,273.90250000000003,3.61,-6.858999999999999,52.078,33.1,-3.8,430.94545000000005,0.514,13.384046000000001,221.50596130000002,110.75298065000001,-210.43066323500003
80,A1 LM,STUART,2848.0,27.491,0.247,-2.5,16.45,4.544,2,0.513,8,2.2898004398417404,755.755081,2.0139165717910585,270.60249999999996,6.25,-15.625,54.982,32.9,-5.0,452.22695,0.494,13.580554,223.4001133,111.70005665,-279.25014162499997
81,A1 LM,STUART,2848.5,28.193,0.249,-2.4,16.3,4.587,2,0.5,8,2.3042803843943895,794.8452490000001,2.009309793843963,265.69,5.76,-13.823999999999998,56.386,32.6,-4.8,459.5459,0.498,14.040114,228.85385820000002,114.42692910000001,-274.62462984
82,A1 LM,STUART,2849.0,28.634,0.265,-1.9,16.15,4.678,2,0.48700000000000004,8,2.3132389972550236,819.9059560000001,2.0046711100532235,260.82249999999993,3.61,-6.858999999999999,57.268,32.3,-3.8,462.43909999999994,0.53,15.176020000000001,245.092723,122.5463615,-232.83808685
83,A1 LM,STUART,2849.5,29.809,0.299,-1.0,15.2,4.8660000000000005,2,0.474,8,2.3366133397655564,888.5764810000001,1.9745170898028677,231.04,1.0,-1.0,59.618,30.4,-2.0,453.0968,0.598,17.825782,270.9518864,135.4759432,-135.4759432
84,A1 LM,STUART,2850.0,31.171999999999997,0.349,-1.5,14.15,4.783,2,0.461,8,2.36287728264973,971.6935839999998,1.9394969901396613,200.2225,2.25,-3.375,62.343999999999994,28.3,-3.0,441.0838,0.698,21.758055999999996,307.87649239999996,153.93824619999998,-230.90736929999997
85,A1 LM,STUART,2850.5,33.448,0.418,-1.1,12.65,4.688,2,0.447,8,2.4048751716084382,1118.768704,1.8859172433475833,160.0225,1.2100000000000002,-1.3310000000000004,66.896,25.3,-2.2,423.1172,0.836,27.962528,353.7259792,176.8629896,-194.54928856
86,A1 LM,STUART,2851.0,33.514,0.503,-1.2,11.3,4.628,2,0.434,8,2.406060627012638,1123.1881960000003,1.8334522799337654,127.69000000000001,1.44,-1.7279999999999998,67.028,22.6,-2.4,378.70820000000003,1.006,33.715084000000004,380.98044920000007,190.49022460000003,-228.58826952000004
87,A1 LM,STUART,2851.5,35.146,0.593,-0.5,10.05,4.387,2,0.42100000000000004,6,2.434831861527774,1235.241316,1.7804981035736802,101.00250000000001,0.25,-0.125,70.292,20.1,-1.0,353.2173,1.186,41.683156,418.9157178,209.4578589,-104.72892945
88,A1 LM,STUART,2852.0,35.953,0.6709999999999999,-0.7,9.45,4.291,2,0.408,6,2.448689864834191,1292.6182090000002,1.7533069411223694,89.30249999999998,0.48999999999999994,-0.3429999999999999,71.906,18.9,-1.4,339.75585,1.3419999999999999,48.248926,455.95235069999995,227.97617534999998,-159.58332274499998
89,A1 LM,STUART,2852.5,35.178000000000004,0.7290000000000001,-0.6,9.0,4.178,2,0.395,6,2.4353858935020827,1237.4916840000003,1.7320508075688772,81.0,0.36,-0.21599999999999997,70.35600000000001,18.0,-1.2,316.60200000000003,1.4580000000000002,51.289524000000014,461.60571600000014,230.80285800000007,-138.48171480000005
90,A1 LM,STUART,2853.0,36.109,0.773,0.1,8.35,4.203,2,0.382,6,2.4513417689387658,1303.859881,1.6998931305702656,69.7225,0.010000000000000002,0.0010000000000000002,72.218,16.7,0.2,301.51015,1.546,55.82451400000001,466.13469190000006,233.06734595000003,23.306734595000005
91,A1 LM,STUART,2853.5,38.769,0.82,1.3,7.55,4.262,2,0.368,6,2.495290710256574,1503.035361,1.6576267169682133,57.0025,1.6900000000000002,2.197,77.538,15.1,2.6,292.70595,1.64,63.58116,480.03775799999994,240.01887899999997,312.0245427
