,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies,GR025,GR2,PHIND025,PHIND2,DeltaPHIlog,DeltaPHI05,NM_M_GR,NM_M_PHIND,NM_M_DeltaPHI,GR_PHIND,NM_M_PE,NM_M_PE_GR,NM_M_PE_GR_PHIND,PE_GR_PHIND,PE_GR_PHIND_DeltaPHI
34,A1 SH,STUART,2825.0,73.971,0.632,9.7,12.55,3.3960000000000004,1,0.2,2,2.9326846934346924,5471.708841000001,1.8821790342004319,157.50250000000003,94.08999999999999,912.6729999999998,73.971,12.55,9.7,928.3360500000001,3.3960000000000004,251.20551600000005,3152.6292258000008,3152.6292258000008,30580.503490260005
35,A1 SH,STUART,2825.5,74.314,0.622,8.8,13.1,3.1439999999999997,1,0.17800000000000002,2,2.9360784775892634,5522.570595999999,1.9024700297693973,171.60999999999999,77.44000000000001,681.4720000000002,74.314,13.1,8.8,973.5133999999999,3.1439999999999997,233.64321599999997,3060.7261295999997,3060.7261295999997,26934.38994048
36,A1 SH,STUART,2826.0,77.031,0.583,4.8,16.2,3.034,1,0.156,2,2.962554741870119,5933.774961000001,2.006220914929266,262.44,23.04,110.59199999999998,77.031,16.2,4.8,1247.9022,3.034,233.712054,3786.1352748,3786.1352748,18173.44931904
37,A1 SH,STUART,2826.5,74.469,0.517,4.8,19.2,2.931,1,0.133,2,2.937608258802374,5545.631960999999,2.0932702787842112,368.64,23.04,110.59199999999998,74.469,19.2,4.8,1429.8048,2.931,218.26863899999998,4190.757868799999,4190.757868799999,20115.637770239995
38,A1 SH,STUART,2827.0,73.327,0.489,6.3,20.35,2.88,1,0.111,3,2.926280675327282,5376.848929,2.1239344216467666,414.12250000000006,39.69,250.04699999999997,73.327,20.35,6.3,1492.2044500000002,2.88,211.18176,4297.548816,4297.548816,27074.5575408
39,A1 SH,STUART,2827.5,74.575,0.526,4.9,19.25,2.795,1,0.08900000000000001,3,2.9386530573148333,5561.430625000001,2.0946317561079946,370.5625,24.010000000000005,117.64900000000003,74.575,19.25,4.9,1435.5687500000001,2.795,208.437125,4012.41465625,4012.41465625,19660.831815625002
40,A1 SH,STUART,2828.0,70.536,0.5579999999999999,6.5,17.05,3.009,1,0.067,3,2.8980288658109674,4975.327296,2.0320345874055676,290.70250000000004,42.25,274.625,70.536,17.05,6.5,1202.6388000000002,3.009,212.24282399999998,3618.7401492,3618.7401492,23521.8109698
41,A1 SH,STUART,2828.5,62.93899999999999,0.528,7.6,18.8,3.073,1,0.044000000000000004,3,2.816631030818855,3961.317720999999,2.082281603850872,353.44000000000005,57.76,438.97599999999994,62.93899999999999,18.8,7.6,1183.2531999999999,3.073,193.41154699999998,3636.1370835999996,3636.1370835999996,27634.641835359995
42,A1 SH,STUART,2829.0,57.137,0.511,10.9,19.15,3.313,1,0.022000000000000002,3,2.7493457470226854,3264.636769,2.0919061397223855,366.72249999999997,118.81,1295.0290000000002,57.137,19.15,10.9,1094.17355,3.313,189.294881,3624.99697115,3624.99697115,39512.466985535
43,A1 LM,STUART,2829.5,47.345,0.584,7.0,16.3,3.5269999999999997,2,1.0,8,2.623122243761111,2241.549025,2.009309793843963,265.69,49.0,343.0,94.69,32.6,14.0,771.7235000000001,7.053999999999999,333.97162999999995,5443.737568999999,2721.8687844999995,19053.081491499997
44,A1 LM,STUART,2830.0,35.733000000000004,0.73,6.4,10.2,3.928,2,0.987,8,2.444935293845368,1276.8472890000003,1.7871048890689831,104.03999999999999,40.96000000000001,262.14400000000006,71.46600000000001,20.4,12.8,364.4766,7.856,280.718448,2863.3281696,1431.6640848,9162.65014272
45,A1 LM,STUART,2830.5,29.326999999999998,0.873,2.7,7.85,4.33,2,0.9740000000000001,8,2.3271099860009627,860.0729289999999,1.673853382236443,61.622499999999995,7.290000000000001,19.683000000000003,58.653999999999996,15.7,5.4,230.21694999999997,8.66,253.97181999999998,1993.6787869999998,996.8393934999999,2691.46636245
46,A1 LM,STUART,2831.0,28.241999999999997,0.963,1.4,6.3,4.413,2,0.961,8,2.305280953893756,797.6105639999998,1.584291664941221,39.69,1.9599999999999997,2.7439999999999993,56.483999999999995,12.6,2.8,177.92459999999997,8.826,249.263892,1570.3625196,785.1812598,1099.25376372
47,A1 LM,STUART,2831.5,34.558,1.018,1.8,5.6,4.511,2,0.9470000000000001,8,2.424583526456494,1194.255364,1.5383211346269174,31.359999999999996,3.24,5.832000000000001,69.116,11.2,3.6,193.5248,9.022,311.782276,1745.9807456,872.9903728,1571.38267104
48,A1 LM,STUART,2832.0,43.754,1.054,1.8,5.2,4.412,2,0.934,8,2.5719021447809496,1914.4125159999999,1.5100830606950983,27.040000000000003,3.24,5.832000000000001,87.508,10.4,3.6,227.5208,8.824,386.08529599999997,2007.6435391999999,1003.8217695999999,1806.87918528
49,A1 LM,STUART,2832.5,53.611999999999995,1.067,1.5,5.05,4.226,2,0.9209999999999999,8,2.705923424410197,2874.2465439999996,1.4990732154983035,25.502499999999998,2.25,3.375,107.22399999999999,10.1,3.0,270.7406,8.452,453.12862399999995,2288.2995511999998,1144.1497755999999,1716.2246633999998
50,A1 LM,STUART,2833.0,60.718999999999994,1.0390000000000001,1.9,4.85,3.931,2,0.9079999999999999,6,2.791458351717213,3686.796960999999,1.4840052407436182,23.522499999999997,3.61,6.858999999999999,121.43799999999999,9.7,3.8,294.48714999999993,7.862,477.372778,2315.2579733,1157.62898665,2199.4950746349996
51,A1 LM,STUART,2833.5,66.538,0.94,2.7,5.45,3.7030000000000003,2,0.895,6,2.8560607157215836,4427.305444,1.5279147574343768,29.7025,7.290000000000001,19.683000000000003,133.076,10.9,5.4,362.6321,7.406000000000001,492.78042800000003,2685.6533326000003,1342.8266663000002,3625.6319990100005
52,A1 LM,STUART,2834.0,75.52199999999999,0.8009999999999999,4.0,7.3,3.5010000000000003,2,0.882,6,2.94793817167619,5703.572483999998,1.6437308834542408,53.29,16.0,64.0,151.04399999999998,14.6,8.0,551.3105999999999,7.002000000000001,528.805044,3860.2768211999996,1930.1384105999998,7720.553642399999
53,A1 LM,STUART,2834.5,95.979,0.6920000000000001,6.5,9.55,3.346,2,0.868,6,3.1299979649766354,9211.968440999999,1.7579270258097999,91.20250000000001,42.25,274.625,191.958,19.1,13.0,916.59945,6.692,642.291468,6133.8835194,3066.9417597,19935.121438050002
54,A1 LM,STUART,2835.0,130.26,0.644,8.3,11.15,3.242,2,0.855,4,3.378335434804988,16967.667599999997,1.8273372899967866,124.3225,68.89000000000001,571.7870000000001,260.52,22.3,16.6,1452.399,6.484,844.60584,9417.355115999999,4708.677557999999,39082.0237314
55,A1 LM,STUART,2835.5,160.167,0.643,9.3,12.15,3.2939999999999996,2,0.8420000000000001,4,3.557486496625475,25653.467889,1.866998931865435,147.6225,86.49000000000001,804.3570000000002,320.334,24.3,18.6,1946.02905,6.587999999999999,1055.1801959999998,12820.439381399998,6410.219690699999,59615.04312351
56,A1 LM,STUART,2836.0,176.528,0.6729999999999999,9.1,12.05,3.298,2,0.8290000000000001,4,3.645049246265063,31162.134783999998,1.863145456356523,145.20250000000001,82.80999999999999,753.5709999999999,353.056,24.1,18.2,2127.1624,6.596,1164.378688,14030.7631904,7015.3815952,63839.97251632
57,A1 LM,STUART,2836.5,175.622,0.72,8.9,12.15,3.3489999999999998,2,0.816,4,3.640363318792991,30843.086884000004,1.866998931865435,147.6225,79.21000000000001,704.969,351.244,24.3,17.8,2133.8073000000004,6.6979999999999995,1176.316156,14292.241295400001,7146.1206477000005,63600.473764530005
58,A1 LM,STUART,2837.0,153.965,0.7559999999999999,7.6,11.9,3.31,2,0.8029999999999999,4,3.52253649742203,23705.221225,1.8573200214642784,141.61,57.76,438.97599999999994,307.93,23.8,15.2,1832.1835,6.62,1019.2483000000001,12129.05477,6064.527385,46090.408126
59,A1 LM,STUART,2837.5,120.07600000000001,0.7659999999999999,7.2,12.2,3.365,2,0.789,4,3.31027483912802,14418.245776000002,1.8689167555872028,148.83999999999997,51.84,373.24800000000005,240.15200000000002,24.4,14.4,1464.9272,6.73,808.1114800000001,9858.960056000002,4929.480028000001,35492.25620160001
60,A1 LM,STUART,2838.0,91.434,0.787,7.1,12.15,3.392,2,0.7759999999999999,4,3.0922666019048783,8360.176356,1.866998931865435,147.6225,50.41,357.91099999999994,182.868,24.3,14.2,1110.9231,6.784,620.2882559999999,7536.502310399999,3768.2511551999996,26754.583201919995
61,A1 LM,STUART,2838.5,69.312,0.8740000000000001,4.6,10.4,3.293,2,0.763,4,2.8853739574063058,4804.153343999999,1.7958015200236968,108.16000000000001,21.159999999999997,97.33599999999998,138.624,20.8,9.2,720.8448,6.586,456.488832,4747.4838528,2373.7419264,10919.212861439999
62,A1 LM,STUART,2839.0,54.828,1.0290000000000001,0.8,8.2,3.395,2,0.75,6,2.7211382120553784,3006.1095840000003,1.6922069059826197,67.24,0.6400000000000001,0.5120000000000001,109.656,16.4,1.6,449.58959999999996,6.79,372.28212,3052.7133839999997,1526.3566919999998,1221.0853536
63,A1 LM,STUART,2839.5,50.854,1.149,0.3,6.85,3.5,2,0.737,6,2.670430500436595,2586.129316,1.617791848681554,46.92249999999999,0.09,0.026999999999999996,101.708,13.7,0.6,348.3499,7.0,355.978,2438.4492999999998,1219.2246499999999,365.76739499999996
64,A1 LM,STUART,2840.0,54.632,1.09,1.0,7.4,3.576,2,0.7240000000000001,6,2.7187030531930283,2984.6554239999996,1.6493314105258192,54.760000000000005,1.0,1.0,109.264,14.8,2.0,404.2768,7.152,390.728064,2891.3876736,1445.6938368,1445.6938368
65,A1 LM,STUART,2840.5,56.835,0.924,4.1,8.45,3.555,2,0.711,6,2.7457055785130056,3230.217225,1.704959932300383,71.40249999999999,16.81,68.92099999999998,113.67,16.9,8.2,480.25575,7.11,404.09685,3414.6183825,1707.30919125,6999.967684124999
66,A1 LM,STUART,2841.0,60.393,0.7879999999999999,7.1,10.05,3.591,2,0.6970000000000001,6,2.787703952835585,3647.314449,1.7804981035736802,101.00250000000001,50.41,357.91099999999994,120.786,20.1,14.2,606.94965,7.182,433.74252600000005,4359.112386300001,2179.5561931500006,15474.848971365003
67,A1 LM,STUART,2841.5,58.94,0.733,8.1,11.15,3.576,2,0.684,6,2.770783118013334,3473.9235999999996,1.8273372899967866,124.3225,65.61,531.4409999999999,117.88,22.3,16.2,657.181,7.152,421.53888,4700.158512,2350.079256,19035.6419736
68,A1 LM,STUART,2842.0,49.718999999999994,0.754,6.1,10.75,3.6689999999999996,2,0.6709999999999999,6,2.6554039458548777,2471.9789609999993,1.8107234085168835,115.5625,37.209999999999994,226.98099999999997,99.43799999999999,21.5,12.2,534.47925,7.337999999999999,364.8380219999999,3922.008736499999,1961.0043682499995,11962.126646324996
69,A1 LM,STUART,2842.5,41.403999999999996,0.8190000000000001,3.5,9.55,3.872,2,0.6579999999999999,6,2.536650154098219,1714.2912159999996,1.7579270258097999,91.20250000000001,12.25,42.875,82.80799999999999,19.1,7.0,395.4082,7.744,320.632576,3062.0411008,1531.0205504,5358.5719264
70,A1 LM,STUART,2843.0,36.084,0.882,1.6,8.2,4.125,2,0.645,8,2.4509173632384305,1302.0550560000001,1.6922069059826197,67.24,2.5600000000000005,4.096000000000001,72.168,16.4,3.2,295.8888,8.25,297.69300000000004,2441.0826,1220.5413,1952.8660800000002
71,A1 LM,STUART,2843.5,29.344,0.897,0.1,7.25,4.23,2,0.632,8,2.327447152034534,861.0703360000001,1.6409090174556455,52.5625,0.010000000000000002,0.0010000000000000002,58.688,14.5,0.2,212.744,8.46,248.25024000000005,1799.8142400000004,899.9071200000002,89.99071200000003
72,A1 LM,STUART,2844.0,24.072,0.841,-0.6,6.8,4.302,2,0.618,8,2.215021998015899,579.461184,1.6148315584236825,46.239999999999995,0.36,-0.21599999999999997,48.144,13.6,-1.2,163.68959999999998,8.604,207.11548799999997,1408.3853183999997,704.1926591999999,-422.5155955199999
73,A1 LM,STUART,2844.5,22.62,0.733,-2.5,7.65,4.348,2,0.605,8,2.180836715629496,511.66440000000006,1.6630884934927144,58.52250000000001,6.25,-15.625,45.24,15.3,-5.0,173.043,8.696,196.70352,1504.781928,752.390964,-1880.9774100000002
74,A1 LM,STUART,2845.0,22.408,0.597,-3.8,9.5,4.29,2,0.5920000000000001,8,2.175708828241429,502.1184640000001,1.7556215427832071,90.25,14.44,-54.87199999999999,44.816,19.0,-7.6,212.876,8.58,192.26064000000002,1826.4760800000001,913.2380400000001,-3470.304552
75,A1 LM,STUART,2845.5,21.184,0.469,-2.7,11.05,4.255,2,0.579,8,2.145368955766259,448.761856,1.8232262689306922,122.10250000000002,7.290000000000001,-19.683000000000003,42.368,22.1,-5.4,234.08320000000003,8.51,180.27584000000002,1992.0480320000004,996.0240160000002,-2689.2648432000005
76,A1 LM,STUART,2846.0,21.796,0.375,-2.3,13.35,4.213,2,0.5660000000000001,8,2.1606986461289788,475.065616,1.9114824564429103,178.2225,5.289999999999999,-12.166999999999998,43.592,26.7,-4.6,290.97659999999996,8.426,183.653096,2451.7688316,1225.8844158,-2819.5341563399998
77,A1 LM,STUART,2846.5,23.925,0.314,-1.8,15.1,4.363,2,0.5529999999999999,8,2.2116326188040905,572.405625,1.971261485837201,228.01,3.24,-5.832000000000001,47.85,30.2,-3.6,361.2675,8.726,208.76955000000004,3152.4202050000004,1576.2101025000002,-2837.1781845000005
78,A1 LM,STUART,2847.0,24.464000000000002,0.278,-1.3,16.15,4.495,2,0.539,8,2.2239850679102773,598.4872960000001,2.0046711100532235,260.82249999999993,1.6900000000000002,-2.197,48.928000000000004,32.3,-2.6,395.0936,8.99,219.93136,3551.891464,1775.945732,-2308.7294516
79,A1 LM,STUART,2847.5,26.039,0.257,-1.9,16.55,4.602,2,0.526,8,2.258947176275556,678.029521,2.01697028271653,273.90250000000003,3.61,-6.858999999999999,52.078,33.1,-3.8,430.94545000000005,9.204,239.66295600000004,3966.4219218000007,1983.2109609000004,-3768.1008257100007
80,A1 LM,STUART,2848.0,27.491,0.247,-2.5,16.45,4.544,2,0.513,8,2.2898004398417404,755.755081,2.0139165717910585,270.60249999999996,6.25,-15.625,54.982,32.9,-5.0,452.22695,9.088,249.83820799999998,4109.8385216,2054.9192608,-5137.298151999999
81,A1 LM,STUART,2848.5,28.193,0.249,-2.4,16.3,4.587,2,0.5,8,2.3042803843943895,794.8452490000001,2.009309793843963,265.69,5.76,-13.823999999999998,56.386,32.6,-4.8,459.5459,9.174,258.642582,4215.8740866,2107.9370433,-5059.048903919999
82,A1 LM,STUART,2849.0,28.634,0.265,-1.9,16.15,4.678,2,0.48700000000000004,8,2.3132389972550236,819.9059560000001,2.0046711100532235,260.82249999999993,3.61,-6.858999999999999,57.268,32.3,-3.8,462.43909999999994,9.356,267.899704,4326.5802195999995,2163.2901097999998,-4110.2512086199995
83,A1 LM,STUART,2849.5,29.809,0.299,-1.0,15.2,4.8660000000000005,2,0.474,8,2.3366133397655564,888.5764810000001,1.9745170898028677,231.04,1.0,-1.0,59.618,30.4,-2.0,453.0968,9.732000000000001,290.10118800000004,4409.538057600001,2204.7690288000003,-2204.7690288000003
84,A1 LM,STUART,2850.0,31.171999999999997,0.349,-1.5,14.15,4.783,2,0.461,8,2.36287728264973,971.6935839999998,1.9394969901396613,200.2225,2.25,-3.375,62.343999999999994,28.3,-3.0,441.0838,9.566,298.191352,4219.4076308,2109.7038154,-3164.5557231000003
85,A1 LM,STUART,2850.5,33.448,0.418,-1.1,12.65,4.688,2,0.447,8,2.4048751716084382,1118.768704,1.8859172433475833,160.0225,1.2100000000000002,-1.3310000000000004,66.896,25.3,-2.2,423.1172,9.376,313.608448,3967.1468672,1983.5734336,-2181.93077696
86,A1 LM,STUART,2851.0,33.514,0.503,-1.2,11.3,4.628,2,0.434,8,2.406060627012638,1123.1881960000003,1.8334522799337654,127.69000000000001,1.44,-1.7279999999999998,67.028,22.6,-2.4,378.70820000000003,9.256,310.20558400000004,3505.323099200001,1752.6615496000004,-2103.1938595200004
87,A1 LM,STUART,2851.5,35.146,0.593,-0.5,10.05,4.387,2,0.42100000000000004,6,2.434831861527774,1235.241316,1.7804981035736802,101.00250000000001,0.25,-0.125,70.292,20.1,-1.0,353.2173,8.774,308.37100399999997,3099.1285902,1549.5642951,-774.78214755
88,A1 LM,STUART,2852.0,35.953,0.6709999999999999,-0.7,9.45,4.291,2,0.408,6,2.448689864834191,1292.6182090000002,1.7533069411223694,89.30249999999998,0.48999999999999994,-0.3429999999999999,71.906,18.9,-1.4,339.75585,8.582,308.5486460000001,2915.7847047000005,1457.8923523500002,-1020.5246466450001
89,A1 LM,STUART,2852.5,35.178000000000004,0.7290000000000001,-0.6,9.0,4.178,2,0.395,6,2.4353858935020827,1237.4916840000003,1.7320508075688772,81.0,0.36,-0.21599999999999997,70.35600000000001,18.0,-1.2,316.60200000000003,8.356,293.94736800000004,2645.5263120000004,1322.7631560000002,-793.6578936000001
90,A1 LM,STUART,2853.0,36.109,0.773,0.1,8.35,4.203,2,0.382,6,2.4513417689387658,1303.859881,1.6998931305702656,69.7225,0.010000000000000002,0.0010000000000000002,72.218,16.7,0.2,301.51015,8.406,303.532254,2534.4943209000003,1267.2471604500001,126.72471604500002
