Facies,GR,ILD_log10,DeltaPHI,PHIND,PE,RELPOS,Label_Form_SH_LM
6,43.09,1.48,3.1,3.11,5.8,0.33299999999999996,2
6,48.95,1.479,4.2,2.95,5.6,0.278,2
6,45.84,1.4369999999999998,4.1,3.03,5.6,0.222,2
6,45.04,1.36,4.2,3.02,5.7,0.16699999999999998,2
6,42.92,1.249,3.6,3.445,5.7,0.111,2
6,53.11,1.104,3.3,4.095,5.9,0.055999999999999994,2
3,67.55,0.966,4.2,5.13,5.1,1.0,1
3,73.99,0.862,6.1,7.84,4.6,0.9640000000000001,1
3,83.09,0.8059999999999999,9.4,11.2,3.9,0.929,1
3,97.28,0.763,10.5,13.97,3.6,0.893,1
2,95.16,0.7140000000000001,9.6,12.96,3.4,0.857,1
2,79.88,0.6609999999999999,8.6,10.425,3.3,0.821,1
2,76.38,0.602,8.9,8.785,3.5,0.7859999999999999,1
2,75.68,0.561,11.4,10.305,3.6,0.75,1
2,84.59,0.537,13.4,13.745,3.9,0.7140000000000001,1
3,103.43,0.525,14.6,16.66,3.9,0.679,1
3,103.41,0.522,14.7,17.625,3.9,0.643,1
3,99.27,0.52,13.0,16.245,3.8,0.607,1
3,92.94,0.516,12.1,14.85,3.7,0.5710000000000001,1
3,92.9,0.507,11.4,13.27,3.8,0.536,1
3,80.32,0.504,11.0,12.48,3.7,0.5,1
2,83.63,0.512,10.1,11.525,4.0,0.46399999999999997,1
2,67.81,0.529,9.4,11.31,4.1,0.429,1
2,67.88,0.5589999999999999,9.7,10.865,4.3,0.39299999999999996,1
2,64.39,0.589,8.4,10.365,4.4,0.35700000000000004,1
2,61.99,0.604,6.9,9.385,4.4,0.321,1
2,62.5,0.604,5.5,8.53,4.3,0.28600000000000003,1
2,58.64,0.58,5.3,8.6,4.2,0.25,1
2,64.04,0.5429999999999999,5.7,9.98,4.0,0.214,1
2,78.8,0.519,5.4,13.745,3.7,0.179,1
3,78.88,0.502,2.0,21.885,3.7,0.14300000000000002,1
3,86.88,0.5,-3.8,33.79,3.2,0.107,1
3,83.97,0.519,-2.0,37.47,3.0,0.071,1
3,70.01,0.5429999999999999,-4.3,31.57,2.8,0.036000000000000004,1
7,50.7,0.5670000000000001,1.6,16.04,2.9,1.0,2
7,30.81,0.601,1.9,5.725,3.6,0.938,2
7,17.35,0.6559999999999999,4.2,2.73,5.0,0.875,2
8,17.55,0.747,4.7,2.925,5.8,0.813,2
8,18.19,0.855,5.6,3.285,6.2,0.75,2
8,17.08,0.982,5.4,3.99,6.3,0.688,2
8,15.88,1.107,5.5,4.34,6.2,0.625,2
8,20.38,1.17,5.0,4.645,5.9,0.563,2
8,24.93,1.173,5.1,4.77,5.8,0.5,2
8,28.57,1.15,4.5,4.725,5.8,0.43799999999999994,2
8,34.54,1.115,5.0,4.365,5.7,0.375,2
8,42.34,1.064,5.3,4.4,5.7,0.313,2
8,44.21,1.008,5.5,4.86,5.5,0.25,2
6,44.15,0.943,4.1,5.47,5.6,0.188,2
6,39.25,0.88,3.9,5.905,5.6,0.125,2
6,38.37,0.812,5.7,7.13,5.4,0.063,2
2,60.63,0.74,9.1,9.33,4.7,1.0,1
2,83.69,0.684,12.4,11.31,4.0,0.9670000000000001,1
2,87.3,0.648,13.7,11.975,3.6,0.9329999999999999,1
2,89.07,0.619,13.7,12.065,3.6,0.9,1
2,91.06,0.584,12.9,12.21,3.7,0.867,1
2,98.37,0.5589999999999999,12.0,12.485,3.7,0.833,1
2,87.1,0.5479999999999999,11.3,12.23,3.7,0.8,1
2,83.81,0.542,10.9,11.67,3.5,0.767,1
2,83.11,0.535,10.4,11.96,3.4,0.733,1
2,85.4,0.529,11.1,13.05,3.3,0.7,1
2,86.83,0.524,11.5,13.735,3.3,0.667,1
2,80.54,0.515,11.2,13.6,3.3,0.633,1
2,77.67,0.501,10.3,12.905,3.2,0.6,1
2,74.74,0.489,8.9,12.575,3.3,0.5670000000000001,1
2,75.06,0.48100000000000004,8.8,12.305,3.2,0.5329999999999999,1
2,76.98,0.47700000000000004,8.3,12.35,3.2,0.5,1
2,79.6,0.47100000000000003,8.5,12.855,3.2,0.467,1
2,92.95,0.467,8.6,14.3,3.3,0.433,1
2,94.25,0.467,9.0,14.21,3.3,0.4,1
2,83.12,0.467,9.1,13.64,3.3,0.36700000000000005,1
2,75.02,0.47100000000000003,9.2,12.5,3.4,0.33299999999999996,1
2,62.61,0.48,8.7,11.92,3.3,0.3,1
2,68.47,0.48700000000000004,8.2,11.635,3.3,0.267,1
2,69.58,0.484,7.3,11.265,3.3,0.233,1
2,76.05,0.479,7.5,11.375,3.5,0.2,1
2,89.53,0.47100000000000003,8.4,12.285,3.5,0.16699999999999998,1
3,97.25,0.46399999999999997,9.1,15.135,3.5,0.133,1
3,95.12,0.474,8.1,21.93,3.5,0.1,1
3,91.67,0.501,6.4,26.715,3.3,0.067,1
3,85.15,0.521,3.7,25.875,3.2,0.033,1
8,65.17,0.534,2.5,18.92,3.2,1.0,2
8,32.9,0.547,2.3,12.215,3.7,0.917,2
8,19.92,0.5489999999999999,1.9,10.63,4.8,0.833,2
8,14.52,0.5489999999999999,2.4,11.06,5.2,0.75,2
8,14.75,0.5579999999999999,3.5,12.15,5.4,0.667,2
8,15.01,0.565,3.9,13.16,5.2,0.583,2
8,15.68,0.56,3.7,14.02,5.2,0.5,2
8,16.96,0.55,3.0,14.255,5.3,0.41700000000000004,2
8,15.78,0.534,3.1,12.705,5.5,0.33299999999999996,2
8,15.71,0.507,3.9,11.095,5.7,0.25,2
8,17.29,0.484,3.6,10.225,5.7,0.16699999999999998,2
8,25.4,0.47600000000000003,3.5,10.81,5.6,0.083,2
2,54.3,0.48,5.7,11.865,5.1,1.0,1
2,77.86,0.493,8.0,11.795,4.0,0.966,1
2,81.08,0.496,8.6,11.345,3.6,0.9309999999999999,1
2,64.84,0.489,6.8,10.6,3.3,0.897,1
2,68.3,0.47600000000000003,6.3,10.89,3.5,0.862,1
2,62.2,0.456,6.0,11.805,3.4,0.828,1
2,62.13,0.447,6.8,12.205,3.4,0.7929999999999999,1
2,59.9,0.447,7.5,12.495,3.4,0.759,1
2,66.76,0.446,7.6,12.57,3.3,0.7240000000000001,1
2,68.75,0.441,8.4,12.535,3.4,0.69,1
2,89.47,0.431,10.0,13.055,3.3,0.655,1
2,92.28,0.42,12.3,14.46,3.3,0.621,1
2,89.52,0.41,13.6,15.78,3.2,0.586,1
2,72.44,0.401,11.6,15.58,3.3,0.552,1
2,65.12,0.389,10.4,15.095,3.2,0.517,1
2,61.43,0.375,7.4,14.62,3.2,0.483,1
2,64.01,0.36200000000000004,6.4,15.335,3.0,0.44799999999999995,1
2,60.03,0.354,4.5,15.0,3.0,0.414,1
2,66.07,0.348,4.4,14.44,3.1,0.379,1
2,74.64,0.344,5.0,13.845,3.2,0.345,1
2,76.08,0.344,5.9,14.19,3.3,0.31,1
2,77.9,0.35,6.8,14.375,3.3,0.276,1
2,90.26,0.354,7.1,14.075,3.2,0.24100000000000002,1
2,100.24,0.36200000000000004,6.9,13.22,3.2,0.207,1
2,104.57,0.36700000000000005,8.0,14.63,3.2,0.172,1
2,117.83,0.382,8.6,18.955,3.4,0.138,1
2,119.71,0.40299999999999997,12.2,24.86,3.5,0.10300000000000001,1
2,114.49,0.436,13.7,26.24,3.2,0.069,1
2,76.16,0.473,12.7,21.64,3.1,0.034,1
8,34.5,0.509,8.2,15.465,3.4,1.0,2
8,17.99,0.5479999999999999,3.1,11.83,4.7,0.889,2
8,16.23,0.597,1.7,9.835,5.9,0.778,2
8,16.97,0.669,1.3,7.54,5.7,0.667,2
8,18.68,0.745,2.3,5.93,5.7,0.556,2
8,30.74,0.778,3.6,5.83,5.8,0.444,2
8,46.76,0.775,3.6,6.47,5.6,0.33299999999999996,2
6,49.39,0.732,3.9,6.69,5.3,0.222,2
6,44.23,0.669,5.7,7.985,5.0,0.111,2
3,54.96,0.602,7.3,10.27,4.2,1.0,1
3,68.62,0.55,9.9,13.345,3.6,0.941,1
2,84.84,0.507,11.0,14.745,3.1,0.882,1
2,82.8,0.462,11.9,16.365,3.2,0.8240000000000001,1
3,95.56,0.425,11.0,18.035,3.4,0.765,1
3,106.29,0.401,8.4,21.3,3.2,0.706,1
3,95.11,0.39399999999999996,7.8,21.825,3.2,0.647,1
3,96.55,0.391,8.2,20.44,3.1,0.588,1
3,92.19,0.391,11.1,17.735,3.3,0.529,1
3,100.17,0.391,11.6,18.11,3.2,0.47100000000000003,1
3,101.7,0.387,11.9,19.115,3.2,0.41200000000000003,1
3,100.5,0.38,13.8,18.12,3.2,0.353,1
3,102.07,0.369,15.5,17.425,3.4,0.294,1
3,109.83,0.358,15.2,18.72,3.7,0.235,1
3,118.17,0.354,18.5,21.295,3.9,0.17600000000000002,1
3,119.16,0.358,17.9,24.97,3.8,0.11800000000000001,1
6,63.36,0.384,8.2,20.85,3.3,1.0,2
6,44.37,0.39799999999999996,6.1,14.47,3.4,0.95,2
6,37.71,0.413,4.7,12.17,4.0,0.9,2
6,37.36,0.43799999999999994,4.4,12.545,5.0,0.85,2
6,39.66,0.467,4.6,13.01,5.0,0.8,2
8,52.61,0.48700000000000004,5.1,12.835,5.3,0.75,2
8,53.75,0.501,5.2,12.71,6.0,0.7,2
8,59.61,0.504,5.5,12.8,6.1,0.65,2
8,62.99,0.501,5.1,12.9,5.6,0.6,2
8,72.39,0.496,4.6,12.795,5.1,0.55,2
8,81.12,0.496,4.3,12.595,5.0,0.5,2
8,234.8,0.515,4.7,11.41,4.8,0.4,2
8,234.8,0.515,4.7,11.41,4.8,0.4,2
8,273.48,0.5379999999999999,5.3,10.045,5.1,0.35,2
8,164.34,0.573,5.9,8.48,5.3,0.3,2
8,101.5,0.6,5.9,7.805,5.7,0.25,2
6,84.6,0.616,4.3,7.58,5.7,0.2,2
6,84.6,0.616,4.3,7.58,5.7,0.2,2
8,91.02,0.621,3.5,7.795,5.7,0.15,2
4,116.04,0.605,3.8,7.73,5.5,0.1,2
4,129.74,0.574,5.0,8.61,4.7,0.05,2
3,130.95,0.545,6.2,12.17,4.2,1.0,1
3,127.25,0.519,7.5,17.585,3.6,0.982,1
3,115.33,0.484,10.4,20.065,3.3,0.965,1
3,110.37,0.45299999999999996,13.2,19.63,3.2,0.9470000000000001,1
3,95.97,0.433,12.9,17.945,3.2,0.93,1
3,92.1,0.415,14.9,17.19,3.5,0.912,1
3,92.33,0.401,14.7,16.855,3.6,0.895,1
3,84.32,0.401,14.9,17.04,3.7,0.877,1
3,85.93,0.405,14.1,16.725,3.7,0.86,1
3,86.15,0.41,13.5,16.505,3.7,0.8420000000000001,1
3,87.94,0.418,13.6,16.735,3.6,0.825,1
3,86.68,0.425,14.1,16.94,3.6,0.807,1
3,85.31,0.431,14.7,17.845,3.5,0.789,1
3,86.99,0.441,13.9,18.455,3.5,0.772,1
3,88.41,0.456,13.4,18.05,3.6,0.754,1
3,85.73,0.47100000000000003,13.6,15.635,3.8,0.737,1
3,79.97,0.48,13.1,13.72,4.1,0.7190000000000001,1
3,72.32,0.489,13.4,13.05,4.3,0.7020000000000001,1
3,69.7,0.496,13.0,13.785,4.2,0.684,1
3,78.44,0.504,13.5,13.815,4.1,0.667,1
3,82.19,0.509,12.2,14.275,4.0,0.649,1
3,85.45,0.509,12.6,15.215,4.0,0.632,1
3,92.63,0.508,13.7,16.465,3.9,0.614,1
3,88.92,0.507,14.6,16.885,3.9,0.596,1
3,90.45,0.505,13.7,16.3,3.8,0.579,1
3,87.42,0.504,12.7,15.225,4.0,0.561,1
3,84.11,0.507,12.5,15.12,4.0,0.544,1
3,87.26,0.509,12.0,15.145,3.9,0.526,1
3,84.87,0.511,12.0,14.82,3.9,0.509,1
3,84.88,0.507,11.3,14.335,3.9,0.491,1
3,88.37,0.493,10.5,15.695,4.2,0.474,1
3,90.68,0.48,11.1,18.01,4.2,0.456,1
3,94.56,0.47100000000000003,12.3,20.75,3.9,0.439,1
3,96.31,0.462,15.0,22.025,3.6,0.42100000000000004,1
3,99.42,0.456,17.2,22.97,3.4,0.40399999999999997,1
3,97.55,0.45299999999999996,16.7,22.12,3.4,0.386,1
3,98.51,0.45,15.3,20.35,3.6,0.368,1
2,86.18,0.452,13.5,17.53,3.7,0.35100000000000003,1
2,89.44,0.461,12.2,16.31,3.8,0.33299999999999996,1
2,89.13,0.47100000000000003,11.7,15.875,3.9,0.316,1
2,87.64,0.484,12.1,15.865,3.8,0.298,1
2,84.34,0.502,12.3,15.685,3.9,0.281,1
2,83.26,0.517,12.3,15.23,3.8,0.263,1
2,84.8,0.525,12.5,14.78,4.0,0.24600000000000002,1
2,84.02,0.531,10.8,15.47,3.9,0.228,1
3,90.99,0.535,10.9,15.235,3.9,0.21100000000000002,1
3,83.72,0.537,11.4,14.25,3.9,0.193,1
3,81.44,0.5379999999999999,10.9,14.015,4.0,0.175,1
3,80.51,0.5379999999999999,10.1,14.465,3.9,0.158,1
3,83.93,0.539,10.0,15.11,3.8,0.14,1
3,83.36,0.535,10.1,15.73,3.7,0.12300000000000001,1
3,86.69,0.529,10.9,15.115,3.8,0.105,1
3,86.71,0.521,10.6,13.995,3.7,0.08800000000000001,1
3,84.91,0.515,11.0,14.065,3.9,0.07,1
3,84.75,0.516,13.6,20.0,3.7,0.053,1
3,87.88,0.5429999999999999,16.2,23.385,3.6,0.035,1
3,86.06,0.584,15.0,20.82,3.3,0.018000000000000002,1
5,56.43,0.627,10.4,12.115,3.7,1.0,2
5,32.69,0.667,6.2,6.42,4.4,0.99,2
5,25.06,0.708,5.9,4.845,5.5,0.98,2
5,18.26,0.77,5.3,4.695,5.2,0.971,2
5,18.28,0.8740000000000001,4.9,4.67,5.0,0.961,2
5,14.41,0.9470000000000001,3.9,5.705,5.1,0.951,2
8,13.99,0.983,2.3,7.35,5.2,0.941,2
8,13.28,0.983,0.1,8.365,5.4,0.9309999999999999,2
8,16.71,0.946,0.1,8.53,5.4,0.922,2
8,31.35,0.907,3.7,8.695,5.0,0.912,2
5,49.41,0.8809999999999999,9.4,10.025,4.5,0.902,2
5,65.33,0.862,13.3,9.785,4.0,0.892,2
5,64.3,0.841,11.1,9.24,4.3,0.882,2
5,42.48,0.8190000000000001,7.1,8.02,4.7,0.873,2
8,29.96,0.794,4.8,7.48,4.8,0.863,2
8,21.23,0.772,3.5,7.98,5.0,0.853,2
8,28.09,0.768,2.2,8.295,5.1,0.843,2
8,31.12,0.775,1.5,8.515,5.2,0.833,2
5,36.63,0.78,0.9,8.165,4.8,0.8240000000000001,2
5,36.1,0.7829999999999999,0.5,8.115,4.3,0.8140000000000001,2
5,42.06,0.787,0.6,7.475,4.0,0.804,2
5,44.31,0.792,1.5,6.77,4.0,0.794,2
5,43.19,0.8029999999999999,2.1,6.215,4.1,0.784,2
5,39.82,0.82,2.3,6.04,4.3,0.775,2
5,41.71,0.8390000000000001,2.3,6.61,4.4,0.765,2
5,43.02,0.865,2.5,7.01,4.3,0.755,2
5,42.6,0.889,2.4,7.33,4.2,0.745,2
5,41.53,0.9059999999999999,2.7,6.94,4.0,0.735,2
5,46.69,0.9179999999999999,2.1,6.705,4.2,0.725,2
5,49.0,0.929,2.4,6.685,4.3,0.716,2
5,51.83,0.9359999999999999,2.1,7.07,4.5,0.706,2
5,45.87,0.94,2.7,7.445,4.2,0.696,2
5,45.87,0.94,2.7,7.445,4.2,0.696,2
5,46.83,0.943,2.4,7.655,4.4,0.6859999999999999,2
5,47.5,0.946,2.9,7.705,4.0,0.6759999999999999,2
5,48.88,0.9470000000000001,3.1,7.33,4.0,0.667,2
5,45.88,0.9490000000000001,4.6,6.865,3.8,0.657,2
5,51.63,0.9520000000000001,4.3,6.88,4.1,0.647,2
5,49.28,0.9540000000000001,3.9,7.085,4.3,0.637,2
5,52.4,0.956,3.7,7.105,4.4,0.627,2
5,50.59,0.96,4.3,6.665,4.5,0.618,2
5,49.71,0.963,4.5,6.645,4.6,0.608,2
5,46.48,0.9670000000000001,4.8,6.69,4.6,0.598,2
5,50.19,0.972,4.6,6.815,4.5,0.588,2
5,55.85,0.9690000000000001,4.7,6.475,4.3,0.578,2
5,74.49,0.9540000000000001,4.8,6.14,4.2,0.569,2
4,126.32,0.9359999999999999,5.2,6.41,4.2,0.5589999999999999,2
4,274.0,0.92,6.9,7.65,4.5,0.5489999999999999,2
4,358.74,0.903,8.5,10.035,4.6,0.539,2
4,361.15,0.8959999999999999,9.9,12.255,4.8,0.529,2
4,227.99,0.894,10.3,12.67,4.7,0.52,2
5,115.43,0.893,10.0,11.24,4.6,0.51,2
5,80.43,0.893,9.3,9.055,4.3,0.5,2
5,65.06,0.898,8.4,8.13,4.5,0.49,2
5,49.86,0.91,7.6,7.585,4.8,0.48,2
5,51.04,0.925,7.3,7.795,5.1,0.47100000000000003,2
5,52.63,0.9420000000000001,7.6,7.84,5.0,0.461,2
5,56.88,0.975,7.8,8.3,4.9,0.441,2
5,60.61,0.982,7.8,8.335,4.9,0.431,2
5,57.36,0.985,7.6,8.07,4.7,0.42200000000000004,2
5,53.58,0.986,7.2,8.13,4.6,0.41200000000000003,2
5,52.02,0.986,7.1,8.165,4.7,0.402,2
5,53.66,0.986,7.4,8.46,4.8,0.392,2
5,55.22,0.985,7.7,8.54,4.8,0.382,2
5,50.16,0.982,7.2,8.38,4.7,0.373,2
5,55.6,0.971,7.1,8.295,4.5,0.363,2
5,53.77,0.955,6.8,8.035,4.5,0.353,2
5,50.23,0.937,7.1,8.86,4.6,0.34299999999999997,2
5,63.43,0.915,7.1,9.95,5.0,0.33299999999999996,2
5,61.93,0.889,8.0,11.39,5.2,0.324,2
5,68.62,0.863,8.1,12.28,5.1,0.314,2
5,74.18,0.836,8.2,12.17,4.8,0.304,2
4,73.86,0.816,8.0,12.37,4.7,0.294,2
4,71.51,0.7979999999999999,8.9,12.94,4.6,0.284,2
4,79.77,0.782,10.0,14.235,4.4,0.275,2
4,80.9,0.7759999999999999,11.0,14.86,4.3,0.265,2
4,96.85,0.775,9.4,13.74,4.3,0.255,2
4,92.76,0.7709999999999999,7.8,11.48,4.4,0.245,2
6,51.5,0.762,6.6,8.025,4.1,0.225,2
6,47.77,0.7559999999999999,7.4,9.425,4.1,0.21600000000000003,2
6,54.15,0.7509999999999999,6.4,11.7,4.9,0.20600000000000002,2
6,50.45,0.74,4.3,13.34,5.0,0.196,2
9,32.78,0.723,1.2,13.11,5.1,0.18600000000000003,2
9,23.5,0.711,0.3,12.3,5.2,0.17600000000000002,2
9,28.33,0.706,0.5,11.79,5.3,0.16699999999999998,2
9,31.12,0.7040000000000001,1.7,11.325,5.3,0.157,2
9,28.68,0.7090000000000001,1.9,11.165,5.4,0.147,2
9,31.67,0.721,1.6,10.535,5.4,0.13699999999999998,2
9,39.75,0.733,0.9,10.04,5.5,0.127,2
9,36.56,0.747,2.0,8.545,5.3,0.11800000000000001,2
