"Well.Name","Formation","Depth","GR","ILD_log10","DeltaPHI","PHIND","PE","NM_M","RELPOS","RELPOS_next","Facies.predict","Facies.p1","Facies.p2","Facies.p3","Facies.p4","Facies.p5","Facies.p6","Facies.p7","Facies.p8","Facies.p9"
"STUART","A1 SH",2816.5,75.93,0.576,3.4,11.9,2.845,0,0.6,0.044,"2",0.0548834143917005,0.663483565889497,0.279369119756569,0.000412793645838665,0.000804450887001287,0.000165785322024446,2.55676168537902e-05,0.000853418056514173,1.8844340017423e-06
"STUART","A1 SH",2817,85.077,0.584,4.4,12.9,2.854,0,0.578,0.022,"2",0.0258701778346283,0.527620432887578,0.442684398090809,0.000937579903804559,0.00113657317446793,0.000249116930995419,4.10218282699131e-05,0.00145647671760674,4.22263183927024e-06
"STUART","A1 SH",2817.5,89.459,0.598,6.6,13.5,2.986,0,0.556,0.0219999999999999,"3",0.00905990563658369,0.468755270711097,0.516793452140658,0.00126388268708609,0.00129303287668113,0.000361226187756278,5.10727471307397e-05,0.00241709818601093,5.0588269959708e-06
"STUART","A1 SH",2818,88.619,0.61,7.2,14.8,2.988,0,0.533,0.023,"3",0.00839172603582321,0.450655273534333,0.533715961114913,0.00182135260031472,0.00154436583877917,0.000539638532902293,7.27324261240594e-05,0.00325173541497875,7.21450183138982e-06
"STUART","A1 SH",2818.5,81.593,0.636,6.4,13.9,2.998,0,0.511,0.022,"2",0.0211360945643692,0.527753568007429,0.443346888343399,0.00181132492760059,0.00171141527482531,0.000643949691305995,7.58721258211612e-05,0.00350580436092661,1.50827043234953e-05
"STUART","A1 SH",2819,66.595,0.702,2.8,11.4,2.988,0,0.489,0.022,"2",0.116896428593923,0.550332640282566,0.323168152958072,0.00181937390578966,0.00221672855090422,0.00132720798666048,2.9334024086334e-05,0.00417726518518752,3.28685128112018e-05
"STUART","A1 SH",2819.5,55.081,0.789,2.7,8.15,3.028,0,0.467,0.022,"2",0.298894317228448,0.518618581629163,0.16280185695241,0.00120162537984972,0.00439273924418475,0.00422409145958169,1.50131158198553e-05,0.00979348192438494,5.82930661572249e-05
"STUART","A1 SH",2820,48.112,0.84,1,7.5,3.073,0,0.444,0.023,"2",0.392485801188706,0.438211373033334,0.137207708954802,0.00115250771852293,0.0059592357653364,0.00819815071367649,1.08048220579523e-05,0.0166871595934937,8.72582100711126e-05
"STUART","A1 SH",2820.5,43.73,0.846,0.4,7.1,3.146,0,0.422,0.022,"2",0.409204076336473,0.431894593400697,0.11756840830579,0.00106790246851034,0.00714381288494314,0.0107497851589163,1.02521820340076e-05,0.02227341953623,8.77497264066497e-05
"STUART","A1 SH",2821,44.097,0.84,0.7,6.65,3.205,0,0.4,0.022,"2",0.391356839105044,0.442419949062677,0.121795057991266,0.00121775932898543,0.00794962881230697,0.0112468112734689,1.06009212424693e-05,0.0239212251578546,8.21283471542123e-05
"STUART","A1 SH",2821.5,46.839,0.842,0.8,6.6,3.254,0,0.378,0.022,"2",0.334098562405784,0.450840447569908,0.164813538833729,0.0018036294477817,0.00916332180801769,0.0124688832336654,1.12044335047532e-05,0.0266998585294089,0.000100553738200129
"STUART","A1 SH",2822,50.348,0.843,1.1,6.75,3.23,0,0.356,0.022,"2",0.297568670608372,0.442340324519429,0.206876823794015,0.00258853234842012,0.0102779429736894,0.0128201354877639,1.3001795812716e-05,0.0273959516992815,0.00011861677321733
"STUART","A1 SH",2822.5,57.129,0.822,2.2,7.3,3.237,0,0.333,0.023,"2",0.190897770164897,0.457376028534156,0.295752530814868,0.00472723542428426,0.0115652243792667,0.011616083478193,2.04099606587097e-05,0.0279032256568888,0.000141491586788057
"STUART","A1 SH",2823,64.465,0.777,4.4,8.4,3.259,0,0.311,0.022,"2",0.116781991119853,0.47581048973499,0.359087317099093,0.0067267460203749,0.0105093052569118,0.00787324151880861,3.81211106930777e-05,0.0230599331015569,0.00011285503771934
"STUART","A1 SH",2823.5,70.267,0.729,7.1,9.85,3.289,0,0.289,0.022,"2",0.0496186655858983,0.518084577915818,0.39399933694097,0.00756354119720576,0.00845658309539983,0.00453467958882837,8.16630635389363e-05,0.0175934322953268,6.75203170140691e-05
"STUART","A1 SH",2824,76.566,0.664,10.7,11.55,3.381,0,0.244,0.045,"2",0.017019367083483,0.522948118740968,0.406829180970092,0.0123891415075528,0.0130020317196474,0.00476613367797711,0.000259750202695272,0.0227249353871972,6.13407103868559e-05
"STUART","A1 SH",2824.5,76.778,0.643,10.7,12.25,3.452,0,0.222,0.022,"2",0.0145547038209347,0.500672489041562,0.419108016324834,0.0131854693341211,0.0159783600725854,0.00585948539534628,0.000381452021404551,0.0301913417713175,6.86822178946411e-05
"STUART","A1 SH",2825,73.971,0.632,9.7,12.55,3.396,0,0.2,0.022,"2",0.0216674652080077,0.492577837952607,0.411826580540742,0.0134645223310454,0.019471204004017,0.00659734523573446,0.000412508897749737,0.0339039681952302,7.85676348664928e-05
"STUART","A1 SH",2825.5,74.314,0.622,8.8,13.1,3.144,0,0.178,0.022,"2",0.0404487582560256,0.484772885634327,0.393436659318662,0.0167282083338424,0.0244826691665108,0.00723641865271075,0.000447945909072113,0.0323407342187135,0.00010572051013656
"STUART","A1 SH",2826,77.031,0.583,4.8,16.2,3.034,0,0.156,0.022,"3",0.0361225408581404,0.366285547340702,0.53071286813786,0.0146550678142539,0.018249474691478,0.00749928159811126,0.000495968961196709,0.0258602645981843,0.000118986000073215
"STUART","A1 SH",2826.5,74.469,0.517,4.8,19.2,2.931,0,0.133,0.023,"3",0.0361280806639496,0.362397051326467,0.522380773122674,0.015661708236725,0.0297286131573911,0.00707949408843878,0.00137745988533094,0.025103616210683,0.00014320330834145
"STUART","A1 SH",2827,73.327,0.489,6.3,20.35,2.88,0,0.111,0.022,"3",0.0495234363110488,0.386717620208143,0.45954693238225,0.0189195495112309,0.0503269279427689,0.00687074292620079,0.00243905608865481,0.0254705623784481,0.000185172251254647
"STUART","A1 SH",2827.5,74.575,0.526,4.9,19.25,2.795,0,0.089,0.022,"3",0.041354462244637,0.345165459451901,0.536600988307531,0.0177038818087525,0.0284359893113857,0.00704985576320372,0.00111025817615218,0.0224521678535076,0.000126937082929481
"STUART","A1 SH",2828,70.536,0.558,6.5,17.05,3.009,0,0.067,0.022,"3",0.0372857930738783,0.369990204001204,0.483207000595314,0.0184175014157938,0.0367361329279175,0.0114437126464151,0.000950647218804918,0.0418086072355118,0.000160400885160198
"STUART","A1 SH",2828.5,62.939,0.528,7.6,18.8,3.073,0,0.044,0.023,"2",0.0399686753622848,0.397250926128709,0.395098520720651,0.0175367508868645,0.0760500581898417,0.0130321813545481,0.00227533736731471,0.0585211906976807,0.000266359292104859
"STUART","A1 SH",2829,57.137,0.511,10.9,19.15,3.313,0,0.022,0.022,"2",0.0217155176674664,0.398941511426748,0.339039059777369,0.0142891686271024,0.115673788621827,0.0110915501032452,0.00469162669914266,0.0942837170586033,0.000274060018496433
"STUART","A1 LM",2829.5,47.345,0.584,7,16.3,3.527,1,1,-0.978,"8",3.40903182367832e-07,0.000255070603220308,0.0220262714503778,0.0120977895428355,0.0904301553071587,0.17472204259387,0.0070879385060029,0.693078939292201,0.000301451801151087
"STUART","A1 LM",2830,35.733,0.73,6.4,10.2,3.928,1,0.987,0.013,"8",3.38640712715984e-08,1.82768531778571e-05,0.00225398771904779,0.00101305797288765,0.179860254328216,0.178352512739656,0.00293140587465308,0.635450278249721,0.000120192398569556
"STUART","A1 LM",2830.5,29.327,0.873,2.7,7.85,4.33,1,0.974,0.013,"8",6.84486861128453e-09,1.46594895872966e-06,0.000503669776021623,0.000132376125583849,0.0669907091781359,0.163869305523871,9.65693480834618e-05,0.767688528720302,0.000717368534175456
"STUART","A1 LM",2831,28.242,0.963,1.4,6.3,4.413,1,0.961,0.013,"8",1.03987348032201e-08,1.24567557769497e-06,0.000408434353408696,0.000158811127949403,0.0804850793797441,0.222307152982168,3.01012856322141e-05,0.694047647909396,0.0025615168873892
"STUART","A1 LM",2831.5,34.558,1.018,1.8,5.6,4.511,1,0.947,0.014,"8",1.18092917065466e-08,2.17268460159054e-06,0.000653636287308267,0.000720642765086883,0.150758125824805,0.418643868689658,2.39522483606557e-05,0.42530021418253,0.00389737550835808
"STUART","A1 LM",2832,43.754,1.054,1.8,5.2,4.412,1,0.934,0.0129999999999999,"6",2.78773448788866e-08,3.63192794166565e-06,0.000836749562961438,0.00349465243089298,0.248105808825407,0.568043910440307,1.90423423152974e-05,0.176037237214494,0.00345893937833566
"STUART","A1 LM",2832.5,53.612,1.067,1.5,5.05,4.226,1,0.921,0.013,"6",6.97314568226019e-08,6.60046563837442e-06,0.000836924609911081,0.0116166798729112,0.317360350595693,0.592162273313498,1.60281849682023e-05,0.0760559535495141,0.00194511967640905
"STUART","A1 LM",2833,60.719,1.039,1.9,4.85,3.931,1,0.908,0.013,"6",1.27682012588354e-07,1.39190730014203e-05,0.000710913686262046,0.0211493734218285,0.397946787710182,0.527336709772467,2.34699896308209e-05,0.0518635612116629,0.000955137452952488
"STUART","A1 LM",2833.5,66.538,0.94,2.7,5.45,3.703,1,0.895,0.013,"5",2.10879629648933e-07,3.93294291736198e-05,0.000810437390348385,0.0427312700776285,0.474499196532025,0.432166787297283,9.55542338960022e-05,0.0492290294878668,0.000428184672149249
"STUART","A1 LM",2834,75.522,0.801,4,7.3,3.501,1,0.882,0.013,"5",5.45661014208881e-07,0.00018335851445864,0.00217172446683171,0.157497097524855,0.516460628596376,0.281631579206854,0.00108250912512477,0.0408362814133388,0.00013627549114656
"STUART","A1 LM",2834.5,95.979,0.692,6.5,9.55,3.346,1,0.868,0.014,"4",4.50283753948983e-07,0.00064536146749763,0.00606593968069959,0.500906945208772,0.285731859473401,0.177501381215643,0.00634473947191902,0.0227720685298851,3.12546684285292e-05
"STUART","A1 LM",2835,130.26,0.644,8.3,11.15,3.242,1,0.855,0.013,"4",1.06884968541865e-07,0.000668048838372752,0.00539179703937396,0.789022406469891,0.0908346138894104,0.093260851734037,0.00626558036047343,0.0145535646317231,3.03015174998234e-06
"STUART","A1 LM",2835.5,160.167,0.643,9.3,12.15,3.294,1,0.842,0.013,"4",1.76439135551146e-08,0.000448673183979382,0.00388640124279995,0.883404418729635,0.0332774629608512,0.0622531213310513,0.00297028093447838,0.0137590330439392,5.9092935204551e-07
"STUART","A1 LM",2836,176.528,0.673,9.1,12.05,3.298,1,0.829,0.013,"4",9.06646687444426e-09,0.000330809067152733,0.00293712351903304,0.892414929707574,0.0244191113943083,0.0648062389622515,0.00162766727785887,0.013463672140435,4.38864919563458e-07
"STUART","A1 LM",2836.5,175.622,0.72,8.9,12.15,3.349,1,0.816,0.013,"4",5.7054523159124e-09,0.000256752475079767,0.00231372466487434,0.89042316432334,0.0215338445711034,0.0725370706038224,0.00103374216135718,0.0119011835293992,5.1196557121506e-07
"STUART","A1 LM",2837,153.965,0.756,7.6,11.9,3.31,1,0.803,0.0129999999999999,"4",2.10627877064921e-08,0.000363860647906821,0.00332783176542648,0.851395775257753,0.0348716359624926,0.0970965800572622,0.00131266863028739,0.0116298435530861,1.78306299807188e-06
"STUART","A1 LM",2837.5,120.076,0.766,7.2,12.2,3.365,1,0.789,0.014,"4",7.25798976243734e-08,0.00048277749788707,0.00379218512450273,0.786331549654255,0.0615836970480464,0.13288067721686,0.00242964912615298,0.0124920800016232,7.31175077564379e-06
"STUART","A1 LM",2838,91.434,0.787,7.1,12.15,3.392,1,0.776,0.013,"4",2.54154541307661e-07,0.000454031281605298,0.00344948626170403,0.598540519494558,0.141040147740429,0.235019198369067,0.00397048373048366,0.0174868657938222,3.90131737894946e-05
"STUART","A1 LM",2838.5,69.312,0.874,4.6,10.4,3.293,1,0.763,0.013,"6",1.5731404407259e-06,0.000191385861786246,0.00161423364393018,0.241991130379082,0.360481749998521,0.362782974859037,0.00159382989727753,0.0310330429121295,0.000310079307795845
"STUART","A1 LM",2839,54.828,1.029,0.8,8.2,3.395,1,0.75,0.013,"6",6.19649754136259e-06,7.555957165427e-05,0.000887068082614732,0.0370455673645472,0.287128740656652,0.596689385335162,0.000106284274219681,0.0754492570388831,0.00261194117872568
"STUART","A1 LM",2839.5,50.854,1.149,0.3,6.85,3.5,1,0.737,0.013,"6",4.49198112004714e-06,2.76402672326936e-05,0.000499973666793135,0.0220589727159214,0.211125239688926,0.696251383810599,2.29377983974729e-05,0.0634888022391045,0.00652055783190552
"STUART","A1 LM",2840,54.632,1.09,1,7.4,3.576,1,0.724,0.013,"6",3.57276329070956e-06,3.78658550074399e-05,0.000543774559854563,0.0346758534431909,0.215860806286478,0.687639183062383,4.79496564278469e-05,0.0574618969838081,0.00372909738955963
"STUART","A1 LM",2840.5,56.835,0.924,4.1,8.45,3.555,1,0.711,0.013,"6",1.9310946315245e-06,8.46316159451922e-05,0.000570559013107658,0.102708881171549,0.271801577122105,0.575424571662735,0.000549764867208586,0.0479326054834786,0.000925477969240238
"STUART","A1 LM",2841,60.393,0.788,7.1,10.05,3.591,1,0.697,0.014,"6",1.70671052437237e-06,0.000211478522819574,0.000955857070380326,0.28632893426024,0.211898154138731,0.452422648898512,0.00550493134197441,0.0423604988909737,0.000315790165844787
"STUART","A1 LM",2841.5,58.94,0.733,8.1,11.15,3.576,1,0.684,0.0129999999999999,"4",2.73336842108897e-06,0.000317607717518951,0.00147529769399046,0.393326716627317,0.178178462112361,0.364628619206409,0.0146959903091425,0.0471151260828428,0.00025944688199624
"STUART","A1 LM",2842,49.719,0.754,6.1,10.75,3.669,1,0.671,0.013,"6",8.22430057914939e-06,0.000387766239193518,0.00120885811076867,0.240011447166234,0.162670483110425,0.482575587139694,0.0132687177809826,0.0993255376329805,0.000543378519142041
"STUART","A1 LM",2842.5,41.404,0.819,3.5,9.55,3.872,1,0.658,0.013,"6",6.87866851744432e-06,0.000139764932343262,0.000553294029831415,0.046092974718802,0.13611304208383,0.610547509080921,0.00415668478355126,0.200703331577246,0.0016865201249574
"STUART","A1 LM",2843,36.084,0.882,1.6,8.2,4.125,1,0.645,0.013,"6",5.98453136849051e-06,5.4115439436625e-05,0.00035066120771257,0.0108192517499595,0.0922151043111581,0.620174118762749,0.00116716122672141,0.271590913329377,0.00362268944151803
"STUART","A1 LM",2843.5,29.344,0.897,0.1,7.25,4.23,1,0.632,0.013,"6",6.95648732926321e-06,2.81255877091243e-05,0.000240511729744516,0.00285404889588286,0.0563864126253848,0.511011741268577,0.000674474291368434,0.421990224767089,0.00680750434691501
"STUART","A1 LM",2844,24.072,0.841,-0.6,6.8,4.302,1,0.618,0.014,"8",7.26428233849999e-06,2.19579179760362e-05,0.00017586523746186,0.00123795897954785,0.0350517373960113,0.43399449929622,0.00094319288533974,0.521812610299036,0.00675491370606903
"STUART","A1 LM",2844.5,22.62,0.733,-2.5,7.65,4.348,1,0.605,0.013,"8",8.27991933288417e-06,2.68190681016268e-05,0.000273435526940852,0.000567764589892094,0.0161757749057613,0.316703344982127,0.0015420519376209,0.658197366449109,0.00650516262111507
"STUART","A1 LM",2845,22.408,0.597,-3.8,9.5,4.29,1,0.592,0.013,"8",2.48165475797279e-05,6.63816535695837e-05,0.000743235617720417,0.000571407784793541,0.0114186094682712,0.255849040372013,0.00590243267604351,0.720719717228896,0.00470435865111244
"STUART","A1 LM",2845.5,21.184,0.469,-2.7,11.05,4.255,1,0.579,0.013,"8",5.83988257514478e-05,6.07588474394338e-05,0.000735930629961913,0.00075676267443089,0.0162836542958273,0.201739794045024,0.0560694112853471,0.719379672719158,0.00491561667706008
"STUART","A1 LM",2846,21.796,0.375,-2.3,13.35,4.213,1,0.566,0.013,"8",7.65709805274958e-05,2.38217419376568e-05,0.000645885290942184,0.000617896005269535,0.0177956236000157,0.0985820918842496,0.22803115963414,0.648664471250265,0.00556247961265204
"STUART","A1 LM",2846.5,23.925,0.314,-1.8,15.1,4.363,1,0.553,0.0129999999999999,"8",3.43123138410343e-05,8.57047323022749e-06,0.000683678559060992,0.000320830539238177,0.0129007877335788,0.0444734231337698,0.293194682387908,0.64007232313673,0.00831139172264326
"STUART","A1 LM",2847,24.464,0.278,-1.3,16.15,4.495,1,0.539,0.014,"8",1.8425448123902e-05,4.82380046261578e-06,0.000763224771353413,0.000178744760498068,0.0111243794601602,0.0257925297351389,0.252788389789909,0.697144056133016,0.0121854261013383
"STUART","A1 LM",2847.5,26.039,0.257,-1.9,16.55,4.602,1,0.526,0.013,"8",1.20964880206074e-05,3.75439162081133e-06,0.000854164059946887,0.000131757860319195,0.00965584867891574,0.0221457811575993,0.166332942521525,0.781103368418788,0.0197602864232644
"STUART","A1 LM",2848,27.491,0.247,-2.5,16.45,4.544,1,0.513,0.013,"8",2.23843866243209e-05,5.0908110570484e-06,0.000895666057168426,0.000203455951494746,0.0111154845158349,0.0266843222755152,0.206069869508184,0.734465705829216,0.020538020664905
"STUART","A1 LM",2848.5,28.193,0.249,-2.4,16.3,4.587,1,0.5,0.013,"8",2.07541425000793e-05,5.28733192398784e-06,0.000892987997648977,0.000213800106067035,0.0106249097856596,0.0277081350430666,0.184185305526084,0.752005576401143,0.0243432436659061
"STUART","A1 LM",2849,28.634,0.265,-1.9,16.15,4.678,1,0.487,0.013,"8",1.3196052524317e-05,5.11554183024989e-06,0.000912239264248249,0.000195335108237188,0.00956887806717563,0.0273502315500939,0.13643037024885,0.794314134296146,0.0312104998708944
"STUART","A1 LM",2849.5,29.809,0.299,-1,15.2,4.866,1,0.474,0.013,"8",4.36196013013144e-06,4.46576447413152e-06,0.000846017277528226,0.000164210150087647,0.00806917710823737,0.0286759390172328,0.0698517398468163,0.854493288571635,0.0378908003038582
"STUART","A1 LM",2850,31.172,0.349,-1.5,14.15,4.783,1,0.461,0.013,"8",7.37741372558113e-06,1.1590961202005e-05,0.00116442502960264,0.000373042182376247,0.00983672700254784,0.0568967313027313,0.0607474174497955,0.844809167342062,0.0261535213159568
"STUART","A1 LM",2850.5,33.448,0.418,-1.1,12.65,4.688,1,0.447,0.014,"8",1.24633146946965e-05,3.9108477474144e-05,0.00161711868807344,0.00111365162545757,0.0121560341676729,0.137593869214894,0.0466685060044105,0.786651302254109,0.0141479462532136
"STUART","A1 LM",2851,33.514,0.503,-1.2,11.3,4.628,1,0.434,0.013,"8",1.34668152907919e-05,8.55073468205462e-05,0.00183386671510993,0.00188307614907656,0.0112600270478004,0.240749728497802,0.0204824201267006,0.71385012092941,0.00984178637198861
"STUART","A1 LM",2851.5,35.146,0.593,-0.5,10.05,4.387,1,0.421,0.013,"8",2.92767106650447e-05,0.000300815768038586,0.00197012333021824,0.00821261734547953,0.016729055610957,0.458159245227659,0.0124758104486819,0.497486926823863,0.00463612873443751
"STUART","A1 LM",2852,35.953,0.671,-0.7,9.45,4.291,1,0.408,0.013,"6",3.13003845600283e-05,0.000334472503615451,0.00127890901033784,0.0103007659716656,0.0189015315645638,0.589128041942384,0.00515710657781666,0.37208776392465,0.00278010812040672
"STUART","A1 LM",2852.5,35.178,0.729,-0.6,9,4.178,1,0.395,0.013,"6",3.97650429404628e-05,0.000317438483713053,0.000889825024078405,0.0114413795697177,0.021425540861167,0.641951483324155,0.00269062176129301,0.319239714204466,0.00200423172846964
"STUART","A1 LM",2853,36.109,0.773,0.1,8.35,4.203,1,0.382,0.013,"6",3.22776896956658e-05,0.000285455113531848,0.00070299444717348,0.0150680650068946,0.0256193024206761,0.684747776315411,0.00182454882816081,0.270094350113738,0.00162523006471852
"STUART","A1 LM",2853.5,38.769,0.82,1.3,7.55,4.262,1,0.368,0.014,"6",2.35420404634301e-05,0.000218201610862905,0.000474953846623656,0.0223082703159179,0.0288802722991223,0.736975217404031,0.00125026528399661,0.208707477332627,0.00116179986635488
"STUART","A1 LM",2854,39.511,0.873,1.3,7.05,4.387,1,0.355,0.013,"6",1.53167762503543e-05,0.000129429192965833,0.000350079559189744,0.0175077528386737,0.0249700893954362,0.759675374513054,0.000704497989390134,0.195626641769138,0.00102081796590208
"STUART","A1 LM",2854.5,40.523,0.927,2.6,6.5,4.006,1,0.342,0.013,"6",2.47472738222116e-05,0.000102516140828103,0.000179863973207647,0.0259949819024686,0.032704936116295,0.79760745089361,0.000469752889717687,0.142099115827741,0.000816634982310136
"STUART","A1 LM",2855,42.694,0.964,2.8,6.8,3.718,1,0.329,0.013,"6",3.02175390790365e-05,0.000100265669044486,0.000169826734826313,0.0229860177499855,0.0385679550571102,0.807251830287016,0.000375108479447241,0.129643774423433,0.000875004060057597
"STUART","A1 LM",2855.5,45.297,0.959,3,7.3,3.594,1,0.316,0.013,"6",3.39849079169254e-05,0.000127691993406849,0.000209791143943263,0.0275641088488324,0.0444694627510066,0.806963696829983,0.000421280521254617,0.119368644657865,0.000841338345790867
"STUART","A1 LM",2856,48.145,0.915,3.8,8.2,3.46,1,0.303,0.013,"6",4.37941997179489e-05,0.000189929331503165,0.000289781208189228,0.0427292681045279,0.0519322143330839,0.780984401044583,0.00077479523283201,0.122161971268226,0.000893845277337014
"STUART","A1 LM",2856.5,51.041,0.862,5.9,8.75,3.333,1,0.289,0.014,"6",3.78981283114718e-05,0.000199076871348786,0.00029130948374399,0.0758176161734781,0.0682775197098342,0.753260380906493,0.00145469391290964,0.099642462195361,0.00101904261852014
"STUART","A1 LM",2857,56.125,0.825,7.4,9.3,3.336,1,0.276,0.013,"6",3.53763518301978e-05,0.00023492467568325,0.000390099567824259,0.135645629079323,0.0838533600885073,0.693288215333274,0.00212688836087219,0.0833009966891841,0.00112450985350201
"STUART","A1 LM",2857.5,62.205,0.807,6.4,9.9,3.362,1,0.263,0.013,"6",6.41774557976478e-05,0.000468023903075578,0.000797480494064285,0.179366599214844,0.0749961518839211,0.651108896811922,0.00213031046909304,0.0900381165884558,0.00103024317882635
"STUART","A1 LM",2858,64.865,0.794,4.7,10.25,3.244,1,0.25,0.013,"6",0.000189348353191506,0.00101429130106495,0.00195662330513293,0.190850986510401,0.074030511490095,0.6255769426193,0.00237140071656241,0.103072995415457,0.00093690028879621
"STUART","A1 LM",2858.5,68.186,0.771,4.1,10.25,3.174,1,0.237,0.013,"6",0.000345989936002576,0.00163912924110934,0.00335944425358849,0.221625977456269,0.0750883920153197,0.588611012500837,0.00284268891420188,0.105626344119457,0.000861021563215209
"STUART","A1 LM",2859,72.421,0.743,4.1,10.55,3.174,1,0.224,0.013,"6",0.000399046598742526,0.00228814789655946,0.00480646713939836,0.28012391052732,0.0743804256223678,0.532297636508046,0.00359115940000754,0.101329895230248,0.000783311077310065
"STUART","A1 LM",2859.5,74.322,0.73,4.5,10.65,3.187,1,0.211,0.013,"6",0.000369418942606256,0.0023952494522759,0.00507389723634449,0.314887036900732,0.0738667868954116,0.50077410361478,0.00400230122742222,0.0978773324796928,0.000753873250734435
"STUART","A1 LM",2860,72.543,0.748,4.1,10.35,3.359,1,0.197,0.014,"6",0.000224258282545047,0.00193002515558227,0.00432236840128577,0.247824045449026,0.0631370136679249,0.562985619436169,0.0027884769471781,0.115972341455306,0.000815851204982994
